,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
0,-0.0006314166531,-1.082099762,2.113754425,9.210496674,9.511684742,1
1,0.009293583338,-1.07880661,2.407593384,9.463320923,9.824193223,1
2,0.01921858336,-0.8640032959,2.412832489,9.528585205,9.867228503,1
3,0.02914258334,-0.7885601807,2.304607544,9.473649445,9.781772686,1
4,0.03906758333,-0.9671388245,2.21150116,9.435029755,9.738885016,1
5,0.04899258335,-1.027014313,2.22781723,9.264534302,9.583815724,1
6,0.05891758334,-1.063688049,2.264790344,9.096733246,9.434578068,1
7,0.06884258334,-1.142424316,2.186503143,9.093140717,9.421843631,1
8,0.07876758336,-1.054856415,2.070793762,9.147028656,9.437639646,1
9,0.08869258335,-1.01099762,1.994302826,9.24836792,9.514813142,1
10,0.09861758334,-1.04961731,1.979034576,9.394314423,9.657712867,1
11,0.1085425834,-1.055904236,2.035766602,9.386829987,9.662911394,1
12,0.1184675834,-1.071022797,2.097438354,9.335187378,9.627671622,1
13,0.1283925833,-1.053509216,2.063758392,9.216633911,9.503437327,1
14,0.1383175833,-1.088686066,1.989213409,9.211694183,9.486702117,1
15,0.1482425834,-1.06713089,2.041903839,9.400152283,9.678378096,1
16,0.1581675833,-0.9060658264,2.188748474,9.417815552,9.711170111,1
17,0.1680915834,-0.9289682007,2.2547612,9.499695282,9.807708215,1
18,0.1780165833,-0.9632469177,2.198478241,9.493707733,9.79242757,1
19,0.1879415833,-1.008303223,2.096989288,9.459728394,9.741688803,1
20,0.1978665833,-0.9940827942,2.10731781,9.416019287,9.70002104,1
21,0.2077915834,-0.9931846619,2.097887421,9.399553528,9.68189826,1
22,0.2177165833,-1.027912445,2.092648315,9.499096527,9.781033473,1
23,0.2276415833,-1.027164001,2.095791779,9.52918396,9.810848893,1
24,0.2375665834,-1.174158325,2.007325745,9.412875824,9.695887566,1
25,0.2474915833,-1.247655487,1.898502045,9.335037689,9.607490978,1
26,0.2574165833,-1.184786224,1.871109009,9.325756989,9.585119234,1
27,0.2673415834,-1.068627777,1.920955353,9.39925415,9.652875912,1
28,0.2772665833,-0.8369096375,1.940115509,9.439670105,9.673253725,1
29,0.2871915833,-0.8738827515,1.904339905,9.457632751,9.686949922,1
30,0.2971165834,-0.9315129089,1.955982513,9.353000336,9.600635353,1
31,0.3070405833,-0.9542655945,1.935475159,9.442963257,9.686394685,1
32,0.3169655833,-1.026864624,1.929038544,9.455836487,9.705075184,1
33,0.3268905834,-1.101259918,1.913171539,9.308991852,9.567148376,1
34,0.3368155833,-1.166673889,1.768871613,9.199419708,9.440304959,1
35,0.3467405833,-1.158590698,1.469943237,9.089099121,9.279805405,1
36,0.3566655834,-1.110690308,1.080453186,8.927884369,9.061353726,1
37,0.3665905833,-0.94543396,0.9678872681,9.078171844,9.178445139,1
38,0.3765155833,-0.7122189331,1.073717194,9.211245117,9.30092259,1
39,0.3864405833,-0.6267466736,1.153501282,8.953780518,9.049506183,1
40,0.3963655834,-0.7551795959,1.217717743,8.752149811,8.868667264,1
41,0.4062905833,-0.9599537659,1.033600616,8.651409302,8.765655958,1
42,0.4162155833,-1.021924896,0.8029302979,8.667276306,8.764171731,1
43,0.4261405834,-0.8372090149,0.9966275024,9.120683441,9.213091324,1
44,0.4360645833,-0.6628216553,1.241069183,9.258546753,9.364842403,1
45,0.4459895834,-0.6420149231,1.094374237,9.002429352,9.091401012,1
46,0.4559145833,-1.028960266,0.7337741089,8.76861557,8.859221336,1
47,0.4658395833,-1.538051605,0.5287005615,8.453670502,8.608697461,1
48,0.4757645833,-1.911225586,0.3456312561,7.87587204,8.111818821,1
49,0.4856895834,-2.185605011,0.07214996338,7.393425293,7.710046202,1
50,0.4956145833,-2.217937775,-0.3070115662,7.621251526,7.94336068,1
