,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
0,0.037690121,-1.24666059,4.953142643,8.604590416,10.00633604,1
1,0.040105069,-1.282552958,4.926821709,8.647661209,10.0349668,1
2,0.042520017,-1.349551916,4.85982275,8.683553696,10.0420751,1
3,0.044934965,-1.40697968,4.79521656,8.697910309,10.03131783,1
4,0.047349913,-1.37587297,4.773681164,8.683553696,10.00425725,1
5,0.049764861,-1.325623751,4.737788677,8.657232285,9.957489177,1
6,0.052179809,-1.29451704,4.713860512,8.640482903,9.927446806,1
7,0.054594757,-1.306481123,4.661218643,8.64526844,9.908305535,1
8,0.057009704,-1.347159147,4.646861553,8.642875671,9.904920996,1
9,0.0594246,-1.392622828,4.627718925,8.647661209,9.90642343,1
10,0.061839548,-1.409372568,4.608576298,8.630910873,9.885237935,1
11,0.064254496,-1.450050473,4.608576298,8.638090134,9.897384656,1
12,0.066669444,-1.507478237,4.596612453,8.623732567,9.887876418,1
13,0.069084392,-1.579262972,4.601397991,8.628518105,9.905466152,1
14,0.07149934,-1.636690736,4.61814785,8.621339798,9.916327246,1
15,0.073914288,-1.694118381,4.613361835,8.630910873,9.932057542,1
16,0.076329236,-1.725225091,4.622933388,8.640482903,9.950168818,1
17,0.078744184,-1.730010748,4.632504463,8.640482903,9.955449743,1
18,0.081159132,-1.708475351,4.651647091,8.647661209,9.966882816,1
19,0.083574079,-1.684547186,4.639683247,8.635697365,9.946840143,1
20,0.085989027,-1.636690736,4.646861553,8.61655426,9.925577373,1
21,0.088403975,-1.627119422,4.65403986,8.58784008,9.902454336,1
22,0.090818923,-1.624726534,4.661218643,8.563912392,9.884699844,1
23,0.093233871,-1.600798368,4.704289436,8.535198212,9.876360819,1
24,0.095648819,-1.584048629,4.716253281,8.501698494,9.85043818,1
25,0.098063715,-1.55054903,4.742574692,8.472985268,9.832990204,1
26,0.100478663,-1.533799291,4.730610371,8.453842163,9.808091663,1
27,0.102893611,-1.521835208,4.756931305,8.425128937,9.794241953,1
28,0.105308559,-1.507478237,4.778466702,8.386843681,9.769615222,1
29,0.107723507,-1.462014675,4.785645485,8.350951195,9.735413472,1
30,0.110138454,-1.435693622,4.797609329,8.329415321,9.71892129,1
31,0.112553402,-1.39022994,4.823930264,8.293522835,9.69461518,1
32,0.11496835,-1.330409408,4.814359188,8.271987915,9.663013384,1
33,0.117383298,-1.301695466,4.833501816,8.264809608,9.662516688,1
34,0.119798246,-1.299302697,4.816751957,8.248059273,9.639490063,1
35,0.122213194,-1.272981644,4.828716278,8.224131584,9.621503182,1
36,0.124628142,-1.24666059,4.826323509,8.231309891,9.622994532,1
37,0.12704309,-1.222732425,4.826323509,8.236095428,9.624018968,1
38,0.129458038,-1.201196909,4.821537495,8.240880966,9.623004568,1
39,0.131872986,-1.174875975,4.826323509,8.236095428,9.618055941,1
40,0.134287934,-1.141376376,4.80957365,8.228917122,9.599469555,1
41,0.136702829,-1.11984098,4.811966419,8.240880966,9.608391319,1
42,0.139117777,-1.098305583,4.821537495,8.248059273,9.616859193,1
43,0.141532725,-1.076770186,4.816751957,8.250452042,9.614077821,1
44,0.143947673,-1.045663476,4.792823792,8.250452042,9.598673392,1
45,0.146362621,-1.021735311,4.764110088,8.267202377,9.596214,1
46,0.148777569,-1.026520967,4.78085947,8.271987915,9.609169925,1
47,0.151192517,-1.05523479,4.766502857,8.274380684,9.607208005,1
48,0.153607465,-1.060020447,4.764110088,8.276773453,9.608609008,1
49,0.156022413,-1.067198873,4.742574692,8.279166222,9.600808376,1
50,0.158437361,-1.079162955,4.740181446,8.295916557,9.615411814,1
51,0.160852309,-1.093519926,4.735395908,8.315058708,9.631197307,1
52,0.163267257,-1.081555843,4.735395908,8.327022552,9.640178527,1
53,0.165682204,-1.069591761,4.716253281,8.336593628,9.637731313,1
54,0.168097152,-1.036092162,4.721039295,8.353343964,9.65090951,1
55,0.1705121,-1.019342422,4.687539577,8.350951195,9.630704653,1
56,0.172926996,-1.002592683,4.68275404,8.343772888,9.620391026,1
57,0.175341996,-1.004985452,4.68275404,8.350951195,9.626866936,1
58,0.177756892,-0.9978070259,4.694717884,8.365307808,9.644395761,1
59,0.18017184,-0.993021369,4.706682205,8.377271652,9.660105028,1
60,0.182586788,-1.016949654,4.713860512,8.372486115,9.661945521,1
61,0.185001736,-1.021735311,4.716253281,8.405985832,9.692656285,1
62,0.187416684,-1.031306505,4.723432064,8.408378601,9.69923885,1
63,0.189831632,-1.028913736,4.723432064,8.427521706,9.715585213,1
64,0.192246579,-1.03848505,4.744967461,8.43948555,9.737457766,1
65,0.194661527,-1.045663476,4.766502857,8.46102047,9.767385985,1
66,0.197076475,-1.052842021,4.78085947,8.484949112,9.795889701,1
67,0.199491423,-1.064806104,4.792823792,8.506484032,9.821672084,1
68,0.201906371,-1.081555843,4.797609329,8.535198212,9.85070692,1
69,0.204321319,-1.079162955,4.821537495,8.561519623,9.884909446,1
70,0.206736267,-1.0863415,4.840680122,8.573483467,9.905399571,1
71,0.209151215,-1.115055323,4.850251675,8.606983185,9.942255741,1
72,0.211566163,-1.138983607,4.838287354,8.647661209,9.974384821,1
73,0.213981111,-1.155733347,4.852644444,8.69551754,10.02476448,1
