,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
0,0.044495523,-1.210768223,5.120640278,7.817351341,9.423263688,1
1,0.046910523,-1.203589797,5.096712112,7.802994728,9.397437389,1
2,0.049325523,-1.186840057,5.077569485,7.764709473,9.353128588,1
3,0.051740471,-1.160519004,5.060820103,7.716853142,9.300996016,1
4,0.054155471,-1.127019525,5.048855782,7.652246952,9.23677439,1
5,0.056570419,-1.091127157,5.046463013,7.57806921,9.169759013,1
6,0.058985419,-1.052842021,5.044070244,7.494320393,9.094831449,1
7,0.061400419,-1.021735311,5.05124855,7.412964344,9.028349535,1
8,0.063815367,-0.9858429432,5.058426857,7.334001541,8.963657021,1
9,0.066230367,-0.9523434043,5.067998409,7.262216568,8.906815105,1
10,0.068645315,-0.9140582681,5.075176716,7.195217609,8.852348709,1
11,0.071060315,-0.8685946465,5.075176716,7.133004189,8.797250941,1
12,0.073475315,-0.8231309652,5.067998409,7.075576782,8.742193047,1
13,0.075890263,-0.7728816867,5.058426857,7.030112743,8.695258107,1
14,0.078305263,-0.7298108935,5.044070244,6.996613503,8.656088555,1
15,0.080720211,-0.6963114142,5.024927616,6.979863644,8.628629301,1
16,0.083135211,-0.6771687865,5.00339222,6.975078106,8.610702982,1
17,0.085550211,-0.6771687865,4.977071285,6.98704195,8.605146795,1
18,0.087965159,-0.6891329288,4.950749874,7.013363361,8.612322227,1
19,0.090380159,-0.70348984,4.917250633,7.05164814,8.625543069,1
20,0.092795159,-0.7130611539,4.876572609,7.097112179,8.64051028,1
21,0.095210107,-0.708275497,4.828716278,7.149754047,8.656623938,1
22,0.097625107,-0.6843472719,4.773681164,7.204789162,8.669795263,1
23,0.100040055,-0.6436693072,4.716253281,7.255038261,8.677150186,1
24,0.102455055,-0.6005984545,4.649254322,7.305287361,8.680063806,1
25,0.104870055,-0.5527420044,4.584648132,7.357929707,8.686981742,1
26,0.107285002,-0.5024927258,4.522434711,7.41535759,8.700140392,1
27,0.109700002,-0.4474578202,4.465006828,7.467999458,8.712492203,1
28,0.11211495,-0.3780659735,4.409972191,7.511070251,8.718197344,1
29,0.11452995,-0.2727817893,4.34775877,7.556533813,8.722305859,1
30,0.11694495,-0.1244267747,4.278367043,7.616354465,8.736633329,1
31,0.119359898,0.0143569354,4.220939159,7.676175117,8.760148283,1
32,0.121774898,0.1124626622,4.177868366,7.683353424,8.746493685,1
33,0.124189846,0.1890329868,4.153940201,7.587640762,8.652354882,1
34,0.126604846,0.2536391914,4.165904045,7.441678524,8.53215498,1
35,0.129019846,0.2847459018,4.199403763,7.345965385,8.466361653,1
36,0.131434794,0.2679961324,4.230510235,7.362715244,8.495799818,1
37,0.133849794,0.2297109663,4.235296249,7.487142086,8.605103025,1
38,0.136264742,0.1866401732,4.216153622,7.673782349,8.757723531,1
39,0.138679742,0.1698904037,4.165904045,7.853243828,8.891403595,1
40,0.141094742,0.2464607358,4.063013077,8.008777618,8.983837548,1
41,0.14350969,0.3732803464,3.943371773,8.13320446,9.046465274,1
42,0.14592469,0.5192425251,3.818944931,8.207381248,9.067252072,1
43,0.14833969,0.7202396393,3.680161238,8.252845764,9.064865971,1
44,0.150754638,0.9643075466,3.543770313,8.279166222,9.057195504,1
45,0.153169638,1.227517962,3.421736479,8.274380684,9.037724082,1
46,0.155584638,1.524227977,3.306880951,8.236095428,9.005109686,1
47,0.157999586,1.847259045,3.206382275,8.171489716,8.970312004,1
48,0.160414586,2.187039852,3.122633457,8.092526436,8.94555572,1
49,0.162829534,2.529213428,3.060420275,7.999206066,8.930307414,1
50,0.165244534,2.866601467,3.017349243,7.910671711,8.93870949,1
51,0.167659534,3.201596737,2.993421078,7.826922894,8.970591586,1
52,0.170074482,3.543770313,2.979064226,7.747959614,9.025741514,1
53,0.172489482,3.93140769,2.959921598,7.683353424,9.124199808,1
54,0.17490443,4.417150497,2.912065268,7.65703249,9.307066626,1
