,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
0,0.0,-0.4522934258,-1.055814266,8.663313866,8.739125828,1
1,0.000510838,-0.4643219113,-1.057767987,8.639716148,8.716602726,1
2,0.002540525,-0.4611328244,-1.043076992,8.626844406,8.701901947,1
3,0.004510838,-0.442410171,-1.043728232,8.614154816,8.688426703,1
4,0.006510838,-0.4175487757,-1.027955294,8.589897156,8.661256965,1
5,0.008510838,-0.3884352744,-1.007106543,8.583892822,8.651494757,1
6,0.010510838,-0.3700765371,-0.9966008067,8.587991714,8.65354098,1
7,0.012510838,-0.3169348538,-0.9926647544,8.595529556,8.658461721,1
8,0.014510838,-0.1051916406,-0.9807032943,8.570006371,8.626578315,1
9,0.016510838,0.0462847054,-0.9897342324,8.624977112,8.681701809,1
10,0.018510838,0.1158889383,-0.9843425155,8.668169022,8.724649828,1
11,0.020510838,0.1626907885,-0.9848021865,8.737735748,8.794562505,1
12,0.022510838,0.1823519766,-0.97533077,8.771664619,8.827605709,1
13,0.024510838,0.2109291703,-0.9721800089,8.812252045,8.868224805,1
14,0.026510838,0.2446874082,-0.9634937644,8.835829735,8.891573498,1
15,0.028510838,0.2832148969,-0.9648249745,8.858230591,8.915119018,1
16,0.030510838,0.3070803285,-0.974861443,8.849926949,8.908751885,1
17,0.032510838,0.3132956624,-0.9934979081,8.854456902,8.915525744,1
18,0.034510838,0.3063811958,-1.006761789,8.870326042,8.932531715,1
19,0.036510838,0.2915754616,-1.026030421,8.907541275,8.971178643,1
20,0.038510838,0.2522435188,-1.059549212,8.95689106,9.02286921,1
21,0.040510838,0.2283493876,-1.06088984,8.998271942,9.063472218,1
22,0.042510838,0.1907604188,-1.059941769,9.033638954,9.097609513,1
23,0.044510838,0.1406928748,-1.049234986,9.093992233,9.155401863,1
24,0.046510838,0.1184076369,-1.042387605,9.157064438,9.216963785,1
25,0.048510838,0.08798212558,-1.02187407,9.224973679,9.281815924,1
26,0.050510838,0.04239652306,-1.010669112,9.29893589,9.353793787,1
27,0.052510838,0.0293337591,-1.006101012,9.342472076,9.396535756,1
28,0.054510838,0.01413536631,-0.9786060452,9.386496544,9.437382421,1
29,0.056510838,0.01398213767,-0.9641929269,9.420781136,9.470004261,1
30,0.058510838,0.02110728249,-0.9535051584,9.460927963,9.508878774,1
31,0.060510838,0.03705266491,-0.9166249633,9.522784233,9.566869591,1
32,0.062510838,0.04138138145,-0.8965423703,9.564749718,9.60676521,1
33,0.064510838,0.05101565272,-0.8911314607,9.628119469,9.669405482,1
34,0.066510838,0.08603803068,-0.8696507215,9.695798874,9.735101988,1
35,0.068510838,0.1135521978,-0.856271863,9.748806953,9.786998141,1
36,0.070510838,0.1350617111,-0.8400679231,9.790561676,9.827464257,1
37,0.072510838,0.1751023382,-0.8034366369,9.848577499,9.882846251,1
38,0.074510838,0.2018407732,-0.7743039727,9.891558647,9.92387116,1
39,0.076510838,0.2419005632,-0.7384675741,9.938312531,9.968646157,1
40,0.078510838,0.2663214207,-0.70376122,9.964600563,9.992971096,1
41,0.080510838,0.2881278098,-0.6835924387,10.00227547,10.02974729,1
42,0.082510838,0.3152205944,-0.6539618373,10.05482292,10.08099668,1
43,0.084510838,0.3233417273,-0.6309296489,10.0830555,10.10794886,1
44,0.086510838,0.3272395134,-0.6196576953,10.12753963,10.15175455,1
45,0.088510838,0.3433763981,-0.6060586572,10.17764664,10.20145605,1
46,0.090510838,0.3471209407,-0.5891076922,10.20907688,10.23194955,1
47,0.092510838,0.3482797146,-0.5655200481,10.24578476,10.26728869,1
48,0.094510838,0.3461632729,-0.5445563793,10.27255154,10.29279776,1
49,0.096510838,0.3307062984,-0.5343571305,10.30457687,10.32372068,1
50,0.098510838,0.3042072654,-0.5379388332,10.33090305,10.34937091,1
51,0.100517088,0.2804759443,-0.5305168033,10.35234547,10.36972379,1
52,0.102510838,0.2719717324,-0.5162952542,10.34683037,10.36327304,1
53,0.104510838,0.2388838679,-0.5120718479,10.3339777,10.34941439,1
54,0.106510838,0.2112356275,-0.5046881437,10.32965946,10.34413821,1
55,0.108510838,0.1862593144,-0.5132498145,10.32343388,10.33786269,1
56,0.110510838,0.170725733,-0.5179232955,10.32094383,10.33534099,1
57,0.112510838,0.1438149065,-0.5166208744,10.32539749,10.33931396,1
58,0.114510838,0.1180820316,-0.5266765356,10.32169056,10.33579351,1
59,0.116510838,0.1018397585,-0.5328343511,10.31383801,10.32809461,1
60,0.118510838,0.09329725057,-0.5335047841,10.29580498,10.31004034,1
61,0.120510838,0.07638461143,-0.5360330343,10.28706169,10.3013011,1
62,0.122510838,0.08034940809,-0.5266573429,10.24492264,10.25876522,1
63,0.124510838,0.07577169687,-0.5200493336,10.20626163,10.21978323,1
64,0.126510838,0.07015010715,-0.520719707,10.12016582,10.13379625,1
65,0.128510838,0.07701668143,-0.5089402199,10.06409359,10.07724821,1
66,0.130510838,0.09253110737,-0.5073121786,9.99698925,10.0102808,1
67,0.132510838,0.09975202382,-0.5209590793,9.941932678,9.956072228,1
68,0.134510838,0.09522219002,-0.5372971892,9.885352135,9.900401121,1
69,0.136510838,0.08068460226,-0.5560485721,9.857244492,9.873245109,1
70,0.138510838,0.08108682185,-0.5677322149,9.826090813,9.842812383,1
71,0.140510838,0.07469909638,-0.5855163932,9.799132347,9.816893814,1
72,0.142510838,0.06565858424,-0.6135956049,9.774270058,9.793730943,1
73,0.144510838,0.0580929108,-0.6344826221,9.746067047,9.766870833,1
74,0.146510838,0.04796064645,-0.6626671553,9.727440834,9.750104264,1
75,0.148510838,0.0393127948,-0.6740635633,9.693863869,9.717350662,1
76,0.150510838,0.0333272852,-0.6828742027,9.667240143,9.691385859,1
77,0.152510838,0.01033337507,-0.6846746206,9.65290451,9.67716134,1
78,0.154510838,-0.03769431263,-0.6921445131,9.623398781,9.648330891,1
79,0.156510838,-0.07994718105,-0.7001891136,9.606820107,9.632634578,1
80,0.158510838,-0.1149312556,-0.6971723437,9.585990906,9.611996677,1
81,0.160510838,-0.1666364372,-0.7058010697,9.565505981,9.592957184,1
82,0.162510838,-0.190482676,-0.7164505124,9.559462547,9.588165058,1
83,0.164510838,-0.2227756828,-0.7202333212,9.576461792,9.606091062,1
84,0.166510838,-0.2552123368,-0.7239587307,9.585253716,9.615941887,1
85,0.168510838,-0.2766739428,-0.7304039598,9.59591198,9.627645877,1
86,0.170510838,-0.3112462163,-0.7412927151,9.612565994,9.646129488,1
87,0.172510838,-0.3369503915,-0.7484945059,9.632457733,9.667368906,1
88,0.174510838,-0.3490554392,-0.7427100539,9.651706696,9.68653189,1
89,0.176510838,-0.3646177649,-0.7416757941,9.67463398,9.709869811,1
90,0.178510838,-0.3829765022,-0.7287853956,9.688702583,9.723618509,1
91,0.180510838,-0.3952827156,-0.7129070759,9.69576931,9.729975716,1
92,0.182510838,-0.3883586824,-0.6907655001,9.712327957,9.744603316,1
93,0.184510838,-0.397696048,-0.6710468531,9.723638535,9.754876338,1
94,0.186510838,-0.3744914532,-0.642958045,9.757894516,9.786222166,1
95,0.188510838,-0.353125602,-0.6210080385,9.770755768,9.796837089,1
96,0.190510838,-0.3318172097,-0.5972958207,9.80192852,9.825714614,1
97,0.192510838,-0.2815868556,-0.5616509914,9.819923401,9.840001961,1
98,0.194510838,-0.2524637878,-0.5400074124,9.83143425,9.8494896,1
99,0.196510838,-0.216981709,-0.5278927684,9.847542763,9.864068648,1
100,0.198510838,-0.174738422,-0.4993921816,9.873659134,9.887824369,1
101,0.200510838,-0.1311639398,-0.4872583747,9.896528244,9.909384239,1
102,0.202510838,-0.08620083332,-0.4712363482,9.904477119,9.916055732,1
103,0.204510838,-0.04527914524,-0.4561241567,9.931838036,9.942409477,1
104,0.206510838,0.004223371856,-0.4474762976,9.963632584,9.973676711,1
105,0.208510838,0.08087613434,-0.4224425256,9.978793144,9.988058433,1
106,0.210510838,0.1332516968,-0.4101363122,10.00779152,10.01707836,1
107,0.212510838,0.1878873706,-0.4033271968,10.03845692,10.04831288,1
108,0.214510838,0.2481063455,-0.371819526,10.05931568,10.0692422,1
109,0.216510838,0.2951093018,-0.3562667966,10.08707809,10.09768092,1
110,0.218510838,0.3362704217,-0.3361267745,10.0892334,10.10043017,1
111,0.220510838,0.367787689,-0.3229969442,10.0538187,10.06572726,1
112,0.222510838,0.3894408643,-0.3111791611,10.02160168,10.03399207,1
113,0.224510838,0.4000040591,-0.2970438302,10.01243687,10.0248257,1
114,0.226510838,0.3877840638,-0.2802269161,10.00220871,10.01364482,1
115,0.228510838,0.3782072365,-0.2923128605,9.993167877,10.00459353,1
116,0.230510838,0.3427443206,-0.2875627875,10.01344204,10.02343192,1
117,0.232510838,0.3222308159,-0.2897462845,10.05867386,10.06800404,1
118,0.234510838,0.2976184487,-0.3087849617,10.11109638,10.1201875,1
119,0.236510838,0.2457121313,-0.3307445943,10.17858505,10.18692103,1
120,0.238510838,0.2127104551,-0.3472741842,10.18682003,10.19495696,1
121,0.240510838,0.1822370589,-0.3538247049,10.1916275,10.19939574,1
122,0.242510838,0.126394704,-0.370881021,10.20001793,10.20754104,1
123,0.244510838,0.07422982901,-0.3762152791,10.19024944,10.19746202,1
124,0.246510838,0.03222595528,-0.3823635876,10.18685913,10.19408355,1
125,0.248510838,-0.01682645082,-0.3893067539,10.15357018,10.16104474,1
126,0.250510838,-0.05647442862,-0.3831584752,10.13486576,10.14226325,1
127,0.252510838,-0.08969637007,-0.3803524375,10.12995338,10.1374883,1
128,0.254510838,-0.1218840182,-0.3848918676,10.1158371,10.12389044,1
129,0.256510838,-0.1405396461,-0.3867976367,10.11530113,10.12366933,1
130,0.258510838,-0.1618097275,-0.3919882774,10.11217022,10.12105843,1
131,0.260510838,-0.1700362116,-0.4205367565,10.11005306,10.12022413,1
132,0.262510838,-0.1640219688,-0.4390104115,10.09991074,10.11077792,1
133,0.264510838,-0.1487373859,-0.4414812326,10.08469296,10.09544751,1
