,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
0,0.000703022,5.318537235,3.918925047,7.086502075,9.688308599,1
1,0.002703022,5.302227974,3.896994114,7.105770588,9.684635267,1
2,0.004703022,5.283361435,3.877936363,7.111104488,9.670579379,1
3,0.006703022,5.250733376,3.861358881,7.126532555,9.657523473,1
4,0.008703022,5.215596199,3.827974081,7.156163692,9.647098428,1
5,0.010703022,5.189470768,3.804903507,7.178429604,9.640422663,1
6,0.012703022,5.154390812,3.787713289,7.21954298,9.645533549,1
7,0.014703022,5.122356415,3.763550997,7.224503517,9.622697253,1
8,0.016703022,5.084614277,3.740020752,7.22721386,9.595502996,1
9,0.018703022,5.041394234,3.731152534,7.256959438,9.591695124,1
10,0.020703022,4.995482922,3.714488983,7.239337921,9.547789878,1
11,0.022703022,4.959339619,3.700621843,7.235200882,9.52038777,1
12,0.024703022,4.910335541,3.679265738,7.236551285,9.487679695,1
13,0.026703022,4.879641533,3.675770044,7.223163128,9.460246957,1
14,0.028703022,4.855785847,3.660044909,7.217809677,9.437762524,1
15,0.030703022,4.830608368,3.627962589,7.217158318,9.411921373,1
16,0.032703022,4.815275669,3.609852791,7.208069801,9.390111139,1
17,0.034703022,4.812508106,3.58462739,7.221525192,9.389367066,1
18,0.036703022,4.802959919,3.573413134,7.222779751,9.381164786,1
19,0.038703022,4.804597855,3.572752237,7.230805397,9.387931923,1
20,0.040703022,4.745834351,3.65313983,7.300955296,9.443109791,1
21,0.042703022,4.357600212,3.928904057,7.438488007,9.473968045,1
22,0.044703022,3.975830555,4.123533726,7.710248947,9.605139136,1
23,0.046703022,3.88215971,4.195331097,7.966284752,9.804777395,1
24,0.048703022,3.951083899,4.20092392,8.090353012,9.935423374,1
25,0.050703022,4.042973518,4.158191681,8.148511887,10.0017218,1
26,0.052703022,4.187525749,4.117078781,8.151461601,10.04649371,1
27,0.054703022,4.322195053,4.081529617,8.105474472,10.05181429,1
28,0.056703022,4.515368462,4.016560555,8.039499283,10.05757723,1
29,0.058703022,4.642347813,3.961676121,7.985993862,10.05098845,1
30,0.060703022,4.741113186,3.915668964,7.928418159,10.03346561,1
31,0.062703022,4.825733662,3.868847847,7.908450603,10.03988446,1
32,0.064703022,4.863275051,3.846744537,7.928542614,10.06532045,1
33,0.066703022,4.891124249,3.832350731,7.958335876,10.09678753,1
34,0.068703022,4.920726299,3.823904037,8.022586823,10.15862632,1
35,0.070703022,4.932486534,3.822582483,8.037861824,10.17589224,1
36,0.072703022,4.938749313,3.858227253,8.071122169,10.21861905,1
37,0.074703022,4.898862362,3.917028904,8.2156353,10.33627744,1
38,0.076703022,4.837925434,3.999992609,8.339014053,10.43765389,1
39,0.078703022,4.739762783,4.109886646,8.533691406,10.59152532,1
40,0.080703022,4.565608501,4.246691227,8.853364944,10.82872283,1
41,0.082703022,4.45152998,4.294719219,9.059017181,10.96934477,1
42,0.084703022,4.299488068,4.3085289,9.25497818,11.07716751,1
43,0.086703022,4.221341133,4.288762093,9.322734833,11.09624198,1
44,0.088703022,4.114234447,4.288158894,9.390882492,11.11323111,1
45,0.090703022,4.000213146,4.282719135,9.506044388,11.16728563,1
46,0.092703022,3.921396017,4.253040314,9.577831268,11.18930518,1
47,0.094703022,3.849167824,4.201584339,9.557969093,11.12763124,1
48,0.096703022,3.744675159,4.136031151,9.489954948,11.00856896,1
49,0.098703022,3.656788826,4.072460651,9.398438454,10.87601424,1
50,0.100703022,3.593648911,3.99251318,9.203762054,10.65662751,1
51,0.102703022,3.502046585,3.868024349,9.015385628,10.41648312,1
52,0.104703022,3.452620745,3.771633863,8.981474876,10.33502312,1
53,0.106703022,3.384299755,3.630605698,8.881280899,10.17408143,1
54,0.108703022,3.289795876,3.525720358,8.853125572,10.08123471,1
55,0.110703022,3.173351526,3.38037324,9.112445831,10.22417489,1
56,0.112703022,3.083731651,3.157885075,9.252028465,10.25093507,1
57,0.114703022,3.028665066,3.016196012,9.273700714,10.21135522,1
58,0.116703022,2.951016426,2.884744883,9.273672104,10.15043079,1
59,0.118703022,2.825493097,2.733258963,9.163212776,9.97088683,1
60,0.120703022,2.686696529,2.65390563,9.190813065,9.936427835,1
61,0.122703022,2.537260056,2.600677729,9.267552376,9.954332739,1
62,0.124703022,2.304026365,2.520538807,9.288937569,9.896767883,1
63,0.126703022,2.135867357,2.455770969,9.347097397,9.897523436,1
64,0.128703022,1.907316923,2.417233944,9.518445015,10.00408283,1
65,0.130703022,1.750094414,2.379242659,9.502825737,9.951247312,1
66,0.132703022,1.59728682,2.336376905,9.507097244,9.91941935,1
67,0.134703022,1.459064841,2.267893314,9.185623169,9.573290098,1
68,0.136703022,1.339536786,2.244458675,9.250918388,9.613087151,1
69,0.138703022,1.252550483,2.219396353,9.175672531,9.523002115,1
70,0.140703022,1.19263804,2.221962929,9.039998055,9.385151548,1
71,0.142703022,1.152070642,2.223447323,8.924464226,9.269144862,1
72,0.144703022,1.127793431,2.237984896,8.828398705,9.177206443,1
73,0.146703022,1.131183743,2.241710186,8.729383469,9.083335123,1
74,0.148703022,1.123292327,2.261074543,8.707289696,9.065932803,1
75,0.150703022,1.116933346,2.279806614,8.737638474,9.098977107,1
76,0.152703022,1.141066909,2.286750078,8.644313812,9.014178881,1
77,0.154703022,1.127104044,2.347667933,8.785398483,9.163249138,1
78,0.156703022,1.218888044,2.3104527,8.449856758,8.844430958,1
