Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
69.47602371,-0.2915936279,-9.522747345,-1.891466675,9.713155513,
69.48594871,-0.2257305908,-9.547146606,-1.876198425,9.732372946,
69.49587471,-0.2032772827,-9.575437775,-1.945953369,9.773283212,
69.50579971,-0.2112107849,-9.602082367,-1.99265625,9.808938511,
69.51572471,-0.2408491516,-9.633516998,-1.98562088,9.838970899,
69.52565071,-0.205821991,-9.655820618,-1.935924225,9.850128786,
69.53557571,-0.1639091492,-9.653724976,-1.933978271,9.846905304,
69.54550071,-0.1779798889,-9.651779022,-1.984872437,9.855365733,
69.55542571,-0.2019300842,-9.613309021,-1.979932709,9.817159448,
69.56535171,-0.2263293457,-9.570198669,-1.966161346,9.772702696,
69.57527671,-0.2549198914,-9.585167542,-1.968256989,9.788485916,
69.58520171,-0.2511776733,-9.592651978,-1.952240295,9.792512668,
69.59512771,-0.2315684509,-9.565708008,-1.987866211,9.772819742,
69.60505271,-0.2281256104,-9.561816101,-2.002835083,9.771986329,
69.61497771,-0.2028282166,-9.566456451,-2.010020142,9.777443904,
69.62490271,-0.1266366577,-9.554181976,-2.02304306,9.76683845,
69.63482871,-0.1028361511,-9.549691315,-2.058369598,9.769547834,
69.64475371,-0.1651066589,-9.572893066,-2.06989563,9.795509675,
69.65467871,-0.2432441711,-9.602232056,-2.033371582,9.818178455,
69.66460471,-0.2751278687,-9.634714508,-1.962868195,9.836476531,
69.67452971,-0.2772235107,-9.663454742,-1.881587219,9.848836525,
69.68445471,-0.2821632385,-9.689051514,-1.848206635,9.867786129,
69.69438071,-0.2562670898,-9.686806183,-1.860780487,9.867238259,
69.70430571,-0.2456391907,-9.653575287,-1.908830566,9.843550608,
69.71423071,-0.2139051819,-9.600435791,-1.949695587,9.798746639,
69.72415571,-0.2206411743,-9.56540863,-1.972148895,9.769088804,
69.73408171,-0.2198927307,-9.563312988,-1.991758118,9.770998338,
69.74400671,-0.2198927307,-9.570348358,-1.98562088,9.776635965,
69.75393171,-0.1936972046,-9.589957581,-1.976190491,9.793371935,
69.76385771,-0.1814227295,-9.583371277,-1.96930481,9.785299212,
69.77378271,-0.1869612122,-9.611662445,-1.940265198,9.807325756,
69.78370771,-0.1835183716,-9.650731201,-1.896107025,9.836946353,
69.79363271,-0.1603166199,-9.673483887,-1.859882355,9.851961952,
69.80355871,-0.162412262,-9.678872681,-1.868863678,9.858986031,
69.81348371,-0.159717865,-9.6613591,-1.87215683,9.842374747,
69.82340871,-0.1863624573,-9.610315247,-1.866468658,9.791659479,
69.83333471,-0.2023791504,-9.578132172,-1.862576752,9.759649859,
69.84325971,-0.1689985657,-9.595795441,-1.864073639,9.776636497,
69.85318471,-0.1447489929,-9.631271667,-1.854942627,9.809340363,
69.86310971,-0.1263372803,-9.612111511,-1.888622589,9.796710882,
69.87303571,-0.1020877075,-9.579629059,-1.949845276,9.776584854,
69.88296071,-0.1267863464,-9.554331665,-1.990560608,9.76031044,
69.89288571,-0.1469943237,-9.523795166,-2.022144928,9.737214787,
69.90281171,-0.1646575928,-9.516161041,-2.004631348,9.726406321,
69.91273671,-0.1636097717,-9.563013611,-1.964514771,9.764082945,
69.92266171,-0.1577719116,-9.598040771,-1.946552124,9.794709991,
69.93258671,-0.1728904724,-9.636361084,-1.950294342,9.833259586,
69.94251271,-0.1806742859,-9.631271667,-1.924248505,9.82327692,
69.95243771,-0.1839674377,-9.61929657,-1.920206909,9.810805527,
69.96236271,-0.192948761,-9.609566803,-1.905537415,9.798575213,
69.97228871,-0.1694476318,-9.605674896,-1.873653717,9.78817046,
69.98221371,-0.1296304321,-9.589658203,-1.871109009,9.771355967,
69.99213871,-0.1064286804,-9.614805908,-1.881138153,9.79767832,
70.00206471,-0.07020401001,-9.636510773,-1.883533173,9.819112266,
70.01198971,-0.04580474854,-9.625733185,-1.899250488,9.811421397,
70.02191471,-0.07125183105,-9.643695831,-1.921703796,9.833559457,
70.03183971,-0.1119671631,-9.669142914,-1.923050995,9.859157493,
70.04176571,-0.1133143616,-9.673483887,-1.89086792,9.857206102,
70.05169071,-0.1181044006,-9.67078949,-1.858684845,9.848493659,
70.06161571,-0.1022373962,-9.65552124,-1.863325195,9.834201731,
70.07154171,-0.0730480957,-9.626182251,-1.889221344,9.810090623,
70.08146671,-0.06197113037,-9.58531723,-1.923200684,9.776545796,
70.09139171,-0.07439529419,-9.580227814,-1.938319244,9.774629462,
70.10131671,-0.08951385498,-9.591304779,-1.929786987,9.783926508,
70.11124271,-0.07035369873,-9.596094818,-1.905687103,9.783743084,
70.12116771,-0.04879852295,-9.591005402,-1.918260956,9.781078213,
70.13109271,-0.04715194702,-9.583670654,-1.917362823,9.773701792,
70.14101871,-0.0636177063,-9.61690155,-1.908231812,9.804600516,
70.15094371,-0.04326004028,-9.657317505,-1.897304535,9.84202303,
70.16086871,0.0122744751,-9.68950058,-1.904190216,9.874842405,
70.17079371,0.03457809448,-9.667047272,-1.941612396,9.860165176,
70.18071971,-0.01002914429,-9.612859955,-1.969454498,9.812539331,
70.19064458,-0.08741821289,-9.566157074,-1.968855743,9.767056673,
70.20056958,-0.136665802,-9.549541626,-1.929637299,9.743506705,
70.21049558,-0.1630110168,-9.565109253,-1.907483368,9.754813192,
70.22042058,-0.1625619507,-9.596394196,-1.904040527,9.784813656,
70.23034558,-0.1318757629,-9.590556335,-1.919757843,9.781698841,
70.24027058,-0.1206491089,-9.578581238,-1.928888855,9.771611277,
70.25019658,-0.1282832336,-9.602531433,-1.957030334,9.800767023,
70.26012158,-0.119002533,-9.628277893,-1.961371307,9.826742807,
70.27004658,-0.08756790161,-9.655371552,-1.955683136,9.851830513,
70.27997258,-0.09819580078,-9.680668945,-1.971101074,9.879789122,
70.28989758,-0.1110690308,-9.666298828,-1.989063721,9.869450028,
70.29982258,-0.1094224548,-9.639055481,-1.994751892,9.843901612,
70.30974758,-0.1055305481,-9.593999176,-1.994751892,9.799744486,
70.31967358,-0.1293310547,-9.589059448,-2.000589752,9.796384383,
70.32959858,-0.1484912109,-9.595945129,-1.998643799,9.802999011,
70.33952358,-0.1820214844,-9.607920227,-1.99969162,9.815499452,
70.34944958,-0.2314187622,-9.621841278,-1.987117767,9.827615237,
70.35937458,-0.2496807861,-9.64504303,-1.951042786,9.843564572,
70.36929958,-0.2462379456,-9.651030579,-1.92709259,9.844628495,
70.37922458,-0.2218386841,-9.630523224,-1.919907532,9.822537091,
70.38915058,-0.2285746765,-9.614805908,-1.947899323,9.812800355,
70.39907558,-0.2314187622,-9.611662445,-1.980381775,9.816288585,
70.40900058,-0.2222877502,-9.60762085,-1.977837067,9.811606887,
70.41892658,-0.2088157654,-9.612859955,-1.938019867,9.808496395,
70.42885158,-0.209564209,-9.613009644,-1.929637299,9.807006254,
70.43877658,-0.1963916016,-9.591753845,-1.943258972,9.788593715,
70.44870258,-0.1878593445,-9.572593689,-1.971699829,9.775348653,
70.45862758,-0.1917512512,-9.56780365,-2.011067963,9.778753989,
70.46855258,-0.1999841309,-9.593101044,-2.022893372,9.806104164,
70.47847758,-0.2035766602,-9.600286102,-2.056124268,9.820111186,
70.48840358,-0.2245330811,-9.591454468,-2.078577576,9.816664334,
70.49832858,-0.2764750671,-9.560319214,-2.090253296,9.790061326,
70.50825358,-0.3350033569,-9.531728668,-2.038760376,9.753082719,
70.51817858,-0.3576063538,-9.524393921,-1.9681073,9.732184144,
70.52810458,-0.3811074829,-9.570348358,-1.94580368,9.77358494,
70.53802958,-0.3546125793,-9.582922211,-1.973196716,9.790385767,
70.54795458,-0.3345542908,-9.585915985,-2.011517029,9.800403696,
70.55788058,-0.3065625,-9.600435791,-2.025587769,9.816585646,
70.56780558,-0.2841091919,-9.61345871,-2.035616913,9.830719333,
70.57773058,-0.2655477905,-9.585915985,-2.052531738,9.806792923,
70.58765658,-0.2803669739,-9.576934662,-2.059567108,9.799903052,
70.59758158,-0.3122506714,-9.579329681,-2.026036835,9.796217785,
70.60750658,-0.3381468201,-9.586664429,-2.001338196,9.799175104,
70.61743158,-0.3287164307,-9.613608398,-1.977986755,9.82048637,
70.62735758,-0.2833607483,-9.630074158,-1.993404694,9.838306962,
70.63728258,-0.2730322266,-9.62273941,-2.032623138,9.838862596,
70.64720758,-0.2811154175,-9.613907776,-2.048041077,9.833652468,
70.65713258,-0.315693512,-9.598340149,-2.040706329,9.817956933,
70.66705858,-0.3393443298,-9.583221588,-2.025737457,9.800862351,
70.67698358,-0.340841217,-9.568552094,-2.011217651,9.783575949,
70.68690858,-0.3263214111,-9.554780731,-2.030677185,9.773636494,
70.69683458,-0.3186872864,-9.577832794,-2.039359131,9.797725669,
70.70675958,-0.3083587646,-9.608369293,-2.054328003,9.830366684,
70.71668458,-0.3029699707,-9.634714508,-2.073787537,9.860025822,
70.72661058,-0.3132984924,-9.645492096,-2.074835358,9.871100014,
70.73653558,-0.3281176758,-9.645342407,-2.06166275,9.868674919,
