Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
34.73634771,1.285676422,-9.673932953,-0.137713623,9.759964533,
34.74627271,1.263223114,-9.662706299,-0.1179547119,9.74564205,
34.75619771,1.249751129,-9.663005676,-0.09909393311,9.7439918,
34.76612271,1.129551086,-9.635762329,-0.1326242065,9.702648633,
34.77604771,1.100062408,-9.678722992,-0.1666035461,9.742462358,
34.78597271,1.096170502,-9.71524704,-0.122744751,9.777662353,
34.79589771,1.098864899,-9.681567078,-0.08397537231,9.744090363,
34.80582271,1.075812836,-9.673184509,-0.08652008057,9.733209005,
34.81574771,1.098415833,-9.711205444,-0.1029858398,9.773670478,
34.82567271,1.120869141,-9.741741943,-0.08427474976,9.806374761,
34.83559771,1.084045715,-9.738149414,0.02350112915,9.798329522,
34.84552271,1.099763031,-9.694889374,-0.01916015625,9.757085928,
34.85544671,1.030157776,-9.698182526,-0.02439926147,9.752772153,
34.86537171,0.996328125,-9.709858246,-0.05179229736,9.7609784,
34.87529671,0.9921368408,-9.716145172,-0.04490661621,9.766771684,
34.88522171,1.011895752,-9.728719025,-0.06691085815,9.781430567,
34.89514671,1.033450928,-9.720635834,-0.07454498291,9.775701447,
34.90507171,1.056802368,-9.729766846,-0.0889151001,9.787394955,
34.91499671,1.071920929,-9.737101593,-0.1182540894,9.796639523,
34.92492171,1.067579956,-9.737999725,-0.1206491089,9.797087415,
34.93484671,1.036893768,-9.735904083,-0.1390608215,9.791951538,
34.94477171,0.9955796814,-9.728868713,-0.1637594604,9.781047107,
34.95469671,0.9803114319,-9.73395813,-0.1856140137,9.784958045,
34.96462587,1.015488281,-9.752519531,-0.2103126526,9.807501469,
34.97455088,1.037941589,-9.741292877,-0.2094145203,9.798671548,
34.98447488,1.047371979,-9.704619141,-0.2404000854,9.763934296,
34.99439988,1.045126648,-9.692494354,-0.2324665833,9.751450007,
35.00432488,1.058149567,-9.721833344,-0.1719923401,9.780762007,
35.01424988,1.076860657,-9.757608948,-0.1216969299,9.817605176,
35.02417487,1.044527893,-9.756561127,-0.1445993042,9.813380279,
35.03409988,0.9937834167,-9.731114044,-0.1760339355,9.783310992,
35.04402488,1.021625519,-9.723479919,-0.1694476318,9.77847089,
35.05394988,1.066532135,-9.727222137,-0.176333313,9.787105535,
35.06387488,1.09991272,-9.713450775,-0.1633103943,9.776891338,
35.07379988,1.105301514,-9.689350891,-0.1287322998,9.753039738,
35.08372488,1.097218323,-9.697883148,-0.1222956848,9.760521597,
35.09364988,1.08344696,-9.711953888,-0.1450483704,9.773277069,
35.10357388,1.077309723,-9.744735718,-0.1592687988,9.80539836,
35.11349887,1.091081085,-9.771829376,-0.149539032,9.833690519,
35.12342388,1.134041748,-9.774074707,-0.1703457642,9.841118064,
35.13334888,1.157991943,-9.765243073,-0.183817749,9.835380347,
35.14327388,1.194366302,-9.760752411,-0.1576222229,9.834817907,
35.15319888,1.219813385,-9.746681671,-0.1333726501,9.823621357,
35.16312388,1.227297821,-9.71988739,-0.136665802,9.798017573,
35.17304888,1.202449493,-9.69533844,-0.1300794983,9.770485808,
35.18297388,1.183588715,-9.672585754,-0.1345701599,9.745660909,
35.19289888,1.196761322,-9.645641785,-0.1706451416,9.721098851,
35.20282388,1.208886108,-9.634115753,-0.1899549866,9.711522788,
35.21274887,1.22744751,-9.623637543,-0.2151026917,9.703983518,
35.22267388,1.247954865,-9.63336731,-0.2445913696,9.716943038,
35.23259788,1.308578796,-9.663155365,-0.256716156,9.754734915,
35.24252288,1.355581055,-9.704619141,-0.2216889954,9.801345758,
35.25244788,1.382225647,-9.743089142,-0.1878593445,9.842439987,
35.26237288,1.390608215,-9.759405212,-0.1862127686,9.85973917,
35.27229788,1.388811951,-9.761201477,-0.2002835083,9.861539758,
35.28222288,1.358874207,-9.751771088,-0.190254364,9.847830989,
35.29214788,1.33043335,-9.728719025,-0.1630110168,9.820621129,
35.30207287,1.301543427,-9.720037079,-0.1360670471,9.807734211,
35.31199788,1.318308563,-9.730664978,-0.1451980591,9.820634443,
35.32192288,1.336570587,-9.7210849,-0.1423539734,9.813571074,
35.33184788,1.345402222,-9.700427856,-0.1440005493,9.794342443,
35.34177288,1.320853271,-9.684710541,-0.1516346741,9.775544215,
35.35169688,1.274449768,-9.6613591,-0.1695973206,9.746529902,
35.36162188,1.230590973,-9.674681396,-0.2136058044,9.754970103,
35.37154688,1.199605408,-9.672585754,-0.2453398132,9.74977743,
35.38147188,1.175505524,-9.660161591,-0.1953437805,9.733380419,
