Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
39.70262521,-3.515289917,-13.5444342,0.1312770081,13.99379129,
39.71255021,-3.75359436,-13.12186295,0.07200027466,13.64836773,
39.72247521,-3.811374207,-12.51906647,0.03667373657,13.08644121,
39.73240021,-3.903881836,-12.25965591,0.006137237549,12.86621522,
39.74232521,-3.866309967,-12.31504074,-0.05688171387,12.90781998,
39.75225021,-3.882027283,-12.71036865,-0.1832189941,13.29124435,
39.76217521,-3.886817322,-12.99672318,-0.523611145,13.57557847,
39.77210021,-3.537593536,-12.50439697,-0.8704399109,13.02429182,
39.78202521,-2.875969391,-11.36526581,-1.053958282,11.77078141,
39.79195021,-2.194286957,-10.29334488,-1.104852448,10.58246394,
39.80187521,-1.590442657,-9.44730423,-1.203946381,9.655596923,
39.81180021,-1.017134857,-8.821605377,-1.223106537,8.963887234,
39.82172521,-0.4918771362,-8.456963654,-1.118773499,8.544813134,
39.83164596,-0.1031355286,-8.228388977,-0.9758207703,8.286691033,
39.84157096,0.2062710571,-8.132588196,-0.7514373779,8.169834554,
39.85149596,0.4939727783,-8.179141388,-0.3932322693,8.203474542,
39.86142096,0.7882608032,-8.346343689,-0.09999206543,8.384080539,
39.87134596,1.088985443,-8.555758209,0.07484436035,8.625108087,
39.88127196,1.39360199,-8.701854401,0.1603166199,8.814198655,
39.89119696,1.654808807,-8.788224792,0.2893482971,8.947346513,
39.90112196,1.855691071,-8.7615802,0.4299060059,8.966253182,
39.91104696,1.96107193,-8.557554474,0.4776567078,8.792365871,
39.92097196,1.997146912,-8.174501038,0.4637356567,8.427699197,
39.93089696,1.925146637,-7.672744446,0.412691803,7.92133268,
39.94082196,1.699266357,-7.216044159,0.3614982605,7.422228806,
39.95074696,1.154399414,-7.038663025,0.3315605164,7.140402479,
39.96067196,0.5071453857,-7.147636414,0.3990701294,7.176709532,
39.97059696,0.1525328064,-7.234904938,0.4227209473,7.248848785,
39.98052196,-0.2387535095,-7.553143158,0.4161346436,7.568364608,
39.99044696,-0.7158114624,-8.022566986,0.4776567078,8.068588664,
40.00037196,-1.207987976,-8.45382019,0.5471122742,8.557198292,
40.01029696,-1.729503479,-8.870254211,0.5221142578,9.052358552,
40.02022196,-2.342179413,-9.204958191,0.5060975647,9.511739822,
40.03014696,-2.914140015,-9.239087219,0.6789880371,9.711537954,
40.04007196,-3.301235046,-8.919501801,1.042282562,9.567759306,
40.04999696,-3.511996765,-8.4749263,1.341061249,9.271296692,
40.05992196,-3.610641632,-8.082592163,1.541494446,8.985612622,
40.06984696,-3.506158905,-7.806566162,1.544039154,8.695957821,
40.07977196,-3.194806366,-7.614515533,1.412013702,8.377435002,
40.08969696,-2.872077484,-7.601043549,1.454225922,8.254663236,
40.09962196,-2.631976776,-7.535479889,1.701212311,8.161181424,
40.10954696,-2.546654205,-7.331005096,2.117496643,8.044431328,
40.11947196,-2.521955566,-7.255861359,2.394121399,8.046092294,
40.12939696,-2.461930389,-7.240144043,2.640509033,8.09030747,
40.13932196,-2.46297821,-7.351063385,3.002755737,8.313900202,
40.14924696,-2.588567047,-7.557334442,3.219205627,8.612622603,
40.15917196,-2.766397247,-7.855813751,3.393892365,8.993623786,
40.16909696,-2.870281219,-8.322692871,3.500470734,9.474124037,
40.17902196,-2.870879974,-8.856632538,3.417243805,9.917633133,
40.18894696,-3.080444183,-9.516909485,3.125949554,10.48008889,
40.19887196,-3.215014343,-10.28825546,2.916834412,11.16657695,
