Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
43.51228813,-8.501698494,-6.221338749,-1.021735311,10.58432219,
43.51470313,-8.673981667,-6.245266914,-0.9571290612,10.7311422,
43.51711808,-8.810373306,-6.281159401,-0.9092726111,10.85828798,
43.51953303,-8.941978455,-6.314659119,-0.8231309652,10.9777704,
43.52194803,-9.083154678,-6.343372822,-0.7513462901,11.10435045,
43.52436297,-9.231510162,-6.384050846,-0.6963114142,11.24552065,
43.52677792,-9.332008362,-6.458228111,-0.6436693072,11.3670313,
43.52919292,-9.444471359,-6.491727829,-0.5599204898,11.4740612,
43.53160787,-9.516255379,-6.486942291,-0.5096712112,11.52819593,
43.53402287,-9.552147865,-6.518048763,-0.4761717021,11.57390289,
43.53643782,-9.595218658,-6.515655994,-0.3780659735,11.60452188,
43.53885277,-9.645467758,-6.527620316,-0.1076770201,11.64716573,
43.54126777,-9.958928108,-6.463014126,-0.007178467698,11.87227241,
43.54368271,-9.923035622,-6.436692715,-0.05264209956,11.8279508,
43.54609771,-9.932606697,-6.491727829,-0.1004985496,11.8663097,
43.54851266,-9.958928108,-6.556334019,-0.1052841991,11.92379342,
43.55092761,-9.925428391,-6.587440968,-0.0765703246,11.9127818,
43.55334261,-9.937392235,-6.628118515,-0.06221338734,11.94519108,
43.55575756,-9.925428391,-6.671189308,-0.05503492057,11.95917741,
43.55817256,-9.906285286,-6.714260101,-0.0382851623,11.96734067,
43.5605875,-9.846465111,-6.75972414,-0.05742774159,11.94361937,
43.56300245,-9.79860878,-6.798008919,-0.04546362907,11.92592664,
43.56541745,-9.734002113,-6.833901405,-0.04785645381,11.89349805,
43.5678324,-9.774680138,-6.838686943,-0.03349951655,11.92950683,
43.57024735,-9.817750931,-6.826723099,-0.01196411345,11.95794818,
43.57266235,-9.812965393,-6.829115868,0.004785645287,11.95538106,
43.5750773,-9.834501266,-6.831508636,-0.007178467698,11.97443013,
43.5774923,-9.774680138,-6.802794933,-0.02153540403,11.90894011,
43.57990724,-9.717252731,-6.817151546,-0.0382851623,11.87013149,
43.58232219,-9.695717812,-6.802794933,-0.02153540403,11.8442149,
43.58473719,-9.616754532,-6.814758778,0.002392822644,11.78655635,
43.58715214,-9.528220177,-6.771687984,-0.05024927482,11.68953647,
43.58956714,-9.422935486,-6.766902447,-0.1076770201,11.60147733,
43.59198209,-9.339186668,-6.766902447,-0.1316052526,11.53380667,
43.59439704,-9.245866776,-6.747759819,-0.2009970993,11.44808782,
43.59681204,-9.138189316,-6.74536705,-0.2249253243,11.36032887,
43.59922698,-8.968298912,-6.714260101,-0.2727817893,11.20651971,
43.60164198,-8.781659126,-6.726224422,-0.2273181528,11.06396428,
43.60405693,-8.66680336,-6.697510719,-0.3038884699,10.95730252,
43.60647188,-8.575876236,-6.683153629,-0.404387027,10.87996896,
43.60888688,-8.444271088,-6.661618233,-0.4642075896,10.76561008,
43.61130183,-8.327022552,-6.640082836,-0.5718846321,10.66569532,
43.61371683,-8.161917686,-6.628118515,-0.6221339107,10.53261155,
43.61613178,-8.102097511,-6.587440968,-0.7441678643,10.46862686,
