Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
24.18714979,0.2775674164,-9.841679573,0.3852444589,9.853127107,
24.18956473,0.2679961324,-9.834501266,0.3876372576,9.845785887,
24.19197968,0.2560320199,-9.82732296,0.394815743,9.838582643,
24.19439463,0.2321037948,-9.82732296,0.404387027,9.838377793,
24.19680958,0.2368894368,-9.812965393,0.3972085714,9.823857748,
24.19922452,0.2297109663,-9.796216011,0.3996013701,9.807053407,
24.20163947,0.2297109663,-9.803394318,0.4211367965,9.815124221,
24.20405442,0.2344966233,-9.791430473,0.4235295951,9.803391082,
24.20646932,0.2321037948,-9.789037704,0.418743968,9.800738639,
24.20888426,0.2249253243,-9.765109062,0.4067798555,9.776165723,
24.21129921,0.2392822653,-9.777072906,0.404387027,9.788357344,
24.21371416,0.2536391914,-9.781859398,0.4019941986,9.793401118,
24.21612911,0.2416750938,-9.784252167,0.404387027,9.795587077,
24.21854406,0.2656033039,-9.79860878,0.4115654826,9.81084427,
24.220959,0.2679961324,-9.812965393,0.4139583111,9.825348504,
24.22337395,0.2727817893,-9.82732296,0.394815743,9.839032774,
24.22578885,0.2823530734,-9.839286804,0.3780659735,9.850595005,
24.2282038,0.2703889608,-9.865608215,0.3756731451,9.876460194,
24.23061874,0.2727817893,-9.860821724,0.3493520916,9.870778179,
24.23303369,0.2919243574,-9.875179291,0.337387979,9.885252475,
24.23544864,0.3254238665,-9.899106979,0.3230310678,9.909720922,
24.23786359,0.327816695,-9.932606697,0.3062812984,9.942733418,
24.24027854,0.3302095234,-9.937392235,0.2775674164,9.946750546,
24.24269348,0.337387979,-9.963713646,0.2512463629,9.972589684,
24.24510843,0.3708875179,-9.985248566,0.2249253243,9.994665471,
24.24752338,0.3732803464,-9.982855797,0.1938186288,9.991712253,
24.24993833,0.3828516304,-10.01635551,0.1674975902,10.02506901,
24.25235328,0.3756731451,-10.02353382,0.1339980662,10.0314663,
24.25476817,0.3972085714,-10.04267693,0.09092725813,10.05094037,
24.25718312,0.4163511395,-10.05703354,0.08135596663,10.06597689,
24.25959807,0.4211367965,-10.07856941,0.05982056633,10.08754163,
24.26201301,0.418743968,-10.07378292,0.03589234129,10.08254616,
24.26442796,0.4378865361,-10.07378292,0.002392822644,10.08329573,
24.26684291,0.4618147612,-10.06899738,-0.01196411345,10.07958949,
24.26925786,0.4594219327,-10.05703354,-0.04067798331,10.06760383,
24.27167281,0.4642075896,-10.03789139,-0.05742774159,10.04878352,
24.27408775,0.4642075896,-10.03071213,-0.05982056633,10.04162601,
24.2765027,0.4737788737,-10.02831936,-0.06939185411,10.03974456,
24.2789176,0.4689932466,-10.02831936,-0.08374879509,10.03962936,
24.28133255,0.4642075896,-10.02353382,-0.09092725813,10.03468917,
24.28374749,0.4642075896,-10.01874828,-0.0933200866,10.02993093,
24.28616244,0.4689932466,-10.02114105,-0.1076770201,10.03268743,
24.28857739,0.471386075,-10.00678444,-0.1292124242,10.01871426,
24.29099234,0.4546363056,-9.97567749,-0.1363908947,9.986963404,
24.29340728,0.4354937077,-9.987641335,-0.1292124242,9.997966296,
24.29582223,0.4402793646,-9.963713646,-0.1268195957,9.974242766,
24.29823718,0.4283152521,-9.951749802,-0.1292124242,9.961800737,
24.30065213,0.4402793646,-9.939785004,-0.1316052526,9.950401589,
24.30306702,0.4354937077,-9.927821159,-0.1292124242,9.938208269,
24.30548197,0.433100909,-9.925428391,-0.1292124242,9.935713411,
24.30789692,0.418743968,-9.906285286,-0.1220339537,9.915882561,
24.31031187,0.3972085714,-9.908679008,-0.1172483116,9.917330362,
24.31272682,0.404387027,-9.884750366,-0.1220339537,9.893771321,
24.31514176,0.3708875179,-9.887143135,-0.1268195957,9.894909809,
24.31755671,0.35174492,-9.87757206,-0.1244267747,9.884616143,
24.31997166,0.3326023519,-9.884750366,-0.1052841991,9.890904857,
24.32238661,0.3302095234,-9.899106979,-0.08614161611,9.904987516,
24.3248015,0.3158525825,-9.899106979,-0.09571290761,9.90460715,
24.32721645,0.3110669553,-9.887143135,-0.08614161611,9.892410343,
24.3296314,0.2823530734,-9.882357597,-0.08135596663,9.886725127,
24.33204635,0.2560320199,-9.884750366,-0.06699903309,9.888292627,
24.3344613,0.2177468538,-9.875179291,-0.05264209956,9.877719925,
24.33687624,0.2009970993,-9.894321442,-0.04067798331,9.896446399,
24.33929119,0.1770688742,-9.894321442,-0.03349951655,9.895962429,
24.34170614,0.1483550072,-9.868000984,0.004785645287,9.869117262,
24.34412109,0.1124626622,-9.863214493,0.0382851623,9.863929934,
24.34653604,0.0933200866,-9.868000984,0.05264209956,9.868582636,
24.34895098,0.05982056633,-9.853643417,0.07178468257,9.854086469,
24.35136588,0.03110669367,-9.851250648,0.1196411327,9.852026237,
24.35378083,0.002392822644,-9.834501266,0.1459621787,9.835584672,
24.35619578,-0.04546362907,-9.822537422,0.1579262912,9.823912106,
24.35861072,-0.06939185411,-9.832108498,0.2081755698,9.83455692,
24.36102567,-0.1004985496,-9.803394318,0.2679961324,9.807571668,
24.36344062,-0.1411765367,-9.786644936,0.2799602449,9.791666235,
24.36585557,-0.1842473447,-9.762716293,0.3158525825,9.769561882,
24.36827051,-0.2201396823,-9.74835968,0.3326023519,9.756515887,
24.37068546,-0.2656033039,-9.745966911,0.3541377485,9.756015052,
24.37310041,-0.2847459018,-9.743574142,0.390030086,9.755533853,
24.37551531,-0.3182454109,-9.722038269,0.409172684,9.735847705,
24.37793025,-0.35174492,-9.710074425,0.418743968,9.725462268,
24.3803452,-0.3996013701,-9.686145782,0.4402793646,9.704377739,
24.38276015,-0.4115654826,-9.671789169,0.4546363056,9.691211795,
24.3851751,-0.4378865361,-9.647860527,0.4689932466,9.669173286,
24.38759005,-0.4666004181,-9.619147301,0.4881358147,9.642820506,
24.39000499,-0.4737788737,-9.607182503,0.5120640397,9.63247796,
24.39241994,-0.4905286431,-9.611968994,0.5192425251,9.638473899,
24.39483489,-0.4953143001,-9.602396965,0.5383850932,9.630224413,
24.39724984,-0.5096712112,-9.607182503,0.5527420044,9.63655769,
24.39966473,-0.5264210105,-9.609575272,0.5479564071,9.639570126,
24.40207968,-0.5407779217,-9.611968994,0.5455635786,9.642615222,
24.40449463,-0.5551348329,-9.614361763,0.5503492355,9.646087864,
24.40690958,-0.5383850932,-9.633503914,0.5575276613,9.664631046,
24.40932453,-0.5335994363,-9.6693964,0.5575276613,9.700143927,
24.41173947,-0.5264210105,-9.6693964,0.5718846321,9.700587501,
24.41415442,-0.5216353536,-9.676574707,0.5670989752,9.707203652,
24.41656937,-0.5048855543,-9.693324089,0.5647061467,9.722876856,
24.41898432,-0.4905286431,-9.681360245,0.5647061467,9.71021357,
24.42139926,-0.4785645306,-9.678967476,0.5599204898,9.706953506,
24.42381421,-0.4618147612,-9.705288887,0.5623133183,9.732528013,
24.42622911,-0.4426721931,-9.722038269,0.5503492355,9.747659773,
24.42864406,-0.4067798555,-9.745966911,0.5383850932,9.769298818,
24.431059,-0.3589234054,-9.753145218,0.5407779217,9.774717818,
24.43347395,-0.2943171859,-9.729216576,0.5503492355,9.749213407,
24.4358889,-0.2368894368,-9.745966911,0.5431707501,9.763965491,
24.43830385,-0.1866401732,-9.762716293,0.5431707501,9.779596027,
24.4407188,-0.1268195957,-9.772287369,0.5359922647,9.787797062,
24.44313374,-0.08614161611,-9.791430473,0.5168496966,9.805440566,
24.44554864,-0.04307080805,-9.805787086,0.500099957,9.818625945,
24.44796364,0.0,-9.812965393,0.5096712112,9.826192271,
24.45037854,0.06221338734,-9.84885788,0.5048855543,9.861986689,
24.45279348,0.09092725813,-9.863214493,0.4929214716,9.87594246,
24.45520843,0.1316052526,-9.870393753,0.4833501875,9.883097702,
24.45762338,0.1674975902,-9.856036186,0.4761717021,9.868953553,
24.46003833,0.2129612118,-9.868000984,0.4833501875,9.882126457,
24.46245328,0.2416750938,-9.868000984,0.4881358147,9.883022152,
24.46486822,0.2847459018,-9.868000984,0.4929214716,9.884406671,
24.46728317,0.3086741269,-9.870393753,0.4761717021,9.886692675,
24.46969812,0.3613162339,-9.865608215,0.4522434771,9.882575527,
24.47211307,0.394815743,-9.853643417,0.4402793646,9.87137346,
24.47452796,0.4235295951,-9.865608215,0.4378865361,9.884399192,
