Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
101.4734137,-0.02871387079,-10.52363396,-3.151347399,10.98538514,
101.4758287,0.1196411327,-10.49252701,-2.890529871,10.88405255,
101.4782437,0.09810572863,-10.54516983,-2.591426849,10.85936115,
101.4806587,0.4115654826,-10.55474091,-2.423929453,10.83731405,
101.4830737,0.8925228715,-10.51167011,-2.120040894,10.76040794,
101.4854886,1.201196909,-10.52602673,-1.976471543,10.77713099,
101.4879036,1.452443361,-10.38724327,-1.849651933,10.6501468,
101.4903186,1.430907965,-10.26999474,-1.655833244,10.5005749,
101.4927336,1.404586911,-10.22453117,-1.538584948,10.43461287,
101.4951485,1.24666059,-10.27956581,-1.373480201,10.44557723,
101.4975635,1.304088354,-10.26042366,-1.282552958,10.42218222,
101.4999785,1.447657704,-10.09531879,-1.174875975,10.26603662,
101.5023935,1.435693622,-9.84885788,-1.026520967,10.0057465,
101.5048084,1.203589797,-9.903892517,-1.079162955,10.03495431,
101.5072234,1.091127157,-9.87757206,-1.095912814,9.997900438,
101.5096384,0.9786644578,-9.7698946,-1.043270707,9.874058861,
101.5120534,0.8685946465,-9.580862045,-1.021735311,9.674260552,
101.5144683,0.6029912829,-9.468399048,-1.004985452,9.540659033,
101.5168833,0.5551348329,-9.475577354,-0.9547362328,9.539720235,
101.5192983,0.3732803464,-9.51386261,-0.9068797827,9.56427472,
101.5217133,0.2368894368,-9.530612946,-0.9092726111,9.576819744,
101.5241283,0.2129612118,-9.485149384,-0.9332008362,9.533324452,
101.5265432,0.1962114573,-9.329615593,-0.9643075466,9.38137064,
101.5289582,0.2321037948,-9.035298347,-1.014556766,9.095043366,
101.5313732,-0.0143569354,-8.927620888,-1.000199914,8.983486,
101.5337882,-0.2823530734,-9.054440498,-0.9882357717,9.112586128,
101.5362031,-0.5359922647,-9.190832138,-0.8733802438,9.247782229,
101.5386181,-0.6364908218,-9.209974289,-0.890130043,9.2747549,
101.5410331,-0.8590233326,-9.267401695,-0.9308080077,9.353558618,
101.5434481,-0.6101697683,-9.159725189,-1.016949654,9.236182073,
101.5458631,-0.4594219327,-9.023334503,-1.00737834,9.09100903,
101.548278,-0.6652047038,-9.087940216,-1.043270707,9.171781094,
101.550693,-0.6197410822,-9.3367939,-1.10309124,9.422134027,
101.5531079,-0.679561615,-9.41336441,-1.069591761,9.498276688,
101.5555229,-0.7417750359,-9.561718941,-1.019342422,9.644467755,
101.5579379,-0.4881358147,-9.619147301,-1.071984529,9.690996966,
101.5603529,-0.2703889608,-9.466006279,-1.064806104,9.529543384,
101.5627678,-0.05024927482,-9.332008362,-1.131805062,9.40052593,
101.5651828,-0.1052841991,-9.217152596,-1.122233868,9.285816905,
101.5675978,-0.4474578202,-9.588040352,-1.110269666,9.662475616,
101.5700128,-0.1818545163,-9.851250648,-1.174875975,9.922728655,
101.5724278,0.0143569354,-9.896714211,-1.205982566,9.969932409,
101.5748427,0.4019941986,-9.765109062,-1.337587833,9.864486583,
101.5772577,0.6484549642,-9.568898201,-1.452443361,9.700200943,
101.5796727,0.3230310678,-9.753145218,-1.452443361,9.865991204,
101.5820877,0.2895315289,-10.03789139,-1.478764415,10.15036138,
101.5845026,0.390030086,-10.24128056,-1.485942841,10.35586679,
101.5869176,0.3876372576,-10.28435135,-1.531406522,10.40496762,
101.5893326,0.3086741269,-10.22453117,-1.603191137,10.35405907,
101.5917476,0.0933200866,-10.36331463,-1.629512191,10.49105851,
101.5941625,0.01674975827,-10.47338486,-1.605584025,10.5957525,
101.5965775,0.0,-10.42552853,-1.567298889,10.54267854,
101.5989925,-0.3637090325,-10.31306553,-1.543370605,10.43425118,
101.6014075,-0.7513462901,-10.29870892,-1.507478237,10.43553627,
101.6038225,-0.9475577474,-10.29153061,-1.517049551,10.44580812,
101.6062374,-1.205982566,-10.22931671,-1.488335729,10.40713494,
101.6086524,-1.47158587,-10.17188931,-1.50269258,10.38705839,
101.6110674,-1.607976794,-10.20778179,-1.514656782,10.4440693,
101.6134824,-1.689332843,-10.26042366,-1.555334687,10.51423821,
101.6158973,-1.691725612,-10.17188931,-1.569691658,10.43039786,
101.6183123,-1.710868239,-10.00678444,-1.55054903,10.2697131,
101.6207273,-1.945364833,-10.03549862,-1.50269258,10.33217121,
101.6231423,-2.048256159,-10.26042366,-1.500299811,10.56988867,
101.6255572,-1.624726534,-10.31067276,-1.605584025,10.56066329,
101.6279722,-1.464407444,-10.08814049,-1.610369682,10.32028867,
101.6303872,-1.696511269,-9.973284721,-1.579262972,10.2390737,
101.6328022,-1.751546144,-10.08335495,-1.555334687,10.35186104,
101.6352172,-1.349551916,-10.16710377,-1.607976794,10.38156437,
