Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
69.99851084,1.952998161,-6.953039646,-5.086998463,8.833827907,
70.00051084,2.01784277,-7.034087658,-5.168276787,8.958859501,
70.00254365,2.139008522,-7.157322407,-5.273545265,9.144009031,
70.00451084,2.25023365,-7.242450714,-5.348637104,9.280332036,
70.00651084,2.370824814,-7.328258991,-5.403674603,9.40871348,
70.00851084,2.533381462,-7.449942112,-5.436638355,9.564345023,
70.01051084,2.646330357,-7.554242611,-5.459431171,9.688912968,
70.01251084,2.759049416,-7.66767025,-5.487347603,9.824281371,
70.01451084,2.897376776,-7.803775787,-5.494692802,9.974234693,
70.01651084,2.959242821,-7.931971073,-5.457850933,10.07280596,
70.01851084,3.024949551,-8.052810669,-5.413155556,10.16367712,
70.02051084,3.094342709,-8.19425106,-5.331082344,10.25383568,
70.02251084,3.148269892,-8.301253319,-5.243559837,10.31102952,
70.02451084,3.190513134,-8.421881676,-5.132938385,10.36602728,
70.02651084,3.20471549,-8.506474495,-5.018457413,10.38341102,
70.02851084,3.224539518,-8.593067169,-4.90889883,10.40844591,
70.03051084,3.218353033,-8.723044395,-4.750220776,10.44097204,
70.03251084,3.212779284,-8.798394203,-4.636285305,10.45125986,
70.03451084,3.21028924,-8.87047863,-4.531965256,10.46566086,
70.03651084,3.196067572,-8.950263977,-4.379483223,10.46431777,
70.03851084,3.17992115,-9.010847092,-4.24978447,10.4579124,
70.04051084,3.156888962,-9.044077873,-4.126885414,10.43036316,
70.04251084,3.10482955,-9.081264496,-3.964462996,10.38394425,
70.04451084,3.064951658,-9.105771065,-3.864864111,10.35597267,
70.04651084,2.989381075,-9.116267204,-3.73913002,10.29678689,
70.04851084,2.922525406,-9.126428604,-3.664239407,10.25960546,
70.05051084,2.872409821,-9.118039131,-3.590019226,10.21164109,
70.05251084,2.823070288,-9.117273331,-3.501586914,10.16639119,
70.05451084,2.756396532,-9.098713875,-3.482739687,10.12490947,
70.05651084,2.683296919,-9.081982613,-3.465060949,10.08410323,
70.05851084,2.561882019,-9.072223663,-3.446721554,10.03734881,
70.06051084,2.46990633,-9.056469917,-3.433361769,9.995401827,
70.06251084,2.42385149,-9.023919106,-3.424857616,9.95167432,
70.06451084,2.359399557,-8.979539871,-3.401968956,9.887987426,
70.06651084,2.329424143,-8.957273483,-3.443417549,9.875023519,
70.06851084,2.301775932,-8.919876099,-3.497334957,9.853614254,
70.07051084,2.304754496,-8.881424904,-3.515990496,9.826178849,
70.07251084,2.31774044,-8.838109016,-3.561738968,9.806634296,
70.07451084,2.336444139,-8.788894653,-3.623585939,9.789484946,
70.07651084,2.359811306,-8.740320206,-3.659546852,9.764946997,
70.07851084,2.36898613,-8.70136261,-3.679217577,9.739735547,
70.08051084,2.38399291,-8.678894997,-3.706837177,9.733821573,
70.08251084,2.405971766,-8.665582657,-3.764451265,9.749467485,
70.08451084,2.41202426,-8.635004997,-3.840653896,9.753552926,
70.08651084,2.428524971,-8.613322258,-3.922516346,9.771038243,
70.08851084,2.44777441,-8.603122711,-3.992723942,9.795262346,
70.09051084,2.472999811,-8.593804359,-4.070860863,9.825533553,
70.09251084,2.457159758,-8.604282379,-4.130793095,9.855696877,
70.09451084,2.412512541,-8.617603302,-4.178456306,9.876375881,
70.09651084,2.382728815,-8.630781174,-4.216983795,9.897006244,
70.09851084,2.393866539,-8.61736393,-4.214130402,9.886781739,
70.1005124,2.402648449,-8.602050781,-4.187717438,9.864328388,
70.10251084,2.419091702,-8.592463493,-4.143070221,9.841110933,
70.10451084,2.432681322,-8.610660553,-4.092715263,9.83929529,
70.10651084,2.43723011,-8.617536545,-4.036930561,9.823382058,
70.10851084,2.437287807,-8.638298988,-3.973982096,9.815962254,
70.11051084,2.435640574,-8.678894997,-3.943212032,9.838926999,
70.11251084,2.436942816,-8.724059105,-3.916684151,9.868551681,
70.11451084,2.442181349,-8.760594368,-3.8837111,9.889159485,
70.11651084,2.428563118,-8.802425385,-3.912891626,9.934351129,
70.11851084,2.415385485,-8.859704971,-3.921855688,9.985459992,
70.12051084,2.407982588,-8.900607109,-3.915008307,10.01730887,
70.12251084,2.417645693,-8.940245628,-3.890338421,10.04528425,
70.12451084,2.405320406,-9.008653641,-3.887925148,10.10234471,
