Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
24.9996999,-1.112777114,-9.659934044,0.7347613573,9.75153695,
25.0016999,-1.101601005,-9.658104897,0.7265252471,9.747838422,
25.0036999,-1.091698527,-9.65954113,0.7313233018,9.748506259,
25.0056999,-1.09984839,-9.660354614,0.7188255787,9.749298845,
25.0076999,-1.086335421,-9.669921875,0.7180977464,9.757211594,
25.0096999,-1.071960688,-9.67503643,0.7186435461,9.760731437,
25.0116999,-1.06474936,-9.671961784,0.7131082416,9.756488063,
25.0136999,-1.056551695,-9.666973114,0.7076972723,9.75025672,
25.0156999,-1.036794662,-9.681863785,0.6987813115,9.762260232,
25.0176999,-1.026413441,-9.685657501,0.7081665397,9.765602164,
25.0196999,-1.017372966,-9.678387642,0.7160291076,9.758018896,
25.0216999,-1.000814676,-9.672977448,0.7172549367,9.751029554,
25.0236999,-0.9958250523,-9.669519424,0.7221678495,9.74745094,
25.0256999,-0.9846968651,-9.674241066,0.7264199257,9.75132063,
25.0276999,-0.9769396186,-9.686442375,0.7267838717,9.762673389,
25.0296999,-0.9755126834,-9.696612358,0.7195438147,9.77208573,
25.0316999,-0.9694697261,-9.700568199,0.7282873988,9.776057358,
25.0336999,-0.9643557072,-9.704868317,0.723221302,9.779442726,
25.0356999,-0.9573742151,-9.71444416,0.7188446522,9.787937902,
25.0376999,-0.949166894,-9.713161469,0.7271286845,9.786477386,
25.0396999,-0.9441773891,-9.711102486,0.7118344903,9.782826318,
25.0416999,-0.9467918873,-9.70000267,0.718806386,9.772571274,
25.0436999,-0.940203011,-9.702166557,0.7218709588,9.774308942,
25.0456999,-0.9412660599,-9.694677353,0.7257304192,9.767263456,
25.0476999,-0.9407680631,-9.682860374,0.737778008,9.756390007,
25.0496999,-0.9403657913,-9.689056396,0.7208175063,9.761233506,
25.0516999,-0.9425972104,-9.68799305,0.7358148098,9.761512294,
25.0536999,-0.9497127533,-9.697293282,0.7179636359,9.770103535,
25.0556999,-0.9498755932,-9.69781971,0.7310168743,9.771609716,
25.0576999,-0.9539936185,-9.687542915,0.7391570807,9.762425147,
25.0596999,-0.9534956217,-9.696372986,0.7435241342,9.771470264,
25.0616999,-0.9751870632,-9.699026108,0.7698411942,9.77827964,
25.0636999,-1.000125051,-9.708449364,0.7687302828,9.790055435,
25.0656999,-0.9968976974,-9.721186638,0.7642195821,9.802005215,
25.0676999,-1.009625316,-9.70908165,0.7654646039,9.791401627,
25.0696999,-1.021979332,-9.690568924,0.7671022415,9.774457206,
25.0716999,-1.023272276,-9.690598488,0.7516356707,9.773420148,
25.0736999,-1.027888298,-9.705824852,0.7374811172,9.787924643,
25.0756999,-1.03508997,-9.705519676,0.7239587307,9.787371438,
25.0776999,-1.044753075,-9.68836689,0.7107714415,9.770422612,
25.0796999,-1.049167991,-9.686835289,0.684224546,9.767481488,
25.0816999,-1.043728232,-9.681548119,0.6807673573,9.761413155,
25.0836999,-1.041477799,-9.670401573,0.666172266,9.749109092,
