Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
49.9996999,-5.833251953,-14.74008465,1.443224788,15.91790883,
50.0016999,-5.875256062,-14.83150482,1.256122708,16.00218777,
50.0036999,-5.881700993,-14.89361,1.054693699,16.04762924,
50.0056999,-5.906868935,-14.96423912,0.8275893331,16.10914204,
50.0076999,-5.910661697,-14.99783516,0.6547471285,16.13380535,
50.0096999,-5.873618603,-14.9886322,0.4891928732,16.10583126,
50.0116999,-5.857040882,-14.97091389,0.3747787476,16.08022542,
50.0136999,-5.827161312,-14.93406296,0.3162740469,16.03377918,
50.0156999,-5.769719601,-14.89770889,0.3336751163,15.97944722,
50.0176999,-5.702126503,-14.84383965,0.4217338562,15.90696959,
50.0196999,-5.630099773,-14.76612377,0.5470080376,15.81251569,
50.0216999,-5.495679379,-14.60259914,0.753215909,15.62068269,
50.0236999,-5.35834837,-14.46949196,0.9577573538,15.45947586,
50.0256999,-5.241989613,-14.4153347,1.230408907,15.38811995,
50.0276999,-5.039009094,-14.12680435,1.599087238,15.08361011,
50.0296999,-4.84103775,-13.83579445,1.875454783,14.77775982,
50.0316999,-4.538716793,-13.42051601,2.200108528,14.33703867,
50.0336999,-4.291481972,-13.08768368,2.415615559,13.98354319,
50.0356999,-4.054628372,-12.76147842,2.602746248,13.64073425,
50.0376999,-3.754931927,-12.41915512,2.847136736,13.28311392,
50.0396999,-3.546301126,-12.22301292,3.013035774,13.07886391,
50.0416999,-3.368756533,-12.0238533,3.147111177,12.87733969,
50.0436999,-3.172250271,-11.81013775,3.313259125,12.66965712,
50.0456999,-3.058736324,-11.70588398,3.375000715,12.56082073,
50.0476999,-2.941908836,-11.60227203,3.416401386,12.44746329,
50.0496999,-2.806253433,-11.51890659,3.414993763,12.33784624,
50.0516999,-2.736878872,-11.47034264,3.384644508,12.26845893,
50.0536999,-2.633229256,-11.45014572,3.301862717,12.20418087,
50.0556999,-2.544040442,-11.42170238,3.216332197,12.13557662,
50.0576999,-2.462216139,-11.41430855,3.126195431,12.08809521,
50.0596999,-2.34778285,-11.44837284,2.999896526,12.06551715,
50.0616999,-2.261208534,-11.48125076,2.898612022,12.05546079,
50.0636999,-2.156246901,-11.52147388,2.777647495,12.04612331,
50.0656999,-2.013159752,-11.57402134,2.516602755,12.01432776,
50.0676999,-1.912229776,-11.6055479,2.281578302,11.98127558,
50.0696999,-1.812755466,-11.6507988,1.998823285,11.95920104,
50.0716999,-1.712735176,-11.70880508,1.580891371,11.93854245,
50.0736999,-1.622943163,-11.7275753,1.232937217,11.90336512,
50.0756999,-1.566957116,-11.71480942,0.7559452653,11.84329209,
50.0776999,-1.49949801,-11.65575027,0.4420845509,11.76012107,
50.0796999,-1.390130997,-11.57607079,0.1700936556,11.66048073,
50.0816999,-1.209905028,-11.44991493,-0.1328303069,11.5144286,
50.0836999,-1.114634991,-11.36364746,-0.3185245991,11.4226246,
50.0856999,-0.9859801531,-11.26760197,-0.4662372768,11.32026449,
50.0876999,-0.8063479662,-11.15156937,-0.6440977454,11.19922132,
50.0896999,-0.6881989241,-11.07657337,-0.7497011423,11.12322558,
50.0916999,-0.553999126,-11.01630688,-0.8277425766,11.0612427,
50.0936999,-0.4480413198,-10.98835182,-0.8761341572,11.03232649,
50.0956999,-0.3705458045,-10.97105598,-0.9087432027,11.01486213,
50.0976999,-0.2703149319,-10.95088673,-0.956866622,10.99593488,
50.0996999,-0.1943804473,-10.93632984,-0.9594427943,10.98005577,
50.1016999,-0.1667896658,-10.89148235,-0.9328384399,10.93262979,
50.1036999,-0.05998911709,-10.70770359,-0.8603994846,10.74238345,
50.1056999,0.00659841951,-10.74721718,-0.8136359453,10.77797402,
50.1076999,0.06759310514,-10.81500149,-0.7875391245,10.8438482,
50.1096999,0.1355597079,-10.88601398,-0.7207983136,10.91069325,
50.1116999,0.1950699836,-10.91913033,-0.6379590034,10.93949044,
50.1136999,0.2607381344,-10.92961693,-0.556125164,10.94686191,
50.1156999,0.3820284009,-10.92361259,-0.4277576506,10.9386578,
50.1176999,0.446260035,-10.94232559,-0.2633143067,10.95458679,
50.1196999,0.5378621817,-10.953578,-0.06568731368,10.9669723,
50.1216999,0.6275010705,-10.97669601,0.07447882742,10.99486972,
50.1236999,0.7409862876,-10.9935236,0.2033634931,11.02034385,
50.1256999,0.9207046628,-11.01604748,0.3964414895,11.0615625,
50.1276999,1.036622286,-11.02482033,0.5653763413,11.08787173,
50.1296999,1.168562055,-11.03516293,0.7314190865,11.12094115,
50.1316999,1.336280584,-11.02713776,0.9191914797,11.14577614,
50.1336999,1.456823826,-11.01954269,1.033193827,11.16333939,
50.1356999,1.569571614,-11.005867,1.065716624,11.16818765,
50.1376999,1.672435999,-11.00892258,1.053822279,11.18498815,
50.1396999,1.692652702,-11.03618717,0.992942512,11.20930128,
50.1416999,1.641100764,-11.10555267,0.8210005164,11.25613405,
50.1436999,1.564045787,-11.17276287,0.6989440918,11.30333545,
50.1456999,1.412751317,-11.26001644,0.6527838707,11.36705605,
50.1476999,1.143221736,-11.45000172,0.6136339307,11.5232826,
50.1496999,0.8671702743,-11.59456348,0.5970947146,11.6422682,
50.1516999,0.5132690072,-11.74563789,0.5800480247,11.77114737,
50.1536999,-0.01822466217,-11.89858913,0.4152216315,11.90584581,
50.1556999,-0.3974853456,-11.94841671,0.269797802,11.95807038,
50.1576999,-0.7908239961,-11.97624683,0.03468719497,12.00237868,
50.1596999,-1.223255157,-11.8987608,-0.2450417429,11.96398375,
50.1616999,-1.549144268,-11.81712818,-0.5119090676,11.92922534,
50.1636999,-1.841457129,-11.68873215,-0.6779229641,11.85229949,
50.1656999,-2.146430731,-11.39939785,-0.7286704779,11.62258134,
50.1676999,-2.403749704,-11.17236042,-0.7262188196,11.45107173,
50.1696999,-2.745938778,-10.88235569,-0.7365139127,11.24759076,
50.1716999,-2.979564905,-10.66243362,-0.5982726812,11.08707482,
50.1736999,-3.191394329,-10.48386383,-0.3842980862,10.96558633,
50.1756999,-3.503751516,-10.36672115,-0.08305007219,10.94312933,
50.1776999,-3.73434186,-10.34439754,0.1396490037,10.99869863,
50.1796999,-3.92114687,-10.29403305,0.3988165259,11.02277478,
50.1816999,-4.142323017,-10.25689411,0.7115375996,11.08462911,
50.1836999,-4.289748669,-10.29744244,0.86435467,11.18867165,
50.1856999,-4.441234589,-10.3411026,1.01788044,11.30040036,
50.1876999,-4.706780434,-10.41059303,1.33735311,11.50316229,
50.1896999,-4.911608696,-10.51525688,1.568996906,11.7113739,
50.1916999,-5.28842783,-10.6760416,1.858781576,12.05820891,
50.1936999,-5.51943922,-10.78201962,2.046218872,12.28426506,
50.1956999,-5.728347778,-10.87483788,2.216235876,12.48950634,
50.1976999,-5.981750011,-10.99812031,2.514792919,12.76965806,
50.1996999,-6.166563511,-11.07774162,2.673432589,12.95724148,
50.2016999,-6.367628574,-11.17349052,2.737271786,13.14862126,
50.2036999,-6.588574886,-11.26485348,2.771757841,13.34124748,
50.2056999,-6.642004013,-11.24009705,2.847357035,13.36276322,
50.2076999,-6.670312881,-11.22641182,2.847634792,13.36541882,
50.2096999,-6.759894371,-11.2202158,2.621411324,13.35893752,
50.2116999,-6.748450279,-11.13779831,2.444231033,13.25014708,
50.2136999,-6.52920866,-10.88339901,2.240618467,12.88795216,
50.2156999,-6.233371258,-10.64962006,2.104752302,12.51795937,
50.2176999,-5.904532433,-10.36861706,1.935424805,12.08791099,
50.2196999,-5.416938782,-9.979482651,1.6413306,11.47289266,
50.2216999,-5.095943451,-9.693930626,1.281434178,11.02646835,
50.2236999,-4.79107523,-9.403686523,0.8796584606,10.5904448,
50.2256999,-4.380613327,-9.031446457,0.3375537097,10.04344267,
50.2276999,-4.057061195,-8.762126923,-0.01566765644,9.655819967,
50.2296999,-3.714326143,-8.48025322,-0.3068313003,9.263102008,
50.2316999,-3.315758467,-8.153626442,-0.6838701963,8.828564822,
50.2336999,-3.097532034,-7.921206474,-0.9991674423,8.563793102,
50.2356999,-2.846983671,-7.660095215,-1.358623266,8.284215829,
50.2376999,-2.694788933,-7.500995636,-1.613768578,8.132101324,
50.2396999,-2.522310495,-7.337548256,-1.792184472,7.963265023,
50.2416999,-2.276502609,-7.115979671,-1.88171804,7.704576146,
50.2436999,-2.150586843,-7.019693851,-1.963226199,7.599696221,
50.2456999,-2.048794985,-7.040054321,-2.050614595,7.613471347,
50.2476999,-1.944934607,-6.895071507,-2.103038073,7.466428252,
