,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
0,0.002735583315,-1.799707489,4.212839355,8.929231567,10.03584271,Standing
1,0.01266058334,-1.862127686,4.242627411,9.082662506,10.19618385,Standing
2,0.02258558333,-2.249372406,4.330644379,9.165889435,10.38401108,Standing
3,0.03251058332,-2.422562256,4.434827728,9.007518768,10.32820891,Standing
4,0.04243558331,-2.380350037,4.333488464,9.058263245,10.31975395,Standing
5,0.05236058333,-2.276166687,4.111200714,9.250463562,10.3756437,Standing
6,0.06228558332,-2.127675476,3.917802887,9.38877594,10.39352183,Standing
7,0.07221058331,-2.119292908,3.776347046,9.497150574,10.43781914,Standing
8,0.08213558333,-2.006427612,3.675456848,9.278006287,10.17920112,Standing
9,0.09206058332,-2.018253021,3.536246338,9.283993835,10.13759957,Standing
10,0.1019855833,-1.861229553,3.501368866,9.316625977,10.12537797,Standing
11,0.1119105833,-1.825753326,3.547173615,9.653425598,10.44530716,Standing
12,0.1218355833,-1.856140137,3.625460815,9.449399872,10.28981925,Standing
13,0.1317605833,-1.836231537,3.695215759,9.383985901,10.25112468,Standing
14,0.1416855833,-1.901645508,3.735182648,9.69294342,10.56035024,Standing
15,0.1516105833,-2.091899872,3.816014557,9.907896423,10.82147974,Standing
16,0.1615355833,-1.888323212,3.809278564,10.06312363,10.92441417,Standing
17,0.1714605833,-1.222208405,3.588188324,10.16551071,10.8492625,Standing
18,0.1813855833,-0.516126709,3.228486328,10.21056702,10.72124944,Standing
19,0.1913105833,-0.04894821167,2.905458069,10.36265076,10.76237024,Standing
20,0.2012355833,0.01691482544,2.599793701,10.57850189,10.89329682,Standing
21,0.2111605833,-0.01197509766,2.399659882,10.50964508,10.78012758,Standing
22,0.2210855833,-0.1002914429,2.310146027,10.61203217,10.86103401,Standing
23,0.2310105833,-0.2308200073,2.240391083,11.09941864,11.32562247,Standing
24,0.2409355833,-0.1787283325,2.589465179,10.39842636,10.71748779,Standing
25,0.2508605833,-0.4656816101,2.264490967,9.770482178,10.04027393,Standing
26,0.2607855833,-0.4797523499,0.8424481201,9.580078125,9.629007116,Standing
27,0.2707105833,0.4698728943,-1.386416931,11.22815094,11.32317561,Standing
28,0.2806355833,0.5589376831,-0.8424481201,13.23188416,13.27045171,Standing
29,0.2905605833,0.7285350037,1.782642975,7.854466553,8.087102327,Standing
30,0.3004855833,-0.3106040955,3.57232132,4.717140656,5.925316066,Standing
31,0.3104105833,-0.6303392029,3.419788513,5.703140259,6.679677372,Standing
32,0.3203355833,-1.146016846,1.596280518,7.656128998,7.904288541,Standing
33,0.3302605833,-1.485660553,0.0730480957,7.41947113,7.567104807,Standing
34,0.3401855833,-1.67561554,-1.290765839,6.768624573,7.091406242,Standing
35,0.3501105833,-1.479223938,-3.1943573,8.206085358,8.929269786,Standing
36,0.3600355833,-0.8583151245,-3.481909332,11.01873642,11.58762054,Standing
37,0.3699605833,-0.5969586182,0.3573069763,9.611363068,9.636510151,Standing
38,0.3798855833,-1.542392578,2.726430359,8.713530121,9.259481872,Standing
39,0.3898105833,-4.314328308,1.803898773,8.816965027,9.980298183,Standing
40,0.3997355833,-8.418493652,-0.6944059753,10.45066772,13.43762222,Standing
41,0.4096605833,-7.267088013,1.135239258,11.26707001,13.45534106,Standing
42,0.4195855833,-4.150568848,3.556604004,9.127419434,10.63891157,Standing
43,0.4295105833,-2.087259521,3.593128052,9.813592529,10.65710185,Standing
44,0.4394365833,-0.3861968994,3.271896057,9.943672028,10.47525967,Standing
45,0.4493615833,-1.159788208,2.012714539,8.723708954,9.027692198,Standing
46,0.4592865833,-2.682122498,-0.6725514221,8.898096313,9.317844413,Standing
47,0.4692115833,-2.667902069,-1.609303436,8.581804047,9.129891549,Standing
48,0.4791365833,-2.293829956,-0.9361532593,7.363038483,7.76867907,Standing
49,0.4890615833,-1.276844788,-0.149539032,7.804919586,7.910086237,Standing
50,0.4989865833,-0.4822970581,0.4445755005,8.943901062,8.967921946,Standing
51,0.5089115833,-1.524429932,0.4080514526,9.018895111,9.155919486,Standing
52,0.5188365833,-1.356628876,0.5489085388,6.720125427,6.87763246,Standing
53,0.5287615833,0.4029620361,1.482666779,6.334227905,6.517907819,Standing
54,0.5386865833,3.460054779,2.955903168,8.332572327,9.494266912,Standing
55,0.5486115833,2.966680756,2.311044159,10.51278854,11.16516201,Standing
56,0.5585365833,1.113684082,1.276096344,10.89763824,11.02847376,Standing
57,0.5684615833,0.8954379272,1.31980545,8.497529297,8.645906526,Standing
