"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.735583315E-3,-1.799707489E0,4.212839355E0,8.929231567E0,1.003584271E1
1.266058334E-2,-1.862127686E0,4.242627411E0,9.082662506E0,1.019618385E1
2.258558333E-2,-2.249372406E0,4.330644379E0,9.165889435E0,1.038401108E1
3.251058332E-2,-2.422562256E0,4.434827728E0,9.007518768E0,1.032820891E1
4.243558331E-2,-2.380350037E0,4.333488464E0,9.058263245E0,1.031975395E1
5.236058333E-2,-2.276166687E0,4.111200714E0,9.250463562E0,1.037564370E1
6.228558332E-2,-2.127675476E0,3.917802887E0,9.388775940E0,1.039352183E1
7.221058331E-2,-2.119292908E0,3.776347046E0,9.497150574E0,1.043781914E1
8.213558333E-2,-2.006427612E0,3.675456848E0,9.278006287E0,1.017920112E1
9.206058332E-2,-2.018253021E0,3.536246338E0,9.283993835E0,1.013759957E1
1.019855833E-1,-1.861229553E0,3.501368866E0,9.316625977E0,1.012537797E1
1.119105833E-1,-1.825753326E0,3.547173615E0,9.653425598E0,1.044530716E1
1.218355833E-1,-1.856140137E0,3.625460815E0,9.449399872E0,1.028981925E1
1.317605833E-1,-1.836231537E0,3.695215759E0,9.383985901E0,1.025112468E1
1.416855833E-1,-1.901645508E0,3.735182648E0,9.692943420E0,1.056035024E1
1.516105833E-1,-2.091899872E0,3.816014557E0,9.907896423E0,1.082147974E1
1.615355833E-1,-1.888323212E0,3.809278564E0,1.006312363E1,1.092441417E1
1.714605833E-1,-1.222208405E0,3.588188324E0,1.016551071E1,1.084926250E1
1.813855833E-1,-5.161267090E-1,3.228486328E0,1.021056702E1,1.072124944E1
1.913105833E-1,-4.894821167E-2,2.905458069E0,1.036265076E1,1.076237024E1
2.012355833E-1,1.691482544E-2,2.599793701E0,1.057850189E1,1.089329682E1
2.111605833E-1,-1.197509766E-2,2.399659882E0,1.050964508E1,1.078012758E1
2.210855833E-1,-1.002914429E-1,2.310146027E0,1.061203217E1,1.086103401E1
2.310105833E-1,-2.308200073E-1,2.240391083E0,1.109941864E1,1.132562247E1
2.409355833E-1,-1.787283325E-1,2.589465179E0,1.039842636E1,1.071748779E1
2.508605833E-1,-4.656816101E-1,2.264490967E0,9.770482178E0,1.004027393E1
