"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.769012100E-2,-1.246660590E0,4.953142643E0,8.604590416E0,1.000633604E1
4.010506900E-2,-1.282552958E0,4.926821709E0,8.647661209E0,1.003496680E1
4.252001700E-2,-1.349551916E0,4.859822750E0,8.683553696E0,1.004207510E1
4.493496500E-2,-1.406979680E0,4.795216560E0,8.697910309E0,1.003131783E1
4.734991300E-2,-1.375872970E0,4.773681164E0,8.683553696E0,1.000425725E1
4.976486100E-2,-1.325623751E0,4.737788677E0,8.657232285E0,9.957489177E0
5.217980900E-2,-1.294517040E0,4.713860512E0,8.640482903E0,9.927446806E0
5.459475700E-2,-1.306481123E0,4.661218643E0,8.645268440E0,9.908305535E0
5.700970400E-2,-1.347159147E0,4.646861553E0,8.642875671E0,9.904920996E0
5.942460000E-2,-1.392622828E0,4.627718925E0,8.647661209E0,9.906423430E0
6.183954800E-2,-1.409372568E0,4.608576298E0,8.630910873E0,9.885237935E0
6.425449600E-2,-1.450050473E0,4.608576298E0,8.638090134E0,9.897384656E0
6.666944400E-2,-1.507478237E0,4.596612453E0,8.623732567E0,9.887876418E0
6.908439200E-2,-1.579262972E0,4.601397991E0,8.628518105E0,9.905466152E0
7.149934000E-2,-1.636690736E0,4.618147850E0,8.621339798E0,9.916327246E0
7.391428800E-2,-1.694118381E0,4.613361835E0,8.630910873E0,9.932057542E0
7.632923600E-2,-1.725225091E0,4.622933388E0,8.640482903E0,9.950168818E0
7.874418400E-2,-1.730010748E0,4.632504463E0,8.640482903E0,9.955449743E0
8.115913200E-2,-1.708475351E0,4.651647091E0,8.647661209E0,9.966882816E0
8.357407900E-2,-1.684547186E0,4.639683247E0,8.635697365E0,9.946840143E0
8.598902700E-2,-1.636690736E0,4.646861553E0,8.616554260E0,9.925577373E0
8.840397500E-2,-1.627119422E0,4.654039860E0,8.587840080E0,9.902454336E0
9.081892300E-2,-1.624726534E0,4.661218643E0,8.563912392E0,9.884699844E0
9.323387100E-2,-1.600798368E0,4.704289436E0,8.535198212E0,9.876360819E0
9.564881900E-2,-1.584048629E0,4.716253281E0,8.501698494E0,9.850438180E0
9.806371500E-2,-1.550549030E0,4.742574692E0,8.472985268E0,9.832990204E0
1.004786630E-1,-1.533799291E0,4.730610371E0,8.453842163E0,9.808091663E0
1.028936110E-1,-1.521835208E0,4.756931305E0,8.425128937E0,9.794241953E0
1.053085590E-1,-1.507478237E0,4.778466702E0,8.386843681E0,9.769615222E0
1.077235070E-1,-1.462014675E0,4.785645485E0,8.350951195E0,9.735413472E0
1.101384540E-1,-1.435693622E0,4.797609329E0,8.329415321E0,9.718921290E0
1.125534020E-1,-1.390229940E0,4.823930264E0,8.293522835E0,9.694615180E0
1.149683500E-1,-1.330409408E0,4.814359188E0,8.271987915E0,9.663013384E0
1.173832980E-1,-1.301695466E0,4.833501816E0,8.264809608E0,9.662516688E0
1.197982460E-1,-1.299302697E0,4.816751957E0,8.248059273E0,9.639490063E0
1.222131940E-1,-1.272981644E0,4.828716278E0,8.224131584E0,9.621503182E0
1.246281420E-1,-1.246660590E0,4.826323509E0,8.231309891E0,9.622994532E0
1.270430900E-1,-1.222732425E0,4.826323509E0,8.236095428E0,9.624018968E0
1.294580380E-1,-1.201196909E0,4.821537495E0,8.240880966E0,9.623004568E0
1.318729860E-1,-1.174875975E0,4.826323509E0,8.236095428E0,9.618055941E0
1.342879340E-1,-1.141376376E0,4.809573650E0,8.228917122E0,9.599469555E0
1.367028290E-1,-1.119840980E0,4.811966419E0,8.240880966E0,9.608391319E0
1.391177770E-1,-1.098305583E0,4.821537495E0,8.248059273E0,9.616859193E0
1.415327250E-1,-1.076770186E0,4.816751957E0,8.250452042E0,9.614077821E0
1.439476730E-1,-1.045663476E0,4.792823792E0,8.250452042E0,9.598673392E0
1.463626210E-1,-1.021735311E0,4.764110088E0,8.267202377E0,9.596214000E0
1.487775690E-1,-1.026520967E0,4.780859470E0,8.271987915E0,9.609169925E0
1.511925170E-1,-1.055234790E0,4.766502857E0,8.274380684E0,9.607208005E0
1.536074650E-1,-1.060020447E0,4.764110088E0,8.276773453E0,9.608609008E0
1.560224130E-1,-1.067198873E0,4.742574692E0,8.279166222E0,9.600808376E0
1.584373610E-1,-1.079162955E0,4.740181446E0,8.295916557E0,9.615411814E0
1.608523090E-1,-1.093519926E0,4.735395908E0,8.315058708E0,9.631197307E0
1.632672570E-1,-1.081555843E0,4.735395908E0,8.327022552E0,9.640178527E0
1.656822040E-1,-1.069591761E0,4.716253281E0,8.336593628E0,9.637731313E0
1.680971520E-1,-1.036092162E0,4.721039295E0,8.353343964E0,9.650909510E0
1.705121000E-1,-1.019342422E0,4.687539577E0,8.350951195E0,9.630704653E0
1.729269960E-1,-1.002592683E0,4.682754040E0,8.343772888E0,9.620391026E0
1.753419960E-1,-1.004985452E0,4.682754040E0,8.350951195E0,9.626866936E0
1.777568920E-1,-9.978070259E-1,4.694717884E0,8.365307808E0,9.644395761E0
1.801718400E-1,-9.930213690E-1,4.706682205E0,8.377271652E0,9.660105028E0
1.825867880E-1,-1.016949654E0,4.713860512E0,8.372486115E0,9.661945521E0
1.850017360E-1,-1.021735311E0,4.716253281E0,8.405985832E0,9.692656285E0
1.874166840E-1,-1.031306505E0,4.723432064E0,8.408378601E0,9.699238850E0
1.898316320E-1,-1.028913736E0,4.723432064E0,8.427521706E0,9.715585213E0
1.922465790E-1,-1.038485050E0,4.744967461E0,8.439485550E0,9.737457766E0
1.946615270E-1,-1.045663476E0,4.766502857E0,8.461020470E0,9.767385985E0
1.970764750E-1,-1.052842021E0,4.780859470E0,8.484949112E0,9.795889701E0
1.994914230E-1,-1.064806104E0,4.792823792E0,8.506484032E0,9.821672084E0
2.019063710E-1,-1.081555843E0,4.797609329E0,8.535198212E0,9.850706920E0
2.043213190E-1,-1.079162955E0,4.821537495E0,8.561519623E0,9.884909446E0
2.067362670E-1,-1.086341500E0,4.840680122E0,8.573483467E0,9.905399571E0
2.091512150E-1,-1.115055323E0,4.850251675E0,8.606983185E0,9.942255741E0
2.115661630E-1,-1.138983607E0,4.838287354E0,8.647661209E0,9.974384821E0
2.139811110E-1,-1.155733347E0,4.852644444E0,8.695517540E0,1.002476448E1
2.163960070E-1,-1.129412293E0,4.838287354E0,8.714659691E0,1.003144507E1
2.188109540E-1,-1.122233868E0,4.816751957E0,8.707481384E0,1.001402718E1
2.212259020E-1,-1.095912814E0,4.776073933E0,8.695517540E0,9.981178908E0
2.236408500E-1,-1.079162955E0,4.733003139E0,8.654839516E0,9.923313884E0
2.260557980E-1,-1.069591761E0,4.689932346E0,8.633303642E0,9.882986579E0
2.284707460E-1,-1.052842021E0,4.649254322E0,8.626125336E0,9.855662351E0
2.308856940E-1,-1.028913736E0,4.620540619E0,8.630910873E0,9.843814382E0
2.333006420E-1,-1.021735311E0,4.589433670E0,8.599804878E0,9.801198315E0
2.357155900E-1,-1.014556766E0,4.543970108E0,8.561519623E0,9.745594288E0
2.381305380E-1,-9.930213690E-1,4.510470867E0,8.518448830E0,9.689912763E0
2.405454860E-1,-9.619147182E-1,4.457828522E0,8.480163574E0,9.628639016E0
