"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.449552300E-2,-1.210768223E0,5.120640278E0,7.817351341E0,9.423263688E0
4.691052300E-2,-1.203589797E0,5.096712112E0,7.802994728E0,9.397437389E0
4.932552300E-2,-1.186840057E0,5.077569485E0,7.764709473E0,9.353128588E0
5.174047100E-2,-1.160519004E0,5.060820103E0,7.716853142E0,9.300996016E0
5.415547100E-2,-1.127019525E0,5.048855782E0,7.652246952E0,9.236774390E0
5.657041900E-2,-1.091127157E0,5.046463013E0,7.578069210E0,9.169759013E0
5.898541900E-2,-1.052842021E0,5.044070244E0,7.494320393E0,9.094831449E0
6.140041900E-2,-1.021735311E0,5.051248550E0,7.412964344E0,9.028349535E0
6.381536700E-2,-9.858429432E-1,5.058426857E0,7.334001541E0,8.963657021E0
6.623036700E-2,-9.523434043E-1,5.067998409E0,7.262216568E0,8.906815105E0
6.864531500E-2,-9.140582681E-1,5.075176716E0,7.195217609E0,8.852348709E0
7.106031500E-2,-8.685946465E-1,5.075176716E0,7.133004189E0,8.797250941E0
7.347531500E-2,-8.231309652E-1,5.067998409E0,7.075576782E0,8.742193047E0
7.589026300E-2,-7.728816867E-1,5.058426857E0,7.030112743E0,8.695258107E0
7.830526300E-2,-7.298108935E-1,5.044070244E0,6.996613503E0,8.656088555E0
8.072021100E-2,-6.963114142E-1,5.024927616E0,6.979863644E0,8.628629301E0
8.313521100E-2,-6.771687865E-1,5.003392220E0,6.975078106E0,8.610702982E0
8.555021100E-2,-6.771687865E-1,4.977071285E0,6.987041950E0,8.605146795E0
8.796515900E-2,-6.891329288E-1,4.950749874E0,7.013363361E0,8.612322227E0
9.038015900E-2,-7.034898400E-1,4.917250633E0,7.051648140E0,8.625543069E0
9.279515900E-2,-7.130611539E-1,4.876572609E0,7.097112179E0,8.640510280E0
9.521010700E-2,-7.082754970E-1,4.828716278E0,7.149754047E0,8.656623938E0
