"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.522934258E-1,-1.055814266E0,8.663313866E0,8.739125828E0
5.108380000E-4,-4.643219113E-1,-1.057767987E0,8.639716148E0,8.716602726E0
2.540525000E-3,-4.611328244E-1,-1.043076992E0,8.626844406E0,8.701901947E0
4.510838000E-3,-4.424101710E-1,-1.043728232E0,8.614154816E0,8.688426703E0
6.510838000E-3,-4.175487757E-1,-1.027955294E0,8.589897156E0,8.661256965E0
8.510838000E-3,-3.884352744E-1,-1.007106543E0,8.583892822E0,8.651494757E0
1.051083800E-2,-3.700765371E-1,-9.966008067E-1,8.587991714E0,8.653540980E0
1.251083800E-2,-3.169348538E-1,-9.926647544E-1,8.595529556E0,8.658461721E0
1.451083800E-2,-1.051916406E-1,-9.807032943E-1,8.570006371E0,8.626578315E0
1.651083800E-2,4.628470540E-2,-9.897342324E-1,8.624977112E0,8.681701809E0
1.851083800E-2,1.158889383E-1,-9.843425155E-1,8.668169022E0,8.724649828E0
2.051083800E-2,1.626907885E-1,-9.848021865E-1,8.737735748E0,8.794562505E0
2.251083800E-2,1.823519766E-1,-9.753307700E-1,8.771664619E0,8.827605709E0
2.451083800E-2,2.109291703E-1,-9.721800089E-1,8.812252045E0,8.868224805E0
2.651083800E-2,2.446874082E-1,-9.634937644E-1,8.835829735E0,8.891573498E0
2.851083800E-2,2.832148969E-1,-9.648249745E-1,8.858230591E0,8.915119018E0
3.051083800E-2,3.070803285E-1,-9.748614430E-1,8.849926949E0,8.908751885E0
3.251083800E-2,3.132956624E-1,-9.934979081E-1,8.854456902E0,8.915525744E0
3.451083800E-2,3.063811958E-1,-1.006761789E0,8.870326042E0,8.932531715E0
3.651083800E-2,2.915754616E-1,-1.026030421E0,8.907541275E0,8.971178643E0
3.851083800E-2,2.522435188E-1,-1.059549212E0,8.956891060E0,9.022869210E0
4.051083800E-2,2.283493876E-1,-1.060889840E0,8.998271942E0,9.063472218E0
4.251083800E-2,1.907604188E-1,-1.059941769E0,9.033638954E0,9.097609513E0
4.451083800E-2,1.406928748E-1,-1.049234986E0,9.093992233E0,9.155401863E0
4.651083800E-2,1.184076369E-1,-1.042387605E0,9.157064438E0,9.216963785E0
4.851083800E-2,8.798212558E-2,-1.021874070E0,9.224973679E0,9.281815924E0
5.051083800E-2,4.239652306E-2,-1.010669112E0,9.298935890E0,9.353793787E0
5.251083800E-2,2.933375910E-2,-1.006101012E0,9.342472076E0,9.396535756E0
5.451083800E-2,1.413536631E-2,-9.786060452E-1,9.386496544E0,9.437382421E0
5.651083800E-2,1.398213767E-2,-9.641929269E-1,9.420781136E0,9.470004261E0
5.851083800E-2,2.110728249E-2,-9.535051584E-1,9.460927963E0,9.508878774E0
6.051083800E-2,3.705266491E-2,-9.166249633E-1,9.522784233E0,9.566869591E0
6.251083800E-2,4.138138145E-2,-8.965423703E-1,9.564749718E0,9.606765210E0
6.451083800E-2,5.101565272E-2,-8.911314607E-1,9.628119469E0,9.669405482E0
6.651083800E-2,8.603803068E-2,-8.696507215E-1,9.695798874E0,9.735101988E0
6.851083800E-2,1.135521978E-1,-8.562718630E-1,9.748806953E0,9.786998141E0
7.051083800E-2,1.350617111E-1,-8.400679231E-1,9.790561676E0,9.827464257E0
7.251083800E-2,1.751023382E-1,-8.034366369E-1,9.848577499E0,9.882846251E0
7.451083800E-2,2.018407732E-1,-7.743039727E-1,9.891558647E0,9.923871160E0
7.651083800E-2,2.419005632E-1,-7.384675741E-1,9.938312531E0,9.968646157E0
7.851083800E-2,2.663214207E-1,-7.037612200E-1,9.964600563E0,9.992971096E0
8.051083800E-2,2.881278098E-1,-6.835924387E-1,1.000227547E1,1.002974729E1
8.251083800E-2,3.152205944E-1,-6.539618373E-1,1.005482292E1,1.008099668E1
8.451083800E-2,3.233417273E-1,-6.309296489E-1,1.008305550E1,1.010794886E1
8.651083800E-2,3.272395134E-1,-6.196576953E-1,1.012753963E1,1.015175455E1
8.851083800E-2,3.433763981E-1,-6.060586572E-1,1.017764664E1,1.020145605E1
9.051083800E-2,3.471209407E-1,-5.891076922E-1,1.020907688E1,1.023194955E1
9.251083800E-2,3.482797146E-1,-5.655200481E-1,1.024578476E1,1.026728869E1
9.451083800E-2,3.461632729E-1,-5.445563793E-1,1.027255154E1,1.029279776E1
9.651083800E-2,3.307062984E-1,-5.343571305E-1,1.030457687E1,1.032372068E1
9.851083800E-2,3.042072654E-1,-5.379388332E-1,1.033090305E1,1.034937091E1
1.005170880E-1,2.804759443E-1,-5.305168033E-1,1.035234547E1,1.036972379E1
1.025108380E-1,2.719717324E-1,-5.162952542E-1,1.034683037E1,1.036327304E1
1.045108380E-1,2.388838679E-1,-5.120718479E-1,1.033397770E1,1.034941439E1
1.065108380E-1,2.112356275E-1,-5.046881437E-1,1.032965946E1,1.034413821E1
