"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.569166773E-4,-1.811682587E0,3.362158356E0,8.599317627E0,9.409280857E0
1.068191667E-2,-1.460512848E0,3.555406494E0,8.968899078E0,9.757825772E0
2.060691666E-2,-1.310524750E0,3.693120117E0,9.118587799E0,9.924981349E0
3.053191668E-2,-1.338815918E0,3.696113892E0,9.308842163E0,1.010486162E1
4.045691667E-2,-1.419049072E0,3.588637390E0,9.228908386E0,1.000323791E1
5.038191666E-2,-1.550625458E0,3.433410187E0,8.999285889E0,9.756018211E0
6.030691668E-2,-1.703158264E0,3.309168549E0,8.797804871E0,9.552628701E0
7.023191667E-2,-1.941013641E0,3.368445282E0,8.240663452E0,9.111667888E0
8.015691667E-2,-1.313219147E0,3.253634033E0,8.431366882E0,9.132284843E0
9.008191669E-2,-1.254391479E0,3.188519440E0,9.404942322E0,1.000965006E1
1.000059167E-1,-1.476230164E0,3.038830719E0,9.448651428E0,1.003447863E1
1.099309167E-1,-1.564696198E0,2.967129822E0,9.216633911E0,9.808082087E0
1.198559167E-1,-1.601968689E0,2.969075775E0,9.094188538E0,9.699792771E0
1.297804167E-1,-1.539548492E0,3.035537567E0,9.135951691E0,9.749374912E0
1.397054167E-1,-1.563648376E0,2.905308380E0,8.982071686E0,9.568877928E0
1.496304167E-1,-1.451531525E0,2.739902344E0,8.679101715E0,9.216334152E0
1.595554167E-1,-1.489253082E0,2.571502533E0,8.726553040E0,9.218634822E0
1.694804167E-1,-1.764380951E0,2.107018433E0,8.717422028E0,9.140350848E0
1.794054167E-1,-1.613195343E0,1.943708038E0,9.018296356E0,9.365365413E0
1.893304167E-1,-1.304387512E0,1.795815582E0,9.416318665E0,9.674370139E0
1.992554167E-1,-1.182241516E0,1.513352966E0,9.810449066E0,9.996641590E0
2.091804167E-1,-9.798623657E-1,1.213227081E0,1.008213409E1,1.020203304E1
2.191054167E-1,-9.822573853E-1,1.118174744E0,1.050769913E1,1.061258146E1
2.290304167E-1,-1.120270386E0,1.228794708E0,9.518705750E0,9.662851614E0
2.389554167E-1,-1.615740051E0,1.230740662E0,9.627978516E0,9.839883576E0
2.488804167E-1,-2.439477081E0,1.041384430E0,9.292675781E0,9.663816696E0
2.588054167E-1,-2.662064209E0,6.218069458E-1,8.846453705E0,9.259210165E0
2.687304167E-1,-2.400857391E0,2.064207458E-1,8.829239502E0,9.152168919E0
2.786554167E-1,-1.975292358E0,-1.227447510E-2,9.056017914E0,9.268947676E0
2.885794167E-1,-1.855541382E0,1.212478638E-2,9.111253052E0,9.298285487E0
2.985044167E-1,-1.867815857E0,1.140628052E-1,9.036109314E0,9.227839288E0
3.084294167E-1,-1.741927643E0,2.670446777E-1,9.260193329E0,9.426388771E0
3.183544167E-1,-1.795067139E0,3.698808289E-1,9.523046722E0,9.697808863E0
3.282794167E-1,-1.860930176E0,3.382965088E-1,9.627529449E0,9.811566080E0
3.382044167E-1,-2.253114624E0,1.736389160E-1,9.231004028E0,9.503584132E0
3.481294167E-1,-1.924996948E0,1.646575928E-3,8.699309692E0,8.909747757E0
3.580544167E-1,-1.335822144E0,1.246907043E-1,9.464368744E0,9.558987619E0
3.679794167E-1,-2.219135284E0,3.960763550E-1,9.732461243E0,9.990107093E0
3.779044167E-1,-2.620600433E0,2.303709412E-1,8.974287872E0,9.351922809E0
3.878294167E-1,-2.572550354E0,-1.047821045E-3,9.158554688E0,9.512998496E0
3.977544167E-1,-2.202070770E0,-3.504212952E-1,9.597741394E0,9.853352253E0
4.076794167E-1,-1.987716522E0,-4.516108704E-1,9.476194153E0,9.692947177E0
4.176044167E-1,-3.118914185E0,-9.894424438E-2,9.162296906E0,9.679106376E0
4.275294167E-1,-3.140918427E0,6.559359741E-1,9.008416901E0,9.562802707E0
4.374544167E-1,-3.410058746E0,8.202941895E-1,8.779093781E0,9.453775480E0
4.473794167E-1,-3.734883270E0,7.629634094E-1,8.369994507E0,9.197188388E0
4.573044167E-1,-3.000061340E0,4.791535950E-1,8.293503571E0,8.832449133E0
4.672284167E-1,-2.027683411E0,-2.445913696E-1,7.549251251E0,7.820646994E0
4.771534167E-1,-2.495161285E0,-3.375480652E-1,8.232280884E0,8.608729121E0
4.870784167E-1,-1.806593170E0,9.114546204E-1,9.414672089E0,9.629671798E0
4.970034167E-1,-2.083517303E0,1.206491089E0,8.943451996E0,9.261857195E0
5.069284167E-1,-2.543061676E0,6.054908752E-1,8.393345947E0,8.791020309E0
5.168534167E-1,-2.990630951E0,4.095483398E-1,8.778944092E0,9.283397153E0
5.267784167E-1,-2.672243042E0,8.312214661E-1,9.269174652E0,9.682427936E0
5.367034167E-1,-2.583178253E0,1.093925171E0,9.178762665E0,9.597873005E0
5.466284167E-1,-3.035687256E0,1.171763306E0,9.082961884E0,9.648244552E0
5.565534167E-1,-2.466271362E0,1.023421783E0,8.680149536E0,9.081568287E0
5.664784167E-1,-1.724563751E0,1.012344818E0,9.503138123E0,9.711261316E0
5.764034167E-1,-1.264121246E0,4.526586914E-1,8.886570282E0,8.987437554E0
5.863284167E-1,-1.643582153E-1,6.780899048E-1,9.238937531E0,9.265246151E0
5.962534167E-1,1.113684082E-1,7.137158203E-1,9.742041321E0,9.768785098E0
6.061784167E-1,-3.031196594E-1,1.216669922E0,8.808283081E0,8.897079187E0
6.161034167E-1,-1.394799500E0,1.381327515E0,9.422156525E0,9.624477384E0
6.260284167E-1,-6.351292419E-1,1.567689972E0,9.104217682E0,9.260011912E0
6.359524167E-1,-5.194198608E-2,1.431473236E0,1.003498215E1,1.013669967E1
6.458774167E-1,4.483177185E-1,9.003776550E-1,1.148307083E1,1.152703710E1
6.558024167E-1,-7.560777283E-1,3.327580261E-1,1.083012863E1,1.086158679E1
6.657274167E-1,-6.578819275E-1,1.204844513E0,9.010063477E0,9.114038774E0
6.756524167E-1,-9.699829102E-1,1.728305969E0,8.793763275E0,9.014331972E0
6.855774167E-1,-6.343807983E-1,1.224603424E0,1.008872040E1,1.018255232E1
