Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
79.40129829,1.646426239,3.096161499,1.542991333,3.831156176,
79.41122329,1.270108795,1.511257324,1.830842743,2.692407882,
79.42114829,0.8117619324,0.09699829102,1.873803406,2.044383845,
79.43107329,-0.03487747192,-0.7789801025,1.803000641,1.964392463,
79.44099929,-0.9815089417,-1.047821045,1.515897675,2.087877991,
79.45092429,-1.543141022,-1.142424316,0.7689509583,2.06826089,
79.46084929,-1.82530426,-1.29405899,-0.1059796143,2.239990177,
79.47077529,-1.967059479,-1.407523041,-1.093775482,2.654578857,
79.48070029,-2.258054352,-1.579066315,-1.615141296,3.193891246,
79.49062529,-2.404449921,-1.718576202,-1.484912109,3.307544037,
79.50055029,-2.761906586,-1.711391144,-2.012415161,3.821884668,
79.51047629,-2.945724335,-2.127525787,-3.023113403,4.726824778,
79.52040129,-3.005001068,-3.335663452,-5.055137787,6.760998457,
79.53032629,-3.432062988,-8.046966248,-5.573509827,10.37288455,
79.54025129,-5.212610321,-19.01600601,-5.526806946,20.47743602,
79.55017729,-7.185807037,-41.3447731,-9.178612976,42.95664118,
79.56010229,-6.181096344,-66.2347142,-8.043822784,67.00706233,
79.57002729,2.076332245,-60.79831924,-7.309300232,61.27130363,
79.57995329,9.996961212,-37.60974014,-6.239624634,39.41274797,
79.58987829,17.19249802,4.10700943,-3.566932526,18.03254065,
79.59980329,9.521400146,14.51666245,-17.20222778,24.43986886,
79.60972829,-13.84725449,-8.293952637,-26.73410614,31.22896954,
79.61965429,-23.16103638,-21.94436646,-24.25750626,40.08011271,
79.62957929,-20.7971521,-27.71127411,-5.987249451,35.16082201,
79.63950429,-19.59500198,-46.47774902,16.75286224,53.14888193,
79.64942929,-14.24692337,-54.13447678,18.94894547,59.09804511,
79.65935529,-0.7098239136,-37.06816635,-3.033591614,37.19886402,
79.66928029,3.351829834,-28.51240814,-21.37225616,35.79057858,
79.67920529,1.854942627,-25.95497635,-21.3664183,33.66935462,
79.68913129,3.198847961,-23.84496414,-15.60519882,28.67642191,
79.69905629,3.270848236,-21.64334244,-12.10712311,25.01429891,
79.70898129,-2.351310425,-22.59566208,-13.03160065,26.18998322,
79.71890629,-4.450545044,-24.77737518,-14.86423965,29.23476172,
79.72883229,-3.031046906,-25.44393906,-16.3195134,30.37939758,
79.73875729,-1.293759613,-23.31162323,-14.84463043,27.66710401,
79.74868229,1.036145325,-20.03852966,-10.84614532,22.80910206,
79.75860729,2.324516144,-17.25222382,-6.152206421,18.46326747,
79.76853329,2.620750122,-15.71252563,-0.4216731262,15.93516869,
79.77845829,2.359842682,-14.67862564,5.781577148,15.95172538,
79.78838329,2.143841858,-13.57856323,7.93784317,15.87396584,
79.79830829,0.565973053,-12.55918304,3.200793915,12.97299063,
79.80823429,-2.799029388,-8.327183533,3.179837494,9.342800308,
79.81815929,-4.403842163,-3.201542358,3.753744049,6.613190883,
79.82808429,-4.988675995,1.305884399,0.6842271423,5.201960114,
79.83800929,-5.909710693,5.794899445,-5.176235962,9.76211856,
79.84793529,-6.25758728,8.654253387,-10.21655457,14.77942785,
79.85786029,-5.401517487,9.191635895,-8.52641922,13.65146096,
79.86778529,-4.085154877,8.754095764,-3.209326172,10.17951165,
79.87771129,-2.551593933,8.752748566,0.7982899475,9.151967324,
79.88763629,-1.03898941,9.657467194,3.848347321,10.44777243,
79.89756129,0.5640270996,9.791588287,4.836891632,10.93566863,
79.90748629,1.620829468,6.947801971,3.116668854,7.785413614,
79.91741229,1.903591461,1.441053314,0.4411326599,2.4279401,
79.92733729,1.249302063,-1.115031281,-0.2755769348,1.697054227,
79.93726229,1.004561005,-1.845661926,0.2441423035,2.115470686,
79.94718729,1.056652679,-2.425256653,0.2029779053,2.653221579,
79.95711329,1.561103668,-3.159779205,-0.3287164307,3.53967566,
79.96703829,2.492466888,-4.069138184,-0.4745132446,4.795356042,
79.97696329,3.430416412,-4.913681946,-0.07214996338,5.993098751,
79.98688929,3.935765533,-5.339845734,1.271755371,6.754373732,
79.99681429,3.323688354,-5.133424988,1.958078156,6.421294764,
80.00673929,1.815724182,-4.412823486,0.9247769165,4.860563524,
80.01666429,0.7176077271,-3.856879578,-0.2474354553,3.93086571,
80.02659029,0.08652008057,-3.344944153,-1.05545517,3.508578448,
80.03651529,-0.4433779907,-2.210004272,-1.128203888,2.520624315,
80.04644029,-0.4917274475,-0.3052153015,-0.6831793213,0.8953693361,
80.05636529,-0.4302053833,1.297801208,-0.3261717224,1.405614684,
80.06629129,-0.5117857361,2.149829407,0.06197113037,2.21077623,
80.07621629,-0.6486012268,2.808759155,0.4767585754,2.921833377,
80.08614129,-0.7068301392,3.557801514,1.091829529,3.788093475,
80.09606629,-0.6846762085,4.31058609,1.481469269,4.609195716,
80.10599229,-0.6012995911,4.455335083,1.607357483,4.774428759,
80.11591729,-0.6045927429,3.347488861,1.376986542,3.669782827,
80.12584229,-0.8216413879,1.322499847,0.7885601807,1.745258598,
80.13576829,-0.4810995483,-0.1097218323,0.5668711853,0.7515574473,
80.14569329,-0.1330732727,-0.7590715027,0.6060896301,0.9804298454,
80.15561829,-0.2426454163,-0.8626560974,-0.09415420532,0.9010645675,
80.16554329,-0.6071374512,-0.4052073669,-1.865420837,2.003148471,
80.17546929,-1.160386963,0.5074447632,-3.066523132,3.317764641,
80.18539429,-2.680924988,0.6765930176,-3.395838318,4.379138589,
80.19531967,-3.421584778,-0.02499801636,-4.790488129,5.886989367,
80.20524467,-3.524420929,-0.5192701721,-7.917335815,8.681900184,
80.21517067,-3.596421204,-1.644779663,-11.45492935,12.1183725,
80.22509567,-3.893403625,-4.269721069,-15.03518417,16.10732358,
80.23502067,-8.04082901,-26.83978638,-18.72830429,33.70131222,
80.24494667,-14.20381302,-74.77595261,-17.41957581,78.08093886,
80.25487167,-0.9818083191,-51.80142838,-0.7614665222,51.81632716,
80.26479667,6.23184082,-17.80307831,-4.313280487,19.34915569,
80.27472167,2.26179657,-14.38538544,-12.80646881,19.39228407,
80.28464767,-5.269791412,-25.3279303,-9.772727509,27.65467334,
80.29457267,-6.709796906,-35.6859407,-3.331771545,36.46379629,
80.30449767,-7.970175934,-39.42875748,-3.577560425,40.38501652,
80.31442267,-6.221063232,-38.65097488,-7.075037384,39.78260476,
80.32434867,-3.243754578,-36.97805374,-11.49863846,38.86022502,
80.33427367,-0.9485774231,-33.47294266,-14.22881104,36.38401782,
80.34419867,0.2483335876,-31.05591888,-15.03383698,34.50431888,
80.35412367,1.0577005,-30.22634399,-14.51396805,33.54706947,
80.36404967,1.693877563,-29.9343013,-12.83625687,32.61443094,
80.37397467,2.957400055,-28.48800888,-9.988578644,30.33289581,
80.38389967,4.242178345,-25.80409012,-6.622378693,26.9759716,
80.39382567,3.804787903,-23.0571524,-3.75015152,23.66795987,
80.40375067,1.078207855,-20.90402985,-2.516417084,21.08253663,
80.41367567,-0.652792511,-17.61731461,-2.56835907,17.81550954,
80.42360067,-0.9142987061,-13.23353073,-1.78907959,13.38518149,
80.43352667,-1.442250824,-8.75454483,0.4559518433,8.88425769,
80.44345167,-2.192640381,-5.06995697,1.123114471,5.636800656,
80.45337667,-2.64904129,-1.893262939,-0.3412902832,3.273888112,
80.46330167,-2.806962891,1.418899384,-2.02888092,3.742816309,
80.47322767,-2.844684448,4.791236572,-2.961142273,6.310034949,
80.48315267,-2.936593323,7.600744171,-2.744393005,8.598057063,
80.49307767,-2.749332733,8.936117249,-1.400337982,9.453780642,
80.50300367,-2.333946533,9.166637878,-0.2240840149,9.461753012,
80.51292867,-1.693727875,9.153764648,0.2848576355,9.313499086,
80.52285367,-0.8815168762,8.535400543,0.7640112305,8.614745939,
80.53277867,-0.2074685669,7.424859924,1.030157776,7.498854122,
80.54270467,0.4845423889,5.438640289,0.7694000244,5.514124221,
80.55262967,0.9686357117,2.038011932,0.4439767456,2.299752841,
80.56255467,0.6953041077,-0.9460327148,-0.2978805542,1.211263194,
80.57247967,0.9354048157,-3.048261108,-0.6179150391,3.24787576,
80.58240567,1.730700989,-4.699926453,0.1526824951,5.010783024,
80.59233067,2.485880585,-5.383704529,0.687071228,5.969584877,
80.60225567,2.792742462,-4.874164124,0.7914042664,5.673024509,
80.61218067,2.883453827,-3.968247986,1.201850739,5.050321103,
80.62210667,2.49695755,-3.242706757,1.399739227,4.325414896,
80.63203167,1.859732666,-2.320624237,0.9882449341,3.133772565,
80.64195667,1.079704742,-1.434017944,0.5987548828,1.892267741,
80.65188267,0.2022294617,-1.006057892,0.336051178,1.079805367,
80.66180767,-0.622256012,-0.8479866028,0.09475296021,1.056059632,
80.67173267,-1.345102844,-0.5959107971,-0.1296304321,1.476893831,
80.68165767,-1.762584686,-0.2185455322,-0.2381547546,1.79197785,
80.69158367,-1.769620056,0.3926335144,-0.126486969,1.817062237,
80.70150867,-1.331331482,1.464704132,0.2070195007,1.990140393,
80.71143367,-0.7652087402,2.529440002,0.7092251587,2.736167295,
80.72135867,-0.2107617188,3.314407654,0.9092092896,3.443309473,
80.73128467,0.2294728088,3.594325562,0.9038204956,3.713317318,
80.74120967,0.3788621521,3.432212677,0.6797364807,3.519326935,
80.75113467,0.4983137512,3.115471344,-0.1426533508,3.158295152,
80.76106067,0.4670288086,2.747087402,-1.341959381,3.0928078,
80.77098567,0.2709365845,2.295177155,-2.476300507,3.387227333,
80.78091067,-0.1234931946,1.581760712,-2.812351685,3.229015255,
80.79083567,-0.4924758911,0.7086264038,-2.143392792,2.310587922,
80.80076167,-0.8741821289,0.08247848511,-1.484612732,1.72483972,
80.81068667,-1.756148071,-0.6071374512,-1.596879272,2.450039866,
80.82061167,-2.11195816,-1.342707825,-2.746338959,3.715590027,
80.83053667,-2.25940155,-1.612446899,-4.191882935,5.027600114,
80.84046267,-2.653382263,-3.262615356,-5.243895264,6.721869824,
80.85038767,-4.525090027,-10.04635849,-6.903643799,13.00254038,
80.86031267,-9.125623169,-31.90555206,-11.74876831,35.20333518,
80.87023767,-14.36951843,-72.93253601,-17.64306107,76.39970859,
80.88016367,-9.800270233,-74.88073471,-9.428443451,76.1056192,
80.89008867,3.32653244,-41.47739731,8.926088104,42.55720097,
80.90001367,12.7097699,-18.62711472,7.703430634,23.82961387,
80.90993967,11.97869019,-11.70401138,0.07873626709,16.74751028,
80.91986467,1.176553345,-13.23293198,-7.276967468,15.14757479,
80.92978967,-4.374503174,-17.16540436,-13.61927856,22.34439826,
80.93971467,-7.954308929,-23.27629669,-18.28732132,30.65098921,
80.94964067,-11.99665283,-34.27138229,-19.45354614,41.19329777,
80.95956567,-12.13271988,-40.86651764,-16.18763763,45.59950403,
80.96949067,-7.491321716,-35.67067245,-9.178912354,37.58682224,
80.97941567,-2.448907471,-27.26101044,-3.236120453,27.561428,
80.98934167,2.179018707,-22.75912216,0.2266287231,22.8643199,
80.99926667,3.452121277,-22.78846115,-1.733844452,23.11357436,
81.00919167,2.920426941,-23.84720947,-4.780458984,24.49634832,
81.01911667,3.457510071,-23.41236374,-6.827003174,24.63130374,
81.02904267,3.897744598,-21.81937637,-6.390061798,23.0675202,
81.03896767,2.366129608,-19.50758377,-4.059109039,20.06541203,
81.04889267,0.5295986938,-15.36494843,-2.169738007,15.52642515,
81.05881867,-1.23328537,-10.34184402,-1.716929626,10.55568937,
81.06874367,-2.477498016,-5.751938782,-0.460891571,6.279746588,
81.07866867,-2.708916779,-2.532882843,2.255210266,4.340472204,
81.08859367,-2.991529083,0.6248007202,2.355651398,3.858589859,
81.09851967,-3.069367218,3.879183197,1.330583038,5.122453379,
81.10844467,-3.069217529,6.308481445,-0.04730163574,7.015644791,
81.11836967,-2.947969666,7.749235382,-2.683469696,8.714481268,
81.12829467,-2.731968842,8.982820129,-5.462590485,10.86253221,
81.13822067,-2.665207672,9.782756653,-5.89728653,11.72960562,
81.14814567,-2.882406006,9.560019836,-3.191363525,10.48270217,
81.15807067,-2.933749237,9.195976868,1.096469879,9.714685859,
81.16799667,-3.005300446,8.031099243,4.382436676,9.629960386,
81.17792167,-2.688559113,4.892575836,5.786217499,8.040271224,
81.18784667,-0.3128494263,-0.03248245239,5.411247253,5.42038068,
81.19777121,1.783391418,-2.080673218,3.639531555,4.555861711,
81.20769721,2.345771942,-2.601589966,1.801503754,3.939077573,
81.21762221,2.628983002,-2.909499664,0.6219566345,3.970336255,
81.22754721,2.829116821,-3.544479218,-0.749790802,4.596675011,
81.23747221,3.529061279,-5.122348022,-1.542991333,6.408864566,
81.24739821,3.682492218,-6.569688263,-1.283281403,7.639919107,
81.25732321,3.186723175,-7.607629852,-0.6114784241,8.270740138,
81.26724821,1.7504599,-8.247549133,-0.6051914978,8.452954118,
81.27717421,0.6587800598,-7.012916565,-0.9918374634,7.113278532,
81.28709921,1.10335556,-1.677262115,-0.5783972168,2.089292951,
81.29702421,0.7484436035,1.076411591,-0.1362167358,1.318098911,
81.30694921,0.2686912537,2.079625397,0.4484674072,2.144332016,
81.31687521,0.2366578674,2.91234375,1.283281403,3.191326405,
81.32680021,0.3188369751,3.594325562,1.771865387,4.019992563,
81.33672521,0.4610412598,4.286336517,1.391356659,4.530023525,
81.34665021,0.6373745728,5.064568176,0.353714447,5.116757867,
81.35657621,0.5839356995,5.670059052,-1.012494507,5.789274192,
81.36650121,0.3171903992,5.723198547,-2.536625061,6.268179805,
81.37642621,-0.180075531,4.909041595,-3.884871368,6.262854152,
81.38635121,-0.8490344238,3.733087006,-4.672383728,6.040527108,
81.39627721,-1.901495819,2.62688736,-4.230203247,5.330182273,
81.40620221,-3.353326721,1.350491638,-4.219874725,5.556615018,
81.41612721,-3.965254211,0.1498384094,-6.077661438,7.258351126,
81.42605321,-3.818259888,-1.133442993,-8.050109711,8.981540399,
81.43597821,-3.852837982,-2.566862183,-9.496851196,10.56519402,
81.44590321,-6.51849472,-12.14080307,-11.79442337,18.13831015,
81.45582821,-14.07867325,-53.39336792,-14.02164185,56.97075757,
81.46575421,-8.750203857,-67.30663513,-1.410217438,67.88768602,
81.47567921,2.711012421,-30.54772568,6.831044769,31.41936195,
81.48560421,4.775519257,-10.34678375,-2.315684509,11.62858173,
81.49552921,-3.543132019,-7.879015503,-10.25741959,13.41071685,
81.50545521,-9.090895386,-14.87831039,-11.12531479,20.68287041,
81.51538021,-8.713081055,-22.39927048,-11.07352249,26.46257735,
81.52530521,-7.843389587,-28.79202667,-9.802365875,31.40996557,
81.53523121,-5.405110016,-33.5691925,-8.611292725,35.0750661,
81.54515621,-1.369502106,-35.18807602,-7.545658722,36.01406941,
81.55508121,1.700014801,-33.18284592,-7.278164978,34.0141588,
81.56500621,2.570754089,-30.10359924,-8.88791748,31.49334122,
81.57493221,1.67905838,-28.73529465,-10.63044388,30.68456831,
