Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
94.28663221,-1.569935303,-4.556973724,-7.193141785,8.658637024,
94.29655721,2.569855957,-7.742200012,1.844763794,8.36355033,
94.30648321,8.175548859,-15.01782028,14.67847595,22.53513216,
94.31640821,8.406069489,-26.57363983,12.84284317,30.68809148,
94.32633321,3.980821838,-38.11434082,4.63241684,38.60063736,
94.33625821,3.043471069,-39.90985703,-1.612446899,40.05820002,
94.34618321,8.217012634,-35.7895253,4.145479431,36.95394996,
94.35610821,10.16416351,-29.19004898,9.408983917,32.30941284,
94.36603321,4.39605835,-25.06402908,9.075477448,27.01657221,
94.37595921,-1.039139099,-25.48136124,6.023474121,26.20423288,
94.38588421,-1.501976624,-27.89539124,6.84152298,28.76134946,
94.39580921,1.619931335,-30.78438354,8.641529846,32.01528519,
94.40573421,4.627477112,-32.61807037,8.268804932,33.9665305,
94.41565921,6.090235291,-31.16653885,6.560257874,32.4265492,
94.42558421,5.562283173,-27.80123703,4.739144897,28.74556085,
94.43550921,4.276157684,-24.16469925,3.698059845,24.81720897,
94.44543521,2.637964325,-20.83951401,2.941982117,21.21083352,
94.45536021,1.565294952,-17.9611496,1.881736908,18.1271613,
94.46528521,1.357527008,-14.90720032,0.6718029785,14.98395209,
94.47521021,1.311572571,-12.12673233,-0.03173400879,12.19749428,
94.48513521,1.627415771,-9.495953064,0.393381958,9.642424801,
94.49506021,2.183958435,-6.8930159,1.129401398,7.31839396,
94.50498521,2.075134735,-4.093537445,1.474583588,4.820542474,
94.51491021,1.51170639,-1.082548828,1.454076233,2.360403751,
94.52483621,0.7011419678,1.757794647,0.7997868347,2.054531835,
94.53476121,-0.2245330811,3.913611603,0.08876541138,3.921052178,
94.54468621,-1.101110229,5.070705414,-0.2582130432,5.195302793,
94.55461121,-1.78907959,5.052892456,-0.2627037048,5.366706736,
94.56453621,-2.150877228,4.779560852,0.09250762939,5.242044682,
94.57446121,-2.150727539,3.066223755,1.874402161,4.188166726,
94.58438621,-1.189426575,0.3288661194,3.799099731,3.99450213,
94.59431221,0.2249821472,-1.705403595,3.969445496,4.326143309,
94.60423721,1.301393738,-2.497107239,2.693349152,3.896575404,
94.61416221,2.079625397,-2.476899261,0.6146218872,3.292055863,
94.62408721,2.231709137,-2.157912598,-1.459614716,3.430391752,
94.63401221,2.371219025,-1.526675262,-2.719095612,3.917511706,
94.64393721,2.662662964,-0.5343887329,-3.067121887,4.096654983,
94.65386221,2.103874969,0.09490264893,-2.91354126,3.594999176,
94.66378821,0.6354286194,0.499511261,-2.623444519,2.74513063,
94.67371321,-1.211131439,0.9138496399,-2.13770462,2.621400689,
94.68363821,-2.831362152,1.113085327,-1.306632843,3.311020986,
94.69356321,-3.633993073,0.6933581543,-0.3860472107,3.719634879,
94.70348821,-3.562292175,-0.2766247559,0.5409750366,3.613737786,
94.71341321,-3.047213287,-1.114133148,1.563798065,3.601703191,
94.72333821,-2.333796844,-1.375489655,2.296674042,3.551519556,
94.73326421,-1.49419281,-1.271455994,3.173101501,3.730654854,
94.74318921,-0.7720944214,-1.181493073,4.037104797,4.276712618,
94.75311421,-0.2707868958,-1.311422882,4.319118347,4.521939718,
94.76303921,0.03562591553,-1.304237823,4.306095428,4.499418112,
94.77296421,-0.002395019531,-1.560355225,4.27436142,4.550261499,
94.78288921,-0.08412506104,-1.843416595,4.245621185,4.629315394,
94.79281421,-0.4270619202,-1.730850677,3.782484283,4.181556326,
94.80274021,-0.549357605,-1.998793488,2.986439667,3.635352949,
94.81266521,-0.1221459961,-3.604055328,2.848726044,4.595582066,
94.82259021,0.9530680847,-7.632178802,2.455643463,8.073950512,
94.83251521,1.898502045,-12.94912216,-1.396446075,13.16184396,
94.84244021,1.715432739,-18.67142258,-3.394191742,19.05479646,
94.85236521,3.633993073,-30.36630295,11.44445114,32.65415322,
94.86229021,7.499255219,-44.01297455,19.55428665,48.74167502,
94.87221621,8.069120178,-41.3793512,5.939947815,42.57516161,
94.88214121,4.441563721,-26.89756622,6.323899384,27.98567956,
94.89206621,3.204985199,-16.24257339,1.460961914,16.62009417,
94.90199121,5.059179382,-10.45949936,3.591780853,12.1613039,
94.91191621,5.838309174,-8.15085022,4.611610107,11.03581266,
94.92184121,4.53646637,-14.46576828,7.299570465,16.82622085,
94.93176621,5.457650757,-24.5077858,8.996591492,26.67126122,
94.94169221,3.638783112,-35.19436295,6.581363983,35.98886324,
94.95161721,1.122815094,-42.46504349,5.233267365,42.80102475,
94.96154221,0.8152047729,-42.49108932,7.715705109,43.19362611,
94.97146721,0.936302948,-35.4153035,10.10368927,36.84026224,
94.98139221,0.07424560547,-26.87915451,6.795418854,27.72493782,
94.99131721,0.4896318054,-22.16665421,3.312012634,22.41806695,
95.00124221,2.390678558,-18.67666168,1.636546783,18.90003495,
95.01116821,4.451443176,-15.16945496,0.06631210327,15.8092412,
95.02109321,5.599705353,-12.0156633,-1.654958496,13.35933203,
95.03101821,5.181774445,-8.861871643,-2.151326294,10.48864911,
95.04094321,3.8565802,-6.479875031,-1.488654327,7.686226835,
95.05086821,2.657723236,-4.146527252,-0.2278262329,4.93042451,
95.06079321,1.746418304,-1.475781097,1.216071167,2.589736632,
95.07071821,0.4760101318,1.070124664,1.665736084,2.036278258,
95.08064421,-0.9457333374,3.059338074,1.921105042,3.734247659,
95.09056921,-1.971699829,4.805307312,1.918560333,5.537097826,
95.10049421,-3.059188385,5.59416687,1.23208786,6.493949264,
95.11041921,-3.522175598,5.923631744,0.3427871704,6.900191087,
95.12034421,-3.527414703,5.469476166,0.09924362183,6.509045499,
95.13026921,-4.064946899,3.16277298,0.7120692444,5.199420047,
95.14019421,-4.026476898,0.1639091492,2.252964935,4.616842365,
95.15011921,-2.650987244,-1.885928192,3.592828674,4.846945058,
95.16004521,-1.067579956,-2.658022614,4.18888916,5.074603785,
95.16997021,0.7324269104,-2.379302216,3.656596069,4.423598425,
95.17989521,2.005379791,-1.498084717,2.177671509,3.317839527,
95.18982021,2.28050766,-0.3857478333,0.3559597778,2.340133317,
95.19974521,2.090852051,0.6123765564,-1.356030121,2.566219989,
95.20967021,1.686842194,1.042132874,-2.824027405,3.450595354,
95.21959521,1.044827271,0.7271878052,-3.763922882,3.973358981,
95.22952121,0.3523672485,0.1504371643,-3.788172455,3.807498466,
95.23944621,-0.3317102051,-0.6560856628,-3.113226013,3.198852336,
95.24937121,-0.5662724304,-1.016386414,-1.185085602,1.660762985,
95.25929621,-0.6379733276,-0.8402027893,0.7191046143,1.276738869,
95.26922121,-0.7150630188,-0.5599855042,1.473236389,1.730700536,
95.27914621,-0.6417155457,-0.1432521057,1.550625458,1.684268185,
95.28907221,-0.260458374,0.2751278687,1.470991058,1.518995919,
95.29899721,0.3981719971,0.4872367859,1.102158051,1.269130802,
95.30892221,0.7110214233,0.5837860107,0.4381388855,1.018981479,
95.31884721,0.680634613,0.6712042236,0.1167572021,0.9630217186,
95.32877221,0.5932164001,0.5478607178,0.5201683044,0.9605374165,
95.33869721,0.2688409424,0.2466870117,1.177002411,1.23225996,
95.34862221,-0.4703219604,-0.5281018066,1.655407562,1.800130124,
95.35854721,-1.419498138,-1.920655975,1.55975647,2.852496203,
95.36847321,-2.567610626,-4.043391724,0.07484436035,4.79032803,
95.37839821,-2.519560547,-7.707771606,-0.2035766602,8.111681203,
95.38832321,0.2127076721,-12.52250931,5.572012939,13.70787409,
95.39824821,3.949387207,-17.97402283,10.00175125,20.94512316,
95.40817321,6.288123779,-23.72970383,12.19259537,27.40982901,
95.41809821,1.566043396,-31.90734833,8.596473541,33.08218141,
95.42802321,-4.288731537,-34.29907471,0.470022583,34.56936021,
95.43794921,-4.801565094,-40.82655075,4.426594849,41.34558036,
95.44787421,4.162993011,-38.07437393,7.979157257,39.1235915,
95.45779921,9.112151184,-27.60903671,8.893306274,30.40363636,
95.46772421,5.757028198,-25.57551544,6.963070221,27.12443015,
95.47764921,6.613996124,-28.26721802,7.849077759,30.07305407,
95.48757421,7.42890152,-32.40685959,10.24364822,34.78973204,
95.49749921,5.199138336,-33.98472839,9.670939178,35.71442101,
95.50742521,2.580334167,-32.3668927,9.468859406,33.82208104,
95.51735021,1.34210907,-30.0471666,8.432564392,31.23686315,
95.52727521,1.463356934,-27.27897308,6.221063232,28.01759115,
95.53720021,1.547931061,-24.10153061,3.779191132,24.44508445,
95.54712521,2.182461548,-20.4401445,1.518292694,20.61232297,
95.55705021,3.663631439,-16.66544403,0.2456391907,17.06515627,
95.56697521,4.771028595,-12.70991959,0.0513432312,13.57598637,
95.57690121,4.553381195,-9.52454361,-0.1166075134,10.55764219,
95.58682621,3.455863495,-6.892417145,-0.8689430237,7.759089416,
95.59675121,2.178419952,-4.227359161,-1.096020813,4.880301281,
95.60667621,1.024619293,-1.90134613,-1.222058716,2.481610225,
95.61660121,0.2844085693,-0.01212478638,-1.444795532,1.472572367,
95.62652621,0.2125579834,1.625320129,-0.8445437622,1.843936166,
95.63645121,0.399818573,3.078348541,-0.01601669312,3.104245668,
95.64637721,-0.3071612549,4.048032074,0.02185455322,4.059727741,
95.65630221,-1.870659943,4.112398224,-0.252973938,4.524951225,
95.66622721,-3.183879089,3.084934845,-0.2044747925,4.437985916,
95.67615221,-3.42712326,1.922152863,0.07484436035,3.930069611,
95.68607721,-2.840493164,1.101559296,0.2520758057,3.057020855,
95.69600221,-1.755249939,0.8768765259,0.2558180237,1.978701001,
95.70592721,-0.5051994324,1.001267853,-0.1317260742,1.129210139,
95.71585321,0.6973997498,1.095122681,-0.2043251038,1.314309265,
95.72577821,1.691033478,1.073118439,-0.3653901672,2.03585053,
95.73570321,2.014660492,0.9452842712,-0.6794371033,2.326811988,
95.74562821,1.689835968,0.5800437927,-0.8069718933,1.96040813,
95.75555321,0.9238787842,0.0975970459,-0.7929011536,1.221380134,
95.76547821,-0.107177124,-0.6026467896,-0.8292755127,1.030712358,
95.77540321,-1.143472137,-1.206940155,-0.4894821167,1.733154872,
95.78532821,-1.974992981,-1.43102417,0.1715432739,2.444965142,
95.79525421,-2.201322327,-1.60062149,0.7472460938,2.822443244,
95.80517921,-2.029030609,-1.550924835,1.314865723,2.872491066,
95.81510421,-1.641037445,-1.353934479,1.832788696,2.808069955,
95.82502921,-0.940045166,-1.056203613,2.3237677,2.72013737,
95.83495421,-0.1887574768,-0.7749385071,2.842888184,2.952655127,
95.84487921,0.3465293884,-0.5140310669,3.242856445,3.301579695,
95.85480421,0.5950126648,-0.07888595581,3.315455475,3.369348315,
95.86473021,0.4637356567,0.2219883728,3.112028503,3.154211629,
95.87465521,0.1312770081,0.443228302,2.663710785,2.70352365,
95.88458021,-0.2053729248,0.5998027039,1.924098816,2.025857245,
