Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
49.62766246,0.7993377686,-8.556057587,-0.5276527405,8.609499388,
49.63758746,1.096918945,-8.949589233,-0.5815406799,9.035295689,
49.64751246,1.382974091,-9.358089752,-0.7105723572,9.486378351,
49.65743746,1.642684021,-9.640103302,-0.8794212341,9.818522505,
49.66736246,1.786834259,-9.773625641,-0.9975256348,9.985569199,
49.67728746,1.721569977,-9.780062256,-1.038690033,9.984603042,
49.68721246,1.343605957,-9.752519531,-0.9710307312,9.892411984,
49.69713746,0.8544232178,-9.677675171,-0.7129673767,9.741445387,
49.70706246,0.4712200928,-9.496551819,-0.386945343,9.516105901,
49.71698746,0.3974235535,-9.041797485,-0.15328125,9.051825362,
49.72691346,0.669407959,-8.385711823,-0.009729766846,8.412393503,
49.73683846,0.8295748901,-7.922275543,0.0975970459,7.966189143,
49.74676346,0.8244854736,-7.585326233,0.2067201233,7.632803126,
49.75668846,0.7479945374,-7.288044434,0.3421884155,7.334315265,
49.76661346,0.5671705627,-7.026238861,0.4746629333,7.065056255,
49.77653846,0.2306703186,-6.853647766,0.5372328186,6.878540223,
49.78646346,-0.2357597351,-6.867568817,0.5969586182,6.897495466,
49.79638846,-0.6894662476,-6.965165863,0.6466552734,7.029015738,
49.80631346,-1.189875641,-7.19838089,0.6379733276,7.323899333,
49.81623846,-1.726509705,-7.461234283,0.6035449219,7.682129865,
49.82616346,-2.260898438,-7.624544678,0.4408332825,7.964902841,
49.83608862,-2.696492615,-7.654931488,0.3668870544,8.124263328,
49.84601362,-3.061583405,-7.687713318,0.4299060059,8.286075559,
49.85593862,-3.34060318,-7.677983551,0.68332901,8.401071334,
49.86586362,-3.576213226,-7.689060516,1.086889801,8.549402441,
49.87578862,-3.819906464,-7.831564178,1.348695374,8.817259329,
49.88571363,-4.046235809,-8.141120453,1.55032608,9.222438799,
49.89563862,-4.250860291,-8.535699921,1.658700714,9.678805422,
49.90556462,-4.428391113,-8.970096588,1.72007309,10.15046462,
49.91548962,-4.522245941,-9.339827728,1.723366241,10.51917685,
49.92541463,-4.540358276,-9.571994934,1.752705231,10.73824548,
49.93533962,-4.367467804,-9.666897583,1.816173248,10.76207086,
49.94526462,-4.201912079,-9.756860504,2.028731232,10.81518111,
49.95518962,-4.095633087,-10.06956024,2.464774475,11.14654059,
49.96511462,-4.013304291,-10.63643143,2.626288605,11.66780513,
49.97503962,-3.877835999,-11.54489227,2.305505676,12.39505974,
49.98496462,-3.293451233,-12.01072357,1.908680878,12.59949858,
49.99488962,-2.734812927,-11.80774567,1.74102951,12.24472308,
50.00481462,-2.485581207,-11.64982407,1.750160522,12.03991597,
50.01473962,-2.198777618,-11.50028503,1.74806488,11.83836601,
50.02466463,-1.94236084,-11.21393051,1.916015625,11.5410623,
50.03458962,-1.767674103,-11.02637054,2.137854309,11.36995779,
50.04451462,-1.336570587,-10.99104401,2.465073853,11.34310621,
50.05443962,-0.7578739929,-11.22006775,2.905907135,11.61501569,
50.06436462,-0.616867218,-12.1271814,3.139870605,12.54224227,
50.07429062,-0.8334667969,-13.21631653,2.457739105,13.46871081,
50.08421562,-0.9524693298,-13.86207367,1.314566345,13.95680368,
50.09414062,-1.119521942,-13.75729156,0.1447489929,13.80352683,
50.10406562,-1.340013428,-12.98564621,-0.6078858948,13.06874779,
50.11399062,-1.627715149,-12.04799606,-0.7300318909,12.17935188,
50.12391562,-1.933978271,-11.40358612,-0.6218069458,11.58312101,
50.13384062,-2.03831131,-10.80707657,-0.7860154724,11.02567174,
50.14376562,-1.972148895,-9.960736542,-1.161584473,10.22031909,
50.15369062,-1.987267456,-9.34431839,-1.453327789,9.663212705,
50.16361563,-2.118544464,-9.129664764,-1.639989624,9.514650562,
50.17354062,-2.207758942,-9.049132233,-1.604064331,9.451667371,
