Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
38.68235433,-7.712067604,-1.03848505,2.359323025,8.13147238,
38.68476933,-7.841279984,-1.112662554,2.402393818,8.276181837,
38.68718428,-7.987242222,-1.220339537,2.486142635,8.45376674,
38.68959922,-8.157132149,-1.351944804,2.54117775,8.650095028,
38.69201422,-8.33180809,-1.505085468,2.617748022,8.862105451,
38.69442917,-8.520841599,-1.670190215,2.694318295,9.091404071,
38.69684412,-8.743373871,-1.849651933,2.746960402,9.349523537,
38.69925912,-8.920442581,-2.04586339,2.804388046,9.572065878,
38.70167407,-9.119047165,-2.292324066,2.823530674,9.817540236,
38.70408902,-9.358329773,-2.548356056,2.792423964,10.0930712,
38.70650402,-9.635896683,-2.804388046,2.761317253,10.40864882,
38.70891896,-9.949356079,-3.050848961,2.756531715,10.76549269,
38.71133391,-10.28674412,-3.254238844,2.715853691,11.1257825,
38.71374891,-10.55234814,-3.457628727,2.679961443,11.42319749,
38.71616386,-10.90170002,-3.613162279,2.658426046,11.78852128,
38.71857881,-11.05723381,-3.75673151,2.567498684,11.9569018,
38.72099381,-11.21755219,-3.895515203,2.498106956,12.13462212,
38.72340876,-11.18405342,-4.019941807,2.388036966,12.1221163,
38.7258237,-11.11466122,-4.161118507,2.254039049,12.08020253,
38.7282387,-10.9806633,-4.29750967,2.115255117,11.97989399,
38.73065365,-10.72941685,-4.417150497,1.947757602,11.76543089,
38.7330686,-10.55952644,-4.543970108,1.801795483,11.63605303,
38.73548355,-10.28195858,-4.610969067,1.660618901,11.39023104,
38.73789855,-10.08574772,-4.713860512,1.514656782,11.23552282,
38.7403135,-9.882357597,-4.811966419,1.411765337,11.08192645,
38.7427285,-9.559326172,-4.823930264,1.32801652,10.78956199,
38.74514344,-9.298508644,-4.85982275,1.249053478,10.56599616,
38.74755839,-9.035298347,-4.878965378,1.201196909,10.33846185,
38.74997334,-8.709874153,-4.883750916,1.15094769,10.05174668,
38.75238834,-8.453842163,-4.900500774,1.124626637,9.836012415,
38.75480329,-8.207381248,-4.912465096,1.129412293,9.631666128,
38.75721824,-7.953742504,-4.92442894,1.127019525,9.422430324,
38.75963324,-7.728816986,-4.926821709,1.112662554,9.232886987,
38.76204818,-7.537391186,-4.93878603,1.098305583,9.078003552,
38.76446313,-7.391428947,-4.941178799,1.091127157,8.957624031,
38.76687813,-7.250252724,-4.960321426,1.069591761,8.849575117,
38.76929308,-7.111468792,-4.957928658,1.079162955,8.736053894,
38.77170803,-6.972685337,-4.962714195,1.088734269,8.627410695,
38.77412303,-6.876972198,-4.965106964,1.098305583,8.552853848,
38.77653797,-6.757331371,-4.965106964,1.081555843,8.454796122,
38.77895292,-6.661618233,-4.991427898,1.091127157,8.395359934,
38.78136792,-6.611369133,-5.020142078,1.098305583,8.373667264,
38.78378287,-6.563512325,-5.056034088,1.115055323,8.359815974,
38.78619782,-6.551548481,-5.111069202,1.100698471,8.38196594,
38.78861282,-6.532405853,-5.151747227,1.074377418,8.388510747,
38.79102777,-6.558726788,-5.199603558,1.05523479,8.436011776,
38.79344271,-6.577869415,-5.247459888,1.036092162,8.478071024,
38.79585771,-6.654439926,-5.290530682,0.9834501147,8.557947169,
38.79827266,-6.733402729,-5.338387489,0.9451649189,8.644676398,
38.80068761,-6.838686943,-5.391029358,0.9020941257,8.754690769,
38.80310261,-6.972685337,-5.446064472,0.866201818,8.889784285,
38.80551756,-7.094718933,-5.517848969,0.8159525394,9.024825346,
38.80793251,-7.209574699,-5.594419479,0.7369893789,9.155252591,
38.8103475,-7.365108013,-5.675775528,0.6867401004,9.323671801,
38.81276245,-7.515855789,-5.761917114,0.6364908218,9.491727853,
38.8151774,-7.628318787,-5.860022545,0.6149554253,9.6389461,
38.8175924,-7.73599577,-5.927021503,0.5790630579,9.762711123,
38.82000735,-7.860422611,-6.022734642,0.524028182,9.916359298,
38.8224223,-7.939385414,-6.123233318,0.4642075896,10.03709698,
38.8248373,-7.994420528,-6.230910301,0.3708875179,10.14261112,
38.82725225,-8.070990562,-6.34815836,0.2703889608,10.27195762,
38.82966719,-8.145168304,-6.441478729,0.1674975902,10.38578213,
