Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
62.82620822,-1.445264935,-9.760323524,0.5144568682,9.880150399,
62.82862317,-1.430907965,-9.74835968,0.5120640397,9.866114921,
62.83103812,-1.43808639,-9.750752449,0.5192425251,9.869897598,
62.83345301,-1.418943882,-9.743574142,0.5288137794,9.86054171,
62.83586796,-1.418943882,-9.736394882,0.5335994363,9.853705668,
62.83828291,-1.416550994,-9.750752449,0.5575276613,9.868871624,
62.84069786,-1.399801254,-9.765109062,0.5623133183,9.880940988,
62.84311281,-1.39022994,-9.753145218,0.5647061467,9.867901193,
62.84552775,-1.385444283,-9.750752449,0.5670989752,9.865000275,
62.8479427,-1.378265858,-9.755537987,0.5599204898,9.868315416,
62.85035765,-1.371087432,-9.765109062,0.5647061467,9.877050611,
62.8527726,-1.361516118,-9.762716293,0.5670989752,9.873497699,
62.85518755,-1.351944804,-9.774680138,0.5862415433,9.885130535,
62.85760244,-1.349551916,-9.774680138,0.5934200287,9.885231889,
62.86001739,-1.35912323,-9.781859398,0.6005984545,9.894074375,
62.86243234,-1.349551916,-9.791430473,0.6029912829,9.902373431,
62.86484728,-1.34237349,-9.791430473,0.5934200287,9.900819392,
62.86726223,-1.320838094,-9.784252167,0.5886343718,9.890535585,
62.86967718,-1.330409408,-9.789037704,0.5910272002,9.896694475,
62.87209213,-1.31126678,-9.791430473,0.6029912829,9.897228388,
62.87450708,-1.304088354,-9.772287369,0.6077769399,9.877633303,
62.87692203,-1.301695466,-9.774680138,0.6197410822,9.880428224,
62.87933697,-1.29451704,-9.755537987,0.6317051649,9.861305552,
62.88175187,-1.292124271,-9.736394882,0.6245267391,9.841595607,
62.88416682,-1.292124271,-9.724431038,0.6125625968,9.829006922,
62.88658176,-1.287338614,-9.7196455,0.6077769399,9.82334679,
62.88899671,-1.270588875,-9.717252731,0.5910272002,9.8177752,
62.89141166,-1.258624673,-9.69811058,0.5862415433,9.796997706,
62.89382661,-1.249053478,-9.674181938,0.5814558864,9.771797261,
62.89624156,-1.256231904,-9.683753014,0.5910272002,9.782765671,
62.8986565,-1.227517962,-9.683753014,0.6029912829,9.779850268,
62.90107145,-1.220339537,-9.64068222,0.6053841114,9.736450697,
62.9034864,-1.210768223,-9.631111145,0.5910272002,9.724894587,
62.90590135,-1.186840057,-9.635896683,0.5982056856,9.727124151,
