Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
9.704449377,-1.627119422,-9.533005714,-1.514656782,9.788764004,
9.706864377,-1.64626193,-9.518648148,-1.497906923,9.775406183,
9.709279377,-1.648654819,-9.511469841,-1.495514154,9.768453503,
9.711694377,-1.643869162,-9.518648148,-1.497906923,9.775003505,
9.714109325,-1.648654819,-9.499505997,-1.483550072,9.754978099,
9.716524325,-1.655833244,-9.480362892,-1.481157184,9.73719112,
9.718939325,-1.653440475,-9.504291534,-1.478764415,9.759721675,
9.721354325,-1.636690736,-9.518648148,-1.485942841,9.771972434,
9.723769325,-1.658226132,-9.516255379,-1.483550072,9.772909043,
9.726184273,-1.655833244,-9.528220177,-1.476371527,9.783068862,
9.728599273,-1.660618901,-9.521040916,-1.469193101,9.775807058,
9.731014273,-1.655833244,-9.537791252,-1.457229018,9.789523079,
9.733429273,-1.663011789,-9.533005714,-1.457229018,9.786077998,
9.735844273,-1.636690736,-9.525827408,-1.462014675,9.775358371,
9.738259221,-1.651047587,-9.540184021,-1.445264935,9.789272701,
9.740674221,-1.634297848,-9.552147865,-1.42372942,9.79497135,
9.743089221,-1.653440475,-9.57129097,-1.430907965,9.817890498,
9.745504221,-1.665404558,-9.554540634,-1.42372942,9.802541738,
9.747919221,-1.651047587,-9.559326172,-1.416550994,9.80373866,
9.750334169,-1.631905079,-9.57129097,-1.416550994,9.812203714,
9.752749169,-1.631905079,-9.573683739,-1.414158225,9.814192682,
9.755164169,-1.624726534,-9.585647583,-1.416550994,9.825018708,
9.757579169,-1.641476393,-9.595218658,-1.409372568,9.836106795,
9.759994169,-1.629512191,-9.590433121,-1.392622828,9.827060383,
9.762409117,-1.603191137,-9.607182503,-1.385444283,9.83807061,
9.764824117,-1.603191137,-9.600004196,-1.392622828,9.832075098,
9.767239117,-1.591227055,-9.585647583,-1.385444283,9.815095465,
9.769654117,-1.574477315,-9.595218658,-1.368694544,9.819395331,
9.772069117,-1.588834286,-9.597611427,-1.385444283,9.826392795,
9.774484065,-1.591227055,-9.619147301,-1.385444283,9.847814691,
9.776899065,-1.586441398,-9.623932838,-1.383051515,9.851381176,
9.779314065,-1.579262972,-9.611968994,-1.387837172,9.839212951,
9.781729065,-1.560120344,-9.609575272,-1.387837172,9.833819421,
9.784144013,-1.557727575,-9.62154007,-1.371087432,9.842785645,
9.786559013,-1.564906001,-9.628718376,-1.363908887,9.84994395,
9.788974013,-1.567298889,-9.619147301,-1.361516118,9.840637517,
9.791389013,-1.581655741,-9.614361763,-1.35912323,9.837926761,
9.793804013,-1.567298889,-9.623932838,-1.339980721,9.842360358,
9.796218961,-1.574477315,-9.626325607,-1.344766378,9.846497861,
9.798633961,-1.562513232,-9.64068222,-1.351944804,9.859612367,
9.801048961,-1.55054903,-9.643074989,-1.354337573,9.860391869,
9.803463961,-1.574477315,-9.631111145,-1.349551916,9.851830849,
9.805878961,-1.562513232,-9.619147301,-1.34237349,9.837246006,
9.808293909,-1.562513232,-9.623932838,-1.339980721,9.841599424,
9.810708909,-1.572084427,-9.626325607,-1.356730461,9.847756683,
9.813123909,-1.560120344,-9.631111145,-1.356730461,9.850532723,
9.815538909,-1.540977836,-9.635896683,-1.335195065,9.849256999,
9.817953909,-1.536192179,-9.628718376,-1.330409408,9.840838032,
9.820368857,-1.555334687,-9.62154007,-1.313659668,9.834571725,
9.822783857,-1.538584948,-9.616754532,-1.306481123,9.826296571,
9.825198857,-1.540977836,-9.609575272,-1.318445325,9.821244711,
9.827613857,-1.562513232,-9.604789734,-1.316052437,9.819644976,
9.830028857,-1.572084427,-9.611968994,-1.306481123,9.826916623,
9.832443805,-1.572084427,-9.597611427,-1.318445325,9.81447363,
9.834858805,-1.581655741,-9.580862045,-1.323230863,9.800280217,
9.837273805,-1.567298889,-9.585647583,-1.337587833,9.804601298,
9.839688805,-1.588834286,-9.57129097,-1.354337573,9.796337861,
9.842103805,-1.600798368,-9.561718941,-1.366301775,9.790597789,
9.844518752,-1.588834286,-9.566504478,-1.37587297,9.794663279,
9.846933752,-1.610369682,-9.56411171,-1.397408366,9.79889144,
9.849348752,-1.622333765,-9.568898201,-1.385444283,9.803837794,
9.851763752,-1.607976794,-9.566504478,-1.399801254,9.801175484,
9.854178752,-1.619940877,-9.54257679,-1.418943882,9.782554982,
9.8565937,-1.617548108,-9.549755096,-1.421336651,9.78950878,
9.8590087,-1.619940877,-9.544969559,-1.421336651,9.785236338,
9.8614237,-1.634297848,-9.566504478,-1.430907965,9.810017074,
9.8638387,-1.634297848,-9.56411171,-1.450050473,9.810494821,
9.866253648,-1.615155339,-9.554540634,-1.445264935,9.797283513,
9.868668648,-1.624726534,-9.556933403,-1.442872047,9.8008465,
9.871083648,-1.622333765,-9.559326172,-1.469193101,9.806692209,
9.873498648,-1.634297848,-9.568898201,-1.476371527,9.81908423,
9.875913648,-1.651047587,-9.556933403,-1.481157184,9.810951065,
9.878328596,-1.655833244,-9.559326172,-1.493121386,9.815900981,
9.880743596,-1.64626193,-9.57129097,-1.483550072,9.824495406,
9.883158596,-1.658226132,-9.552147865,-1.488335729,9.808587359,
9.885573596,-1.639083505,-9.583254814,-1.485942841,9.835313604,
9.887988596,-1.64626193,-9.583254814,-1.490728498,9.837236534,
9.890403544,-1.655833244,-9.583254814,-1.509871125,9.841761396,
9.892818544,-1.655833244,-9.573683739,-1.512263894,9.832809677,
9.895233544,-1.639083505,-9.588040352,-1.529013634,9.846572765,
9.897648544,-1.631905079,-9.595218658,-1.524227977,9.851629622,
9.900063544,-1.631905079,-9.611968994,-1.540977836,9.870545822,
9.902478492,-1.629512191,-9.623932838,-1.543370605,9.88217517,
