Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
14.99851084,1.609660149,-9.506168365,-0.8899822235,9.682474433,
15.00051084,1.62697494,-9.514624596,-0.8996260762,9.694558047,
15.00254521,1.628698826,-9.522630692,-0.9192106128,9.704540345,
15.00451084,1.622148275,-9.537043571,-0.9299462438,9.718609218,
15.00651084,1.628976583,-9.54949379,-0.941850245,9.733112464,
15.00851084,1.636111259,-9.5642519,-0.964413166,9.75099314,
15.01051084,1.641953111,-9.583118439,-0.9751200676,9.77154175,
15.01251084,1.653991103,-9.599254608,-0.9839115739,9.790273622,
15.01451084,1.668576717,-9.609033585,-0.9918028712,9.803129481,
15.0165124,1.680490136,-9.61448288,-1.009835958,9.812344103,
15.01851084,1.686906576,-9.627449036,-1.015371323,9.826719069,
15.02051084,1.692183495,-9.640933037,-1.029410958,9.842294535,
15.02251084,1.689568996,-9.644705772,-1.035185814,9.846146581,
15.02451084,1.685259342,-9.654608727,-1.056858063,9.857409278,
15.02651084,1.69007659,-9.674613953,-1.057672143,9.877913969,
15.02851084,1.703158498,-9.689411163,-1.071357369,9.896122684,
15.03051084,1.69956708,-9.715670586,-1.066817999,9.920730005,
15.03251084,1.702267766,-9.722058296,-1.06608057,9.927369281,
15.0345124,1.717849255,-9.742159843,-1.055852532,9.948643578,
15.0365124,1.722963214,-9.746019363,-1.034237623,9.951037289,
15.03851084,1.719448566,-9.741498947,-1.022544384,9.944792714,
15.04051084,1.717198133,-9.742811203,-1.019202113,9.945346274,
15.04251084,1.716154218,-9.756266594,-1.014892459,9.957907905,
15.04451084,1.719094276,-9.760920525,-1.000134587,9.961482009,
15.04651084,1.724170089,-9.775899887,-1.002749205,9.977298586,
15.04851084,1.716929913,-9.794363022,-0.9884030819,9.992714145,
15.05051084,1.719592333,-9.786596298,-0.9744305611,9.984186487,
15.05251084,1.71266818,-9.793827057,-0.9841414094,9.991036735,
15.05451084,1.707247853,-9.79764843,-0.9764800072,9.993103782,
15.05651084,1.707314849,-9.797734261,-0.9595193863,9.99155634,
15.05851084,1.697460294,-9.808834076,-0.9612911344,10.00093386,
15.06051084,1.686044693,-9.813717842,-0.9698240757,10.0046171,
15.06251084,1.659478664,-9.809254646,-0.9816993475,9.996953524,
15.06451084,1.644663334,-9.800376892,-0.9797073603,9.985596188,
15.06651084,1.628325343,-9.809772491,-0.9785389304,9.992027732,
15.06851084,1.612925768,-9.816160202,-0.9764894843,9.995602151,
15.07051084,1.598014712,-9.804409027,-0.9782804251,9.981839509,
15.0725124,1.590037227,-9.799726486,-0.9685791135,9.975018952,
15.07451084,1.562034726,-9.79308033,-0.9681289792,9.964017691,
15.07651084,1.551844954,-9.779807091,-0.9677650928,9.94934263,
15.07851084,1.53046,-9.764473915,-0.9514845014,9.929379709,
15.08051084,1.525642872,-9.74529171,-0.9386994839,9.908554557,
15.08251084,1.507494807,-9.744841576,-0.9403083324,9.905486242,
15.08451084,1.497017741,-9.72109127,-0.9307889938,9.879627815,
15.08651084,1.486301303,-9.707980156,-0.9149489999,9.863625193,
15.08851084,1.467971325,-9.697426796,-0.8983907104,9.848966044,
15.09051084,1.462895513,-9.677431107,-0.8988791108,9.828566516,
15.09251084,1.448721886,-9.672153473,-0.9009763598,9.821461516,
15.09451084,1.434136391,-9.664510727,-0.9135603309,9.812956092,
15.09651084,1.413536787,-9.644849777,-0.9151309133,9.79074451,
15.09851084,1.405942202,-9.646707535,-0.9108884335,9.791085613,
15.10051084,1.389565945,-9.631213188,-0.9152841568,9.773888995,
15.10251084,1.383934855,-9.62083149,-0.9303484559,9.764282999,
15.10451084,1.379720926,-9.61626339,-0.9247843623,9.758656543,
15.10651084,1.37971139,-9.606533051,-0.9178794622,9.748414408,
15.10851084,1.397600889,-9.589122772,-0.9340259433,9.735346334,
15.11051084,1.406133771,-9.597827911,-0.9455564618,9.746260299,
15.11251084,1.408393979,-9.586105347,-0.9445125461,9.734941873,
15.11451084,1.420623541,-9.573464394,-0.9520590901,9.725009422,
15.11651084,1.437631965,-9.570199013,-0.9440720081,9.723516173,
15.11851084,1.463460565,-9.568225861,-0.9535530806,9.726352164,
15.12051084,1.485717058,-9.574250221,-0.9366308451,9.734007387,
15.12251084,1.494125485,-9.583280563,-0.9434878826,9.744836926,
15.12451084,1.511555314,-9.582408905,-0.9585521817,9.74813737,
15.12651084,1.53149426,-9.594993591,-0.9532849193,9.763100369,
15.12851084,1.551739573,-9.602309227,-0.9434974194,9.772534245,
15.13051084,1.556527972,-9.611263275,-0.9509577751,9.782815636,
15.1325124,1.56477356,-9.627027512,-0.9476824999,9.799299828,
15.13451084,1.578602552,-9.643538475,-0.9385653734,9.816859238,
15.13651084,1.592622876,-9.642953873,-0.9426259398,9.818938368,
15.13851084,1.600121617,-9.644763947,-0.9454319477,9.822204556,
15.14051084,1.618403673,-9.653153419,-0.9473760128,9.833622054,
15.1425124,1.625730038,-9.655930519,-0.9542138577,9.838217137,
15.14451084,1.641263604,-9.656744003,-0.9527485967,9.841452172,
15.14651084,1.659957528,-9.670324326,-0.9612528086,9.858734124,
15.14851084,1.671076179,-9.671435356,-0.9431048036,9.859949499,
15.15051084,1.68567121,-9.675916672,-0.9361616373,9.866166909,
15.15251084,1.688706994,-9.690263748,-0.9296014905,9.880136727,
15.15451084,1.69649303,-9.692523003,-0.9345622659,9.884153853,
15.15651084,1.706165671,-9.699313164,-0.9475292563,9.893709559,
15.15851084,1.715752006,-9.711562157,-0.9518675804,9.907789681,
15.16051084,1.70981431,-9.72559166,-0.9691154361,9.922186394,
15.16251084,1.71169138,-9.724547386,-0.9662519097,9.921207184,
15.16451084,1.706826448,-9.726214409,-0.9814503193,9.923494746,
15.16651084,1.708894968,-9.7259655,-1.002509713,9.925711694,
15.16851084,1.70916307,-9.730333328,-1.000929594,9.929878405,
15.17051084,1.700505733,-9.722249985,-1.00333333,9.920712791,
15.17251084,1.704958916,-9.717193604,-1.012345076,9.917438126,
15.17451084,1.717131019,-9.718122482,-1.032034993,9.922476492,
15.17651084,1.722120643,-9.713180542,-1.040041208,9.919337753,
15.17851084,1.709440947,-9.703594208,-1.033270359,9.907046812,
15.18051084,1.705140829,-9.706007957,-1.044053912,9.909800416,
15.1825124,1.71046555,-9.714224815,-1.046649218,9.919038802,
15.18451084,1.689358234,-9.714798927,-1.048229337,9.91615017,
15.18651084,1.681093454,-9.700242043,-1.047099352,9.900363021,
15.18851084,1.675146341,-9.700137138,-1.047367454,9.899280497,
15.19051084,1.667389154,-9.691039085,-1.056331396,9.890008148,
15.19251084,1.663587213,-9.685350418,-1.062958479,9.884503825,
15.19451084,1.657611251,-9.697607994,-1.045892715,9.893693316,
15.1965124,1.65378046,-9.684239388,-1.066233754,9.882122077,
15.19851084,1.639731288,-9.669606209,-1.060813308,9.864853157,
15.20051084,1.642058492,-9.666790009,-1.053036928,9.861646512,
15.20251084,1.628756285,-9.660585403,-1.054243684,9.853486039,
15.20451084,1.633017898,-9.65043354,-1.050508618,9.843839867,
15.20651084,1.61504221,-9.647195816,-1.04498291,9.837110233,
15.20851084,1.606518865,-9.658756256,-1.02897048,9.845367211,
15.21051084,1.600964308,-9.654426575,-1.023597836,9.839654045,
15.21251084,1.591665268,-9.631030083,-1.019585133,9.814769107,
