Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
54.9996999,-2.125246525,-7.468827248,5.355781078,9.433156641,
55.0016999,-2.060229778,-7.517027378,5.507765293,9.543884213,
55.0036999,-2.01702857,-7.582130432,5.638497829,9.661768157,
55.0056999,-1.916711688,-7.726309299,5.890502453,9.902911604,
55.0076999,-1.827752709,-7.837620735,6.091691971,10.09344787,
55.00970615,-1.817630053,-8.003461838,6.136569023,10.24776365,
55.0116999,-1.834590554,-8.259516716,6.164083004,10.46810671,
55.0136999,-1.941544294,-8.508294106,6.16259861,10.68355205,
55.0156999,-2.046084642,-8.861830711,6.242679596,11.03129886,
55.0176999,-2.144333363,-9.148982048,6.304335594,11.31577153,
55.0196999,-2.342975378,-9.484927177,6.306729317,11.62876657,
55.0216999,-2.643543482,-9.953050613,6.149439812,11.99446325,
55.0236999,-2.839848995,-10.29611111,6.07092905,12.28539075,
55.0256999,-3.087447405,-10.66339207,6.046757221,12.64134228,
55.0276999,-3.361938,-11.13442707,5.930600643,13.05565461,
55.0296999,-3.586811066,-11.52790928,5.827343464,13.40581358,
55.0316999,-3.753897429,-11.92428303,5.793316841,13.77834503,
55.0336999,-4.009243965,-12.44179535,5.669412136,14.24831719,
55.0356999,-4.232067585,-12.80730247,5.540671349,14.58205856,
55.0376999,-4.711865902,-13.31971931,5.177911282,15.04750372,
55.0396999,-4.935914993,-13.65274429,4.983837605,15.34924496,
55.0416999,-5.018227577,-13.95055389,4.833577156,15.59371765,
55.0436999,-5.008095264,-14.23059845,4.761856556,15.81980494,
55.0456999,-4.878176212,-14.33419991,4.75841856,15.87162365,
55.0476999,-4.660514832,-14.35970306,4.852252007,15.85767386,
55.0496999,-4.34646225,-14.33305168,4.977296352,15.78295231,
55.0516999,-4.090407372,-14.20387936,5.013563633,15.60824915,
55.0536999,-3.792923212,-14.01356888,4.983482838,15.34931531,
55.0556999,-3.378841162,-13.62229919,4.795049667,14.83159143,
55.0576999,-3.09711051,-13.24938774,4.545104504,14.34560365,
55.0596999,-2.833355665,-12.82775021,4.2368083,13.80324687,
55.0616999,-2.513835192,-12.16258335,3.795010805,12.98652795,
55.0636999,-2.214665174,-11.60422611,3.505140066,12.32269501,
55.0656999,-1.756644845,-10.78326511,3.294804573,11.41141292,
55.0676999,-1.47951138,-10.17004204,3.23758316,10.77500133,
55.0696999,-1.231261373,-9.653508186,3.233225822,10.25475373,
55.0716999,-0.8175049424,-9.076590538,3.219234228,9.665209731,
55.0736999,-0.5071206093,-8.704522133,3.24136591,9.302275519,
55.0756999,-0.2284068465,-8.390028954,3.289546967,9.01475872,
55.0776999,0.1050479934,-8.084826469,3.390065193,8.767439543,
55.0796999,0.3362895846,-7.915393353,3.370317698,8.609621594,
55.0816999,0.6089699864,-7.757280827,3.330075979,8.463784986,
55.0836999,0.9385079145,-7.594953537,3.247217417,8.313154473,
55.0856999,1.106341481,-7.519794941,3.143203974,8.225025146,
55.0876999,1.264483333,-7.466030598,2.949340582,8.126447001,
55.0896999,1.343942046,-7.450525761,2.856646538,8.091782484,
55.0916999,1.443751454,-7.474879742,2.757402182,8.097006373,
55.0936999,1.560100079,-7.523768902,2.6094594,8.114819105,
55.0956999,1.63105464,-7.580933094,2.524992228,8.155150003,
