Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
84.9996999,18.10155296,-56.51839828,3.020611048,59.42322488,
85.0016999,18.75543976,-59.16445541,1.911722183,62.09552308,
85.0036999,20.40258217,-61.06105804,0.6385623217,64.3826524,
85.0056999,20.96841812,-63.81351089,-0.6577159166,67.17344208,
85.0076999,20.77402878,-66.71475983,-2.313746929,69.91260884,
85.0096999,19.29409599,-69.9039917,-4.599759102,72.66352578,
85.0116999,17.66735077,-71.61877441,-5.600277424,73.97801862,
85.0136999,15.64687443,-72.85866547,-5.763963699,74.74244504,
85.0156999,12.42708492,-74.03262329,-4.82064867,75.22300449,
85.0176999,10.00975513,-74.09759521,-3.253873348,74.84140903,
85.0196999,7.82869482,-73.54472351,-1.183884859,73.96969922,
85.0216999,5.23993063,-71.75601196,1.985310316,71.9744648,
85.0236999,3.525940895,-69.80206299,4.39957571,70.02939756,
85.0256999,2.027582407,-66.5136261,6.523155689,66.86348112,
85.0276999,0.6255666018,-59.15943146,8.519192696,59.77295633,
85.0296999,-0.2033730596,-53.22502136,9.133037567,54.00330207,
85.0316999,-0.5109609365,-45.45929337,9.46022892,46.43602444,
85.0336999,-1.274232388,-41.10289764,9.009879112,42.09809716,
85.0356999,-1.988451481,-37.68870926,8.097266197,38.59998011,
85.0376999,-2.560991526,-34.45088577,6.422034264,35.13779635,
85.0396999,-2.869278431,-32.22425079,5.353760719,32.7917345,
85.0416999,-3.025112152,-30.28170967,4.363461494,30.74366667,
85.0436999,-3.077956915,-28.17681503,3.257522106,28.53100374,
85.0456999,-3.021214247,-26.82327461,2.543762684,27.11247914,
85.0476999,-2.925551653,-25.59199524,1.987273574,25.8352149,
85.0496999,-2.719037294,-24.19280434,1.385179758,24.38449648,
85.0516999,-2.603703976,-23.23058319,0.9987747669,23.39736782,
85.0536999,-2.507782698,-21.98171043,0.5335047841,22.13072965,
85.0556999,-2.48939538,-21.07223129,0.3510474265,21.22166948,
85.0576999,-2.517608404,-20.31636238,0.2589856088,20.47339752,
85.0596999,-2.552448988,-19.332901,0.1846982986,19.50154277,
85.0616999,-2.664286852,-18.70938492,0.1673642695,18.89887614,
85.0636999,-2.741293907,-18.15185165,0.183884263,18.35860082,
85.0656999,-2.712477207,-17.68287468,0.1470518708,17.89031061,
