"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.314166531E-4,-1.082099762E0,2.113754425E0,9.210496674E0,9.511684742E0
9.293583338E-3,-1.078806610E0,2.407593384E0,9.463320923E0,9.824193223E0
1.921858336E-2,-8.640032959E-1,2.412832489E0,9.528585205E0,9.867228503E0
2.914258334E-2,-7.885601807E-1,2.304607544E0,9.473649445E0,9.781772686E0
3.906758333E-2,-9.671388245E-1,2.211501160E0,9.435029755E0,9.738885016E0
4.899258335E-2,-1.027014313E0,2.227817230E0,9.264534302E0,9.583815724E0
5.891758334E-2,-1.063688049E0,2.264790344E0,9.096733246E0,9.434578068E0
6.884258334E-2,-1.142424316E0,2.186503143E0,9.093140717E0,9.421843631E0
7.876758336E-2,-1.054856415E0,2.070793762E0,9.147028656E0,9.437639646E0
8.869258335E-2,-1.010997620E0,1.994302826E0,9.248367920E0,9.514813142E0
9.861758334E-2,-1.049617310E0,1.979034576E0,9.394314423E0,9.657712867E0
1.085425834E-1,-1.055904236E0,2.035766602E0,9.386829987E0,9.662911394E0
1.184675834E-1,-1.071022797E0,2.097438354E0,9.335187378E0,9.627671622E0
1.283925833E-1,-1.053509216E0,2.063758392E0,9.216633911E0,9.503437327E0
1.383175833E-1,-1.088686066E0,1.989213409E0,9.211694183E0,9.486702117E0
1.482425834E-1,-1.067130890E0,2.041903839E0,9.400152283E0,9.678378096E0
1.581675833E-1,-9.060658264E-1,2.188748474E0,9.417815552E0,9.711170111E0
1.680915834E-1,-9.289682007E-1,2.254761200E0,9.499695282E0,9.807708215E0
1.780165833E-1,-9.632469177E-1,2.198478241E0,9.493707733E0,9.792427570E0
1.879415833E-1,-1.008303223E0,2.096989288E0,9.459728394E0,9.741688803E0
1.978665833E-1,-9.940827942E-1,2.107317810E0,9.416019287E0,9.700021040E0
2.077915834E-1,-9.931846619E-1,2.097887421E0,9.399553528E0,9.681898260E0
2.177165833E-1,-1.027912445E0,2.092648315E0,9.499096527E0,9.781033473E0
2.276415833E-1,-1.027164001E0,2.095791779E0,9.529183960E0,9.810848893E0
2.375665834E-1,-1.174158325E0,2.007325745E0,9.412875824E0,9.695887566E0
2.474915833E-1,-1.247655487E0,1.898502045E0,9.335037689E0,9.607490978E0
2.574165833E-1,-1.184786224E0,1.871109009E0,9.325756989E0,9.585119234E0
2.673415834E-1,-1.068627777E0,1.920955353E0,9.399254150E0,9.652875912E0
2.772665833E-1,-8.369096375E-1,1.940115509E0,9.439670105E0,9.673253725E0
2.871915833E-1,-8.738827515E-1,1.904339905E0,9.457632751E0,9.686949922E0
2.971165834E-1,-9.315129089E-1,1.955982513E0,9.353000336E0,9.600635353E0
3.070405833E-1,-9.542655945E-1,1.935475159E0,9.442963257E0,9.686394685E0
3.169655833E-1,-1.026864624E0,1.929038544E0,9.455836487E0,9.705075184E0
3.268905834E-1,-1.101259918E0,1.913171539E0,9.308991852E0,9.567148376E0
3.368155833E-1,-1.166673889E0,1.768871613E0,9.199419708E0,9.440304959E0
3.467405833E-1,-1.158590698E0,1.469943237E0,9.089099121E0,9.279805405E0
3.566655834E-1,-1.110690308E0,1.080453186E0,8.927884369E0,9.061353726E0
3.665905833E-1,-9.454339600E-1,9.678872681E-1,9.078171844E0,9.178445139E0
3.765155833E-1,-7.122189331E-1,1.073717194E0,9.211245117E0,9.300922590E0
3.864405833E-1,-6.267466736E-1,1.153501282E0,8.953780518E0,9.049506183E0
3.963655834E-1,-7.551795959E-1,1.217717743E0,8.752149811E0,8.868667264E0
4.062905833E-1,-9.599537659E-1,1.033600616E0,8.651409302E0,8.765655958E0
4.162155833E-1,-1.021924896E0,8.029302979E-1,8.667276306E0,8.764171731E0
4.261405834E-1,-8.372090149E-1,9.966275024E-1,9.120683441E0,9.213091324E0
4.360645833E-1,-6.628216553E-1,1.241069183E0,9.258546753E0,9.364842403E0
4.459895834E-1,-6.420149231E-1,1.094374237E0,9.002429352E0,9.091401012E0
4.559145833E-1,-1.028960266E0,7.337741089E-1,8.768615570E0,8.859221336E0
4.658395833E-1,-1.538051605E0,5.287005615E-1,8.453670502E0,8.608697461E0
4.757645833E-1,-1.911225586E0,3.456312561E-1,7.875872040E0,8.111818821E0
4.856895834E-1,-2.185605011E0,7.214996338E-2,7.393425293E0,7.710046202E0
4.956145833E-1,-2.217937775E0,-3.070115662E-1,7.621251526E0,7.943360680E0
5.055395833E-1,-2.172582092E0,-5.929170227E-1,8.178243256E0,8.482648542E0
5.154645834E-1,-1.919308777E0,-4.815486145E-1,8.608598328E0,8.833096876E0
5.253895833E-1,-1.522184601E0,3.787124634E-2,9.448202362E0,9.570110139E0
5.353145833E-1,-1.412911835E0,3.921844482E-1,9.642049255E0,9.752909429E0
5.452395834E-1,-1.662442932E0,5.132826233E-1,9.571845245E0,9.728689375E0
5.551645833E-1,-1.892664185E0,5.155279541E-1,9.450896759E0,9.652325955E0
5.650895833E-1,-2.205064545E0,2.414479065E-1,9.123078461E0,9.388885309E0
5.750135834E-1,-2.436034241E0,-2.177970886E-1,8.870403900E0,9.201400097E0
5.849385833E-1,-2.884801025E0,-7.042854309E-1,8.566685486E0,9.066763212E0
