"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.295813000E-2,7.848458290E-1,1.237089276E0,9.035298347E0,9.153304817E0
4.537313000E-2,8.709874153E-1,1.179661512E0,9.399007797E0,9.512705605E0
4.778807800E-2,9.499505758E-1,1.138983607E0,9.757930756E0,9.870000121E0
5.020302600E-2,1.007378340E0,1.110269666E0,1.011446095E1,1.022496113E1
5.261802600E-2,1.038485050E0,1.069591761E0,1.046142101E1,1.056710970E1
5.503297400E-2,1.048056364E0,1.055234790E0,1.080120182E1,1.090311439E1
5.744797400E-2,1.045663476E0,1.064806104E0,1.113858986E1,1.123812298E1
5.986292200E-2,9.954141974E-1,1.093519926E0,1.143529987E1,1.153051250E1
6.227792200E-2,9.690931439E-1,1.134197950E0,1.171047401E1,1.180511534E1
6.469287000E-2,9.020941257E-1,1.177268744E0,1.196172047E1,1.205331871E1
6.710781800E-2,8.087740541E-1,1.196411371E0,1.218425274E1,1.226953668E1
6.952281800E-2,7.178468108E-1,1.249053478E0,1.234696484E1,1.243072722E1
7.193776600E-2,6.293123364E-1,1.261017561E0,1.249532032E1,1.257454688E1
7.435276600E-2,5.647061467E-1,1.282552958E0,1.260060406E1,1.267829080E1
7.676771400E-2,4.977070987E-1,1.316052437E0,1.269392395E1,1.277166440E1
7.918266200E-2,4.761717021E-1,1.363908887E0,1.272503090E1,1.280677158E1
8.159766200E-2,4.618147612E-1,1.375872970E0,1.271067429E1,1.279326151E1
8.401261000E-2,4.522434771E-1,1.390229940E0,1.266042423E1,1.274455198E1
8.642761000E-2,4.833501875E-1,1.387837172E0,1.255992603E1,1.264561036E1
8.884255800E-2,5.024927258E-1,1.397408366E0,1.241635704E1,1.250484591E1
9.125755800E-2,5.407779217E-1,1.390229940E0,1.223450184E1,1.232510508E1
9.367250500E-2,5.886343718E-1,1.380658627E0,1.202393341E1,1.211724735E1
9.608745300E-2,6.245267391E-1,1.375872970E0,1.177747345E1,1.187400273E1
9.850245300E-2,6.245267391E-1,1.361516118E0,1.150229836E1,1.159942357E1
1.009174010E-1,6.460621357E-1,1.359123230E0,1.120558834E1,1.130618513E1
1.033324010E-1,6.412764788E-1,1.371087432E0,1.088016415E1,1.098494825E1
1.057473490E-1,6.317051649E-1,1.383051515E0,1.053559780E1,1.064475006E1
1.081622970E-1,6.029912829E-1,1.387837172E0,1.018385315E1,1.029565712E1
1.105772970E-1,5.910272002E-1,1.416550994E0,9.868000984E0,9.986659767E0
1.129922450E-1,6.005984545E-1,1.442872047E0,9.556933403E0,9.683882193E0
1.154072450E-1,6.125625968E-1,1.464407444E0,9.293723106E0,9.428309036E0
1.178221930E-1,6.053841114E-1,1.483550072E0,9.071190834E0,9.211618418E0
1.202371930E-1,6.340979934E-1,1.485942841E0,8.886942863E0,9.032599839E0
1.226521410E-1,6.508477330E-1,1.490728498E0,8.733802795E0,8.883984776E0
1.250670890E-1,6.891329288E-1,1.500299811E0,8.614161491E0,8.770951027E0
1.274820890E-1,7.154539824E-1,1.507478237E0,8.492127419E0,8.654512876E0
1.298970370E-1,7.465606928E-1,1.517049551E0,8.413164139E0,8.581382350E0
1.323120370E-1,7.800601721E-1,1.514656782E0,8.365307808E0,8.537040105E0
1.347269850E-1,8.255237937E-1,1.529013634E0,8.374878883E0,8.553243159E0
1.371419330E-1,8.805587292E-1,1.560120344E0,8.453842163E0,8.641574306E0
1.395569330E-1,9.068797827E-1,1.567298889E0,8.583054543E0,8.771982788E0
1.419718800E-1,8.949156404E-1,1.588834286E0,8.755337715E0,8.943221282E0
1.443868800E-1,8.542376757E-1,1.596012712E0,8.879764557E0,9.062405705E0
1.468018280E-1,7.728816867E-1,1.627119422E0,9.001798630E0,9.180263737E0
1.492167760E-1,6.652047038E-1,1.615155339E0,9.119047165E0,9.284839539E0
1.516317760E-1,5.790630579E-1,1.588834286E0,9.209974289E0,9.363937997E0
1.540467240E-1,5.048855543E-1,1.569691658E0,9.250652313E0,9.396457287E0
1.564617240E-1,4.378865361E-1,1.507478237E0,9.229117393E0,9.361668821E0
1.588766720E-1,3.924229145E-1,1.418943882E0,9.178867340E0,9.296182180E0
1.612916720E-1,3.996013701E-1,1.347159147E0,9.102297783E0,9.210121821E0
1.637066200E-1,4.211367965E-1,1.275374413E0,9.042476654E0,9.141680378E0
1.661215680E-1,4.857429862E-1,1.205982566E0,9.025727272E0,9.118886609E0
1.685365680E-1,5.766702294E-1,1.141376376E0,9.056833267E0,9.146667011E0
1.709515160E-1,6.699903607E-1,1.117448211E0,9.097511292E0,9.190336734E0
1.733665160E-1,6.149554253E-1,1.086341500E0,9.152546883E0,9.237284367E0
1.757814640E-1,4.785645306E-1,1.045663476E0,9.262616158E0,9.333728847E0
1.781964120E-1,4.235295951E-1,1.098305583E0,9.382257462E0,9.455813426E0
1.806114120E-1,4.115654826E-1,1.184447169E0,9.473184586E0,9.555811187E0
1.830263600E-1,3.326023519E-1,1.287338614E0,9.554540634E0,9.646611413E0
1.854413600E-1,8.374879509E-2,1.270588875E0,9.377471924E0,9.463529449E0
1.878563080E-1,-1.435693651E-1,1.229910851E0,9.095118523E0,9.179023576E0
1.902713080E-1,-3.756731451E-1,1.086341500E0,8.999405861E0,9.072517513E0
1.926862550E-1,-4.809573591E-1,1.261017561E0,8.985049248E0,9.085845874E0
1.951012030E-1,-4.905286431E-1,1.428515077E0,8.941978455E0,9.068641153E0
1.975162030E-1,-4.905286431E-1,1.588834286E0,8.879764557E0,9.034114861E0
1.999311510E-1,-4.977070987E-1,1.758724689E0,8.858229637E0,9.044835941E0
2.023461510E-1,-4.953143001E-1,1.907079697E0,8.831908226E0,9.049027138E0
2.047610990E-1,-5.479564071E-1,2.060220242E0,8.848658562E0,9.101841682E0
2.071760470E-1,-5.958128572E-1,2.244467735E0,8.872586250E0,9.171445641E0
2.095910470E-1,-6.364908218E-1,2.392822742E0,8.932407379E0,9.269229894E0
2.120059950E-1,-7.058826685E-1,2.488535643E0,8.997013092E0,9.361480896E0
2.144209950E-1,-7.369893789E-1,2.562713146E0,9.068798065E0,9.452711270E0
2.168359430E-1,-8.111668825E-1,2.574677229E0,9.119047165E0,9.510203770E0
2.192509430E-1,-9.475577474E-1,2.541177750E0,9.145368576E0,9.539036452E0
2.216658910E-1,-1.141376376E0,2.490928411E0,9.109476089E0,9.512624191E0
2.240808390E-1,-1.383051515E0,2.421536446E0,9.052047729E0,9.471865621E0
2.264958390E-1,-1.667797327E0,2.318645239E0,8.963513374E0,9.407562685E0
2.289107870E-1,-1.990828395E0,2.215753794E0,8.872586250E0,9.359260085E0
2.313257870E-1,-2.313859463E0,2.112862349E0,8.846264839E0,9.384803382E0
2.337407350E-1,-2.617748022E0,2.045863390E0,8.836693764E0,9.440620657E0
2.361556830E-1,-2.868994236E0,1.933400750E0,8.896514893E0,9.545530034E0
2.385706830E-1,-3.060420275E0,1.837687731E0,9.020941734E0,9.701580192E0
2.409856300E-1,-3.211168051E0,1.756331801E0,9.202795982E0,9.903926269E0
2.434006300E-1,-3.340380430E0,1.706082582E0,9.387042999E0,1.010868119E1
2.458155780E-1,-3.450450182E0,1.682154298E0,9.552147865E0,1.029459948E1
2.482305260E-1,-3.555734396E0,1.667797327E0,9.671789169E0,1.043878828E1
2.506455260E-1,-3.649054527E0,1.686939955E0,9.769894600E0,1.056466781E1
2.530604740E-1,-3.649054527E0,1.725225091E0,9.870393753E0,1.066380201E1
2.554754740E-1,-3.613162279E0,1.765903115E0,1.000199890E1,1.078022901E1
2.578904220E-1,-3.493520975E0,1.818545222E0,1.015992451E1,1.089659862E1
2.603054220E-1,-3.292523861E0,1.844866276E0,1.032981491E1,1.099769617E1
2.627203700E-1,-3.067598581E0,1.899901152E0,1.052363396E1,1.112504639E1
2.651353180E-1,-2.837887764E0,1.875972986E0,1.073898792E1,1.126493423E1
2.675503180E-1,-2.612962246E0,1.842473388E0,1.093998528E1,1.139761193E1
2.699652660E-1,-2.435893536E0,1.758724689E0,1.110987568E1,1.150895423E1
2.723802660E-1,-2.349751949E0,1.641476393E0,1.124148083E1,1.160114952E1
2.747952140E-1,-2.342573404E0,1.550549030E0,1.132522964E1,1.166844801E1
2.772101620E-1,-2.411965132E0,1.483550072E0,1.130130100E1,1.165066097E1
2.796251620E-1,-2.502892494E0,1.406979680E0,1.120319557E1,1.156527793E1
2.820401100E-1,-2.632104874E0,1.323230863E0,1.102612686E1,1.141290452E1
2.844551100E-1,-2.785245657E0,1.263410330E0,1.078684425E1,1.121203853E1
2.868700580E-1,-2.904886723E0,1.220339537E0,1.054277611E1,1.100353232E1
2.892850050E-1,-3.022135019E0,1.232303619E0,1.031067276E1,1.081488997E1
2.917000050E-1,-3.115455151E0,1.253839016E0,1.010488987E1,1.064833190E1
2.941149530E-1,-3.182454109E0,1.294517040E0,9.930213928E0,1.050775605E1
2.965299530E-1,-3.208775282E0,1.354337573E0,9.750752449E0,1.035411234E1
2.989449010E-1,-3.175275564E0,1.423729420E0,9.554540634E0,1.016851155E1
3.013599010E-1,-3.134597778E0,1.450050473E0,9.312865257E0,9.932663737E0
3.037748490E-1,-3.074777126E0,1.478764415E0,9.095118523E0,9.714019740E0
3.061897970E-1,-2.935993433E0,1.469193101E0,8.918049812E0,9.503167801E0
3.086047970E-1,-2.794816732E0,1.433300734E0,8.863015175E0,9.403105314E0
3.110197450E-1,-2.682354212E0,1.406979680E0,8.949156761E0,9.447858100E0
3.134347450E-1,-2.610569477E0,1.354337573E0,9.159725189E0,9.620284237E0
3.158496930E-1,-2.581855536E0,1.265803218E0,9.449256897E0,9.877079108E0
3.182646410E-1,-2.581855536E0,1.189232826E0,9.810572624E0,1.021408772E1
3.206796410E-1,-2.560320139E0,1.119840980E0,1.018385315E1,1.056031003E1
3.230945890E-1,-2.555534601E0,1.055234790E0,1.051167011E1,1.086919896E1
3.255095890E-1,-2.522035122E0,1.007378340E0,1.076291656E1,1.110026330E1
3.279245370E-1,-2.486142635E0,9.595218897E-1,1.098066330E1,1.129940503E1
3.303394850E-1,-2.435893536E0,8.925228715E-1,1.110509014E1,1.140408705E1
3.327544850E-1,-2.378465652E0,8.015955687E-1,1.118405342E1,1.146222951E1
3.351694330E-1,-2.349751949E0,6.939185858E-1,1.124865913E1,1.151239287E1
3.375844330E-1,-2.388036966E0,5.886343718E-1,1.133001518E1,1.159389732E1
3.399993800E-1,-2.478964329E0,5.000999570E-1,1.141137123E1,1.168823158E1
3.424143280E-1,-2.574677229E0,4.115654826E-1,1.148554897E1,1.177778350E1
3.448293280E-1,-2.675175667E0,3.182454109E-1,1.153101254E1,1.184154108E1
3.472442760E-1,-2.763710260E0,2.177468538E-1,1.156211948E1,1.188983242E1
3.496592760E-1,-2.804388046E0,1.339980662E-1,1.158843994E1,1.192369440E1
3.520742240E-1,-2.782852650E0,7.657032460E-2,1.161476135E1,1.194373531E1
3.544892240E-1,-2.742174864E0,1.435693540E-2,1.161954689E1,1.193874361E1
3.569041720E-1,-2.689532757E0,-1.196411345E-2,1.163868904E1,1.194540967E1
