"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.825532913E0,-1.777713895E0,8.463196754E0,9.903117383E0
1.699896000E-3,-4.865687847E0,-1.837319970E0,8.574948311E0,1.002897809E1
3.699896000E-3,-4.871281147E0,-1.860083938E0,8.633711815E0,1.008614257E1
5.699896000E-3,-4.879469395E0,-1.896878123E0,8.703919411E0,1.015704589E1
7.699896000E-3,-4.933482647E0,-1.975034475E0,8.754781723E0,1.024139713E1
9.699896000E-3,-4.974519253E0,-2.027074814E0,8.772499084E0,1.028647725E1
1.169989600E-2,-5.025907993E0,-2.096171379E0,8.752550125E0,1.030828886E1
1.369989600E-2,-5.083321095E0,-2.140406847E0,8.713294983E0,1.031227445E1
1.569989600E-2,-5.142687798E0,-2.167193174E0,8.652894020E0,1.029643331E1
1.769989600E-2,-5.195609570E0,-2.187074423E0,8.599072456E0,1.028210584E1
1.969989600E-2,-5.267751694E0,-2.216350794E0,8.519383430E0,1.025871887E1
2.169989600E-2,-5.307015896E0,-2.225305080E0,8.470436096E0,1.024034609E1
2.369989600E-2,-5.351346970E0,-2.249352455E0,8.429237366E0,1.023467359E1
2.569989600E-2,-5.375097752E0,-2.246249437E0,8.418568611E0,1.023765646E1
2.769989600E-2,-5.395420074E0,-2.252953291E0,8.407382965E0,1.024062716E1
2.969989600E-2,-5.421449661E0,-2.249658823E0,8.408647537E0,1.025467867E1
3.169989600E-2,-5.448800564E0,-2.258268595E0,8.411290169E0,1.027321794E1
3.369989600E-2,-5.460618496E0,-2.253930092E0,8.392911911E0,1.026350455E1
3.569989600E-2,-5.477799416E0,-2.232813120E0,8.335824966E0,1.022143428E1
3.769989600E-2,-5.475807667E0,-2.227766275E0,8.290028572E0,1.018194411E1
3.969989600E-2,-5.474706173E0,-2.229202986E0,8.232539177E0,1.013491268E1
4.169989600E-2,-5.480912209E0,-2.239967346E0,8.154698372E0,1.007754722E1
4.369989600E-2,-5.470454216E0,-2.235887527E0,8.111028671E0,1.003562895E1
4.569989600E-2,-5.464861393E0,-2.239124537E0,8.065175056E0,9.996271176E0
4.769989600E-2,-5.464918613E0,-2.227048159E0,8.059926987E0,9.989369449E0
4.969989600E-2,-5.459737778E0,-2.217375517E0,8.063422203E0,9.987205235E0
5.169989600E-2,-5.431907177E0,-2.218601227E0,8.069139481E0,9.976914300E0
5.369989600E-2,-5.403004169E0,-2.218783379E0,8.067511559E0,9.959929542E0
5.569989600E-2,-5.375940323E0,-2.189392090E0,8.058489799E0,9.931436448E0
5.769989600E-2,-5.340707302E0,-2.168821096E0,8.036607742E0,9.890096230E0
5.969989600E-2,-5.300609589E0,-2.133415699E0,8.008058548E0,9.837526430E0
6.169989600E-2,-5.253931999E0,-2.094792366E0,7.998367310E0,9.796215398E0
6.369989600E-2,-5.215442657E0,-2.056389332E0,7.996959686E0,9.766316779E0
6.569989600E-2,-5.201518059E0,-2.002653837E0,7.989565849E0,9.741641287E0
6.769989600E-2,-5.205348492E0,-1.933490276E0,8.006402016E0,9.743536873E0
6.969989600E-2,-5.208077908E0,-1.887818456E0,8.009687424E0,9.738738452E0
7.169989600E-2,-5.210845470E0,-1.849109054E0,8.007828712E0,9.731260735E0
7.369989600E-2,-5.212991238E0,-1.785030603E0,8.033677101E0,9.741744180E0
7.569989600E-2,-5.186079979E0,-1.726746082E0,8.070461273E0,9.747277709E0
7.769989600E-2,-5.187277317E0,-1.697058082E0,8.104276657E0,9.770729360E0
7.969989600E-2,-5.211449146E0,-1.705973983E0,8.116966248E0,9.795646507E0
8.169989600E-2,-5.213728428E0,-1.694817066E0,8.116602898E0,9.794621565E0
8.369989600E-2,-5.202514172E0,-1.699902296E0,8.131379128E0,9.801793103E0
8.569989600E-2,-5.216697216E0,-1.728220940E0,8.132940292E0,9.815569024E0
8.769989600E-2,-5.193828106E0,-1.706069827E0,8.117416382E0,9.786673253E0
8.969989600E-2,-5.136616230E0,-1.686887503E0,8.115347862E0,9.751373578E0
9.169989600E-2,-5.131971359E0,-1.687873960E0,8.139337540E0,9.769076933E0
9.369989600E-2,-5.164236069E0,-1.735087514E0,8.151710510E0,9.804603363E0
9.569989600E-2,-5.181033134E0,-1.753733635E0,8.146750450E0,9.812656567E0
9.769989600E-2,-5.184270382E0,-1.742097735E0,8.160367966E0,9.823602661E0
9.969989600E-2,-5.178122044E0,-1.719850779E0,8.188543320E0,9.839871762E0
1.016998960E-1,-5.166888237E0,-1.684560299E0,8.228747368E0,9.861377221E0
1.036998960E-1,-5.157752037E0,-1.646875620E0,8.274610519E0,9.888568381E0
1.056998960E-1,-5.140686035E0,-1.614065409E0,8.309307098E0,9.903355215E0
1.076998960E-1,-5.118439674E0,-1.562168717E0,8.354806900E0,9.921773740E0
1.096998960E-1,-5.096154213E0,-1.542737484E0,8.389072418E0,9.936164388E0
1.116998960E-1,-5.058019161E0,-1.527088881E0,8.410743713E0,9.932581140E0
1.136998960E-1,-5.055222511E0,-1.548339844E0,8.442453384E0,9.961307648E0
1.156998960E-1,-5.063698292E0,-1.564486384E0,8.460936546E0,9.983792129E0
1.176998960E-1,-5.079030991E0,-1.601768851E0,8.444561005E0,9.983628089E0
1.196998960E-1,-5.114072323E0,-1.630183220E0,8.429007530E0,9.992967577E0
1.216998960E-1,-5.156641006E0,-1.647670388E0,8.396944046E0,9.990717366E0
1.236998960E-1,-5.212492943E0,-1.657850623E0,8.318405151E0,9.955622313E0
1.256998960E-1,-5.268574715E0,-1.691580057E0,8.241905212E0,9.927150857E0
1.276998960E-1,-5.309803009E0,-1.733976722E0,8.140553474E0,9.872653855E0
1.296998960E-1,-5.421391964E0,-1.826000094E0,8.031540871E0,9.860599167E0
1.316998960E-1,-5.528259754E0,-1.938096642E0,7.970556259E0,9.891796681E0
1.336998960E-1,-5.569803715E0,-2.024354935E0,7.838376999E0,9.826539589E0
1.356998960E-1,-5.566921234E0,-2.048986673E0,7.761867523E0,9.769111826E0
1.376998960E-1,-5.580635071E0,-2.096046925E0,7.721587658E0,9.754989311E0
1.396998960E-1,-5.618770123E0,-2.157817364E0,7.682025909E0,9.759112436E0
1.416998960E-1,-5.631823063E0,-2.193241835E0,7.617344379E0,9.723768619E0
1.436998960E-1,-5.681526661E0,-2.248193502E0,7.623789787E0,9.770173486E0
1.456998960E-1,-5.732226372E0,-2.344603539E0,7.576307774E0,9.785500724E0
1.476998960E-1,-5.719958305E0,-2.397065163E0,7.464153767E0,9.704505957E0
1.496998960E-1,-5.672648907E0,-2.417684078E0,7.337232590E0,9.584316564E0
1.516998960E-1,-5.636046410E0,-2.429377079E0,7.251203537E0,9.499833938E0
1.536998960E-1,-5.603370667E0,-2.416228294E0,7.208931446E0,9.444819458E0
1.556998960E-1,-5.550956726E0,-2.372634649E0,7.213432789E0,9.406175012E0
1.576998960E-1,-5.514928818E0,-2.358374834E0,7.239424229E0,9.401363459E0
1.596998960E-1,-5.514143467E0,-2.357809782E0,7.313309669E0,9.457776877E0
1.616998960E-1,-5.640403748E0,-2.476993084E0,7.485461712E0,9.694420365E0
1.636998960E-1,-5.629764080E0,-2.514553547E0,7.482474327E0,9.695599269E0
1.656998960E-1,-5.591188908E0,-2.507811308E0,7.420330048E0,9.623502947E0
1.676998960E-1,-5.521584511E0,-2.506011009E0,7.368404865E0,9.542608498E0
1.696998960E-1,-5.482147694E0,-2.499249697E0,7.366690636E0,9.516739111E0
1.716998960E-1,-5.454699993E0,-2.498052597E0,7.414392471E0,9.537674481E0
1.736998960E-1,-5.452957153E0,-2.494116545E0,7.456779480E0,9.568642499E0
1.756998960E-1,-5.474763870E0,-2.472587824E0,7.536793709E0,9.637945289E0
1.776998960E-1,-5.551598072E0,-2.444058657E0,7.678874969E0,9.785641761E0
1.796998960E-1,-5.674430370E0,-2.450714350E0,7.776894093E0,9.934044623E0
1.816998960E-1,-5.789783001E0,-2.461383104E0,7.825840950E0,1.004110455E1
1.836998960E-1,-5.917633533E0,-2.479138374E0,7.803210735E0,1.010220825E1
1.856998960E-1,-6.030237198E0,-2.483610868E0,7.772871494E0,1.014640896E1
1.876998960E-1,-6.140303612E0,-2.515099287E0,7.731413364E0,1.018841526E1
1.896998960E-1,-6.273066998E0,-2.561805487E0,7.708649635E0,1.026340568E1
1.916998960E-1,-6.366613388E0,-2.602152586E0,7.701696873E0,1.032574931E1
1.936998960E-1,-6.445257664E0,-2.635125399E0,7.715305328E0,1.039284218E1
1.956998960E-1,-6.569421291E0,-2.664152861E0,7.735531807E0,1.049254301E1
1.976998960E-1,-6.644101143E0,-2.666115999E0,7.741402149E0,1.054426677E1
1.996998960E-1,-6.712862968E0,-2.639482975E0,7.687800884E0,1.054190125E1
2.016998960E-1,-6.746256828E0,-2.602133274E0,7.621452808E0,1.050569473E1
2.036998960E-1,-6.760564804E0,-2.538801908E0,7.550287724E0,1.044785128E1
2.056998960E-1,-6.763428211E0,-2.443330765E0,7.493803024E0,1.038609215E1
2.076998960E-1,-6.767680168E0,-2.363948584E0,7.464163303E0,1.034908120E1
2.096998960E-1,-6.752501011E0,-2.270775795E0,7.455323696E0,1.031186424E1
2.116998960E-1,-6.715007782E0,-2.160910606E0,7.439158440E0,1.025192384E1
2.136998960E-1,-6.650134563E0,-2.070275784E0,7.411414146E0,1.017051578E1
2.156998960E-1,-6.598008156E0,-1.983126879E0,7.389847279E0,1.010328395E1
2.176998960E-1,-6.506195545E0,-1.881794691E0,7.341905594E0,9.988759156E0
2.196998960E-1,-6.435939789E0,-1.797221899E0,7.304498672E0,9.899849917E0
2.216998960E-1,-6.365808487E0,-1.722915411E0,7.265616894E0,9.812295555E0
2.236998960E-1,-6.251595497E0,-1.639980197E0,7.255494118E0,9.716695745E0
2.256998960E-1,-6.167051792E0,-1.579972029E0,7.266373634E0,9.660694862E0
2.276998960E-1,-6.049419880E0,-1.494211674E0,7.341810226E0,9.629658707E0
